,nums,labels
0,四百; 九百九十一,1
285,四百三十九; 六百十五,1
286,七十九; 二百五,1
287,百九十七; 二百七十九,1
288,三百; 四百六十八,1
289,六百六十七; 六,0
290,五百九十八; 百十三,0
291,二百八十四; 八百三十八,1
292,七百六十九; 三百八,0
293,百十八; 七百四十一,1
294,四百五; 百十七,0
295,六百六十四; 九百四十,1
296,百六十二; 七百十五,1
297,五百五十六; 三百九十,0
298,八十一; 二百八十一,1
299,六百七十六; 七百二,1
300,五百六十九; 七百七十六,1
301,七百三十一; 三百三十四,0
302,九百三十四; 八十四,0
303,四百七十七; 七百六十八,1
304,六百六十六; 九百十七,1
305,三百二; 二百六十三,0
306,九十八; 八百九十五,1
307,百二十一; 九百三十一,1
308,七百八十一; 四百八十一,0
309,三百四十; 七十九,0
310,六百二十五; 九百四十六,1
311,百六; 八百九十八,1
312,百六十二; 九百四十一,1
313,七百三十八; 五百二十六,0
314,八百九十四; 二百四十四,0
315,百十八; 五百五十七,1
316,二百五十七; 三百四十,1
317,四百四十八; 百十,0
318,五百七; 五百,0
319,八百十五; 九百二,1
320,七百; 二十九,0
321,四百三十六; 九百四十八,1
322,九百十六; 八,0
323,二百七十六; 九百七十六,1
324,九十二; 六百二十三,1
325,二百四十七; 四百二,1
326,五百四十; 八百九十九,1
327,四百四; 五百六十八,1
328,八百八十六; 八百十三,0
329,百六十六; 七百十一,1
330,五百十三; 五百十二,0
331,九百六十九; 三百九十四,0
332,百九十八; 九百三十六,1
333,六十四; 四百七十一,1
334,九百十五; 五百二十四,0
335,五百十九; 五百二十四,1
336,三百十; 八百四十九,1
337,二百十五; 二百十四,0
338,五百九十三; 六百八十八,1
339,四百十二; 七百八十四,1
340,六百十四; 三百九十九,0
341,百五十一; 六百十七,1
342,七百五十二; 六十四,0
343,百九十五; 三百六十九,1
344,四百八十二; 七百八十六,1
345,九百十七; 七百十五,0
346,七百五十四; 二百六,0
347,四百六十九; 六百八十一,1
348,百七; 三百五十九,1
349,七十九; 二百十七,1
350,四十; 八百五十七,1
351,三百七十三; 九百六,1
352,二百九十; 九百八十七,1
353,十七; 三百五十七,1
354,三百六; 四百二十一,1
355,三百六; 六百五十八,1
356,九百三十五; 九十八,0
357,六百四十七; 七百八十四,1
358,五; 百五十四,1
359,三百五十一; 五百五十二,1
360,八百五十二; 六百八十七,0
361,三百八十四; 三百四,0
362,五百六十八; 四百五十七,0
363,八百; 四十四,0
364,七百四十七; 九百三十九,1
365,三百六十三; 八百,1
366,三百八十八; 百五十七,0
367,四百七; 百十七,0
368,四百六十二; 六百三十七,1
369,百八十八; 三百二十五,1
370,八百三十一; 六百七十六,0
371,二百四十七; 百四十七,0
372,六百二十一; 九百七十六,1
373,五百八十一; 二百七十一,0
374,六百五十七; 七百九十一,1
375,四百二十八; 三百九十一,0
376,四百六十二; 七百四十五,1
377,五百二十; 九百六,1
378,二百二; 五百三十六,1
379,七百五十; 五百六十二,0
380,三百三; 三百五十三,1
381,三百八十三; 二百六十七,0
382,六百十八; 二百十四,0
383,四十七; 四百三十四,1
384,四百六十四; 六百三,1
385,七百十五; 百八十八,0
386,五百三十二; 二百六十八,0
387,二百四十三; 三百六十六,1
388,八百九十二; 八百八十,0
389,八百九十八; 二百二十六,0
390,七百九十; 六百八十二,0
391,八百五; 七百三十六,0
392,七百四十七; 十,0
393,二百八十五; 四百六十三,1
394,四百三十二; 八百七十六,1
395,千; 七百九十九,0
396,七百八十七; 九百四十八,1
397,五百三十一; 百四,0
398,百五十八; 七百十四,1
399,八百六十三; 七百二十七,0
400,千; 二百十五,0
401,七十四; 八百七十四,1
402,三百五十九; 九百八十六,1
403,五百七十; 七百六十七,1
404,三百四十三; 三百七十一,1
405,二百四十九; 七,0
406,九十四; 四百八十八,1
407,三百七十六; 二百七十一,0
408,三百三十; 七百四十,1
409,三百十八; 五百十二,1
410,五百三十九; 七百九十八,1
411,三百三十一; 七百四十九,1
412,二百三; 十九,0
413,三百二十七; 七百六十一,1
414,九十六; 七百八十六,1
415,二百二十五; 七十八,0
416,九百八十一; 七百九十七,0
417,四百六十二; 四百二十五,0
418,八百四十六; 八百五十三,1
419,九百二; 三百三十五,0
420,六百四十五; 七百三十,1
421,四百八十四; 九百六十六,1
422,九百三十; 七百七十二,0
423,九百八十九; 四百七十三,0
424,六百四十七; 五百二十四,0
425,九百七十九; 八百八十二,0
426,八十八; 百七十一,1
427,百五十四; 二百八,1
428,七百五十五; 九百十九,1
429,八百七十八; 二百十五,0
430,三百四十五; 三百十四,0
431,七百七十五; 二百七十二,0
432,六百十三; 五百七十四,0
433,四百八十五; 九百八十四,1
434,百六十三; 六百六,1
435,九百八十九; 七百六十,0
436,七百二十; 七百十,0
437,四百九十九; 三百四十九,0
438,七百四; 六百六十,0
439,二百五十三; 五百五,1
440,六百九十九; 六百五十八,0
441,百二十二; 六百九十三,1
442,七百二十五; 九百二十二,1
443,四百三十五; 五百七,1
444,七十三; 二百四十三,1
445,七百七十; 百八十七,0
446,百二十五; 百九十一,1
447,三百四十八; 八百十五,1
448,七百五十一; 二百十二,0
449,八百十三; 九百五十七,1
450,五百二十五; 二百三十八,0
451,六百四十九; 九十六,0
452,九百九十七; 八百八十六,0
453,三百六十八; 四百六十一,1
454,四百三十八; 七百二十四,1
455,二百七; 七百四十一,1
456,八百二十二; 七百九十一,0
457,五百八十四; 二百三十四,0
458,九十七; 七十五,0
459,九百三十三; 六百七十三,0
460,八百八十五; 七百三十一,0
461,五十九; 二百三,1
462,八百七十三; 四十九,0
463,三百三十三; 七百七十七,1
464,九百十七; 七百七十一,0
465,八十; 六百二十七,1
466,百二十三; 九百二十二,1
467,九百七十一; 五百十二,0
468,二百九十四; 七百七十五,1
469,八百八十二; 百七十八,0
470,七十八; 百七十四,1
471,七百五十二; 二百八十九,0
472,四百三十四; 二百九十四,0
473,五百十八; 六百四十七,1
474,四百十五; 九百二十六,1
475,八百三; 七百五十二,0
476,四百五十二; 三百六十一,0
477,八百六十二; 五百五十四,0
478,二十九; 七百三十九,1
479,六百四十四; 三百三十六,0
480,六百四; 五百九,0
481,三百九十五; 九十四,0
482,八百八十四; 二百三十一,0
483,五百六十九; 九,0
484,六百六十五; 九十八,0
485,四十四; 二十七,0
486,四百十三; 八百三十七,1
487,九百四十二; 五百七十二,0
488,三百二十一; 九百十五,1
489,六百三十; 八百四十二,1
490,九百六十九; 三百十九,0
491,八百十五; 二百,0
492,五十九; 二百六十八,1
493,五百六十八; 九百二十三,1
494,六百七; 五百一,0
495,二百七; 百二十二,0
496,九百六十五; 三十九,0
497,七百三十六; 六百七十三,0
498,百十七; 九百三十一,1
499,五百二十五; 五百三十六,1
500,五百三十五; 三百二十一,0
501,二百十九; 九百九十二,1
502,二百六十九; 六百六十八,1
503,百七十七; 八百六十二,1
504,三十三; 三百九十八,1
505,百二十五; 五百三十一,1
506,二百七十二; 三百三十九,1
507,四百十八; 二百六十二,0
508,四百六十二; 八十三,0
509,二百四十; 九百四十八,1
510,六百四十七; 二百五十九,0
511,八百二十二; 三百五十九,0
512,七百二十二; 五百三十二,0
513,四百八十八; 二百四十一,0
514,二百六十四; 六,0
515,二百四十二; 二百六,0
516,七百五十五; 四百四十八,0
517,九百三十九; 七百二十二,0
518,五百十六; 七百五十三,1
519,六百五十七; 七百四十二,1
520,三百六十三; 三百十五,0
521,三百; 五百九,1
522,三百三十; 九百七十七,1
523,九百二十三; 八百六十七,0
524,十八; 三十九,1
525,四十六; 九百五十四,1
526,五百九十二; 三百八十九,0
527,二百四十一; 七百三十四,1
528,八百八十三; 九百一,1
529,六百三; 八十八,0
530,八百十四; 六百二十四,0
531,五百四十五; 四百三,0
532,百三十; 四百六十七,1
533,八百九十三; 八百五十八,0
534,百四十八; 九百八十九,1
535,六百三; 六百六十九,1
536,五百二十; 九百七十六,1
537,八百三十五; 七百六十五,0
538,七百三十二; 四百四十一,0
539,八百九十; 四百四十八,0
540,四百五十四; 九百二,1
541,九百二十六; 九百七十九,1
542,四百三十七; 二百二十,0
543,七百八十三; 二百四十,0
544,五十八; 九百二十六,1
545,八百十五; 六百七,0
546,三百二十六; 四百五十八,1
547,九百九十; 四百八十七,0
548,百三十一; 九十二,0
549,二百四十四; 八百六,1
550,七百二十五; 三百六,0
551,百六十; 七百八十四,1
552,二百六十六; 七百三十一,1
553,八百四十七; 五百六十二,0
554,二百十五; 百六十九,0
555,九百四; 六百八十二,0
556,七百五十七; 七百十九,0
557,七百七十七; 六百七十一,0
558,九十一; 三百四十五,1
559,四百十一; 百三十,0
560,五百八十四; 三百七十六,0
561,二百三十; 四百八十四,1
562,四百七十六; 七百十九,1
563,九百二十五; 四百六十八,0
564,六百十七; 七百八十,1
565,八十八; 六百三,1
566,四百十二; 六百九十六,1
567,八百二十; 八十三,0
568,五百八十六; 五百八十七,1
569,二百三; 九百三十九,1
570,二百八十一; 百二,0
571,四百五十八; 九百二十七,1
572,四百五十七; 四百七十七,1
573,四百六十九; 二百三十九,0
574,五百十九; 四百九十一,0
575,二百六十六; 八百四十三,1
576,六百三十八; 九百四十,1
577,四百四十三; 四百七,0
578,三百七十一; 九百九十九,1
579,四百七十一; 八百四十七,1
580,九百三十三; 二百六十五,0
581,五百六十一; 七百九十一,1
582,五百六十九; 四百七十一,0
583,五百四十四; 百四十,0
584,六百三十一; 八百一,1
585,四百六十八; 二百六十,0
586,七百二; 四十七,0
587,二百三; 五十五,0
588,百; 七百十八,1
589,二百三十八; 九百六十九,1
590,四百五十八; 二百五十一,0
591,六; 五百七十,1
592,三百二十一; 九十三,0
593,六百八十三; 百十二,0
594,七百七十五; 百五十八,0
595,九百二十九; 五百二十二,0
596,五百二十六; 七百七十九,1
597,百五十五; 九百八十八,1
598,五百七十; 三百八十五,0
599,六百三十三; 三百十二,0
600,四百九十三; 五百六十三,1
601,六百八十九; 四百九十,0
602,六百八十七; 三百五十二,0
603,八百六十三; 六百七十五,0
604,四百四十六; 八百八十三,1
605,四百十四; 三十九,0
606,五百七十七; 三百十一,0
607,九百八十二; 八百六十三,0
608,八百十八; 七十九,0
609,五百四十八; 九百十九,1
610,五百三十三; 百七十一,0
611,二百六十四; 九十一,0
612,三十三; 四百四十,1
613,五百七十四; 七十九,0
614,六十五; 三,0
615,百四十八; 七百九十六,1
616,九百三十七; 三百九十七,0
617,六百十三; 三百五十九,0
618,九百八十四; 六百九十七,0
619,七百七十; 三百五十七,0
620,九十三; 七百二十,1
621,百二十; 四百二十七,1
622,九十九; 八百六十九,1
623,九百二十三; 六百四十五,0
624,四百九十七; 五百七十,1
625,七百九十五; 八百十三,1
626,十二; 四百十一,1
627,九百八十; 二百九十五,0
628,八百五十七; 四十七,0
629,二百八十八; 四百五十八,1
630,六百四十; 六百三十九,0
631,八百五十五; 五百十六,0
632,六百九十五; 五百三十,0
633,十七; 三百九十,1
634,六百五十五; 二百四十六,0
635,七百八十六; 五百二十三,0
636,二百九十八; 三百二,1
637,九百四; 七百三十二,0
638,七百三十七; 六百八十五,0
639,二百七十七; 六百九十九,1
640,七百六十四; 三百四十四,0
641,三百二十二; 九百七十九,1
642,八百十; 五百九十六,0
643,七百十九; 五百四十九,0
644,六百四十四; 五百五十四,0
645,五百十八; 二百九十三,0
646,三百四十五; 百三十六,0
647,三百七十六; 九百二十九,1
648,三百; 九百八,1
649,九; 三百二十二,1
650,七百六十八; 十八,0
651,五百十八; 二百五十三,0
652,九百二十八; 五百六十八,0
653,三百八十七; 六百七十六,1
654,百五十六; 三百三十二,1
655,七百五十五; 八百十八,1
656,三百七十四; 三百八十五,1
657,七百五十一; 四百,0
658,七百五十五; 六百九十四,0
659,七百八十七; 九百十七,1
660,六百七十七; 百九十一,0
661,九百二; 百九十四,0
662,四百十一; 四百九十七,1
663,二十三; 二十九,1
664,七百八十二; 七百二十八,0
665,三百二十一; 六百二十七,1
666,六百七十五; 二百六十二,0
667,八百八十六; 三百五十四,0
668,八百五十九; 二百二十二,0
669,六百五十九; 百三十一,0
670,八百十九; 百七十五,0
671,五百六十五; 八百四十七,1
672,六十三; 四,0
673,百七十二; 九百九十九,1
674,八百七十; 三百二十六,0
675,六百十一; 二百七十二,0
676,六十二; 三百十九,1
677,十二; 五百二十一,1
678,三十六; 三百四十,1
679,百三十七; 五百七十四,1
680,九十四; 八百九十一,1
681,八百九十; 六百九十五,0
682,七十六; 八百六十五,1
683,六百九十三; 百五十四,0
684,二百六十三; 五百七十七,1
685,九百六十八; 五百五十一,0
686,七百二十一; 三百八十六,0
687,九百三十五; 六百十四,0
688,七百四十四; 二百八十三,0
689,四百九十一; 九百七十二,1
690,六百七十八; 七十三,0
691,四百四十六; 六百三十二,1
692,三百八十; 五百二十五,1
693,四百四十一; 四百四十四,1
694,六百五十七; 六百四十三,0
695,六十三; 百五十四,1
696,三百六十七; 七百十一,1
697,七百八十七; 四百七十二,0
698,三百六十八; 四百七十三,1
699,八百三十一; 八百六十五,1
700,八百八十四; 百八十一,0
701,五百三; 五百五,1
702,五百七十五; 百四十七,0
703,六百四十七; 百八十三,0
704,六百十; 五百四十一,0
705,七百七十七; 八百十七,1
706,四百七十三; 五百四,1
707,四百五十; 八百六十二,1
708,六十; 百七十七,1
709,六百五; 五百四十五,0
710,十六; 七百十八,1
711,六百四十四; 四百八十六,0
712,八百八十一; 百四十,0
713,三百九十六; 九百九十二,1
714,六百八十七; 六百一,0
715,八百五十六; 七百十九,0
716,四百十七; 八百四十二,1
717,二百二十九; 七百四十八,1
718,四百四十; 百八十五,0
719,七百六十四; 七百九十七,1
720,四百二十五; 三百七十二,0
721,三百七十一; 百九十二,0
722,二百二十三; 六百七十二,1
723,四百四十九; 三百十七,0
724,七百九十; 九百三十二,1
725,六百二十六; 五百六十五,0
726,百二十三; 八百七,1
727,七百九十一; 五百七十五,0
728,六百二十; 八百九十,1
729,五百二十六; 百三十五,0
730,五百二十四; 四百九十五,0
731,五百十九; 二十四,0
732,百二十五; 五十四,0
733,三百六十二; 八百十二,1
734,四百五十三; 六百二十八,1
735,五十三; 百二十二,1
736,六百六十一; 七百十七,1
737,六百三; 八百二十六,1
738,三百五十六; 五百三十五,1
739,八百四十; 八百五十三,1
740,二百三十二; 三百九十七,1
741,二百五十五; 八十五,0
742,九十三; 六百二十七,1
743,五百九十九; 九百九十二,1
744,五百二; 二百三十七,0
745,八十; 四百五十七,1
746,五百三十一; 二百三,0
747,五百六十; 九百六十三,1
748,八十二; 七百八十一,1
749,八百十八; 五百二十六,0
750,二百八十九; 七十五,0
751,四百七十三; 六百五十二,1
752,四百三十六; 七百二十,1
753,五十一; 八百六十五,1
754,六百十三; 百四十七,0
755,九百五十六; 四百六十,0
756,九百九十八; 三百四十五,0
757,三百九十六; 七百二十五,1
758,八百二十二; 八,0
759,百九十七; 六百十五,1
760,七百九十九; 六百六十五,0
761,二百六十一; 九百九十八,1
762,四百八十七; 八百六十二,1
763,六百二十一; 六百二十,0
764,三百六十九; 三百四十五,0
765,五百八十四; 二百二十,0
766,八百七十七; 六百七十二,0
767,七十六; 百三十八,1
768,四十四; 六百四十九,1
769,八十三; 三百八十二,1
770,七百八十; 五百八十九,0
771,百五十三; 百六,0
772,四百五十五; 六百五十三,1
773,六百八十一; 三百六十一,0
774,五百七十二; 七百六十二,1
775,九百二十五; 二百五十四,0
776,百三十七; 百三十一,0
777,三百八十八; 八百三十二,1
778,八百九十八; 五百九十四,0
779,六百五十; 五百四十一,0
780,五百六十七; 九百九,1
781,十二; 四百十八,1
782,四百六十二; 三百七十五,0
783,七百二十九; 五十九,0
784,九百四十八; 三百七十八,0
785,三百六十三; 七百九十七,1
786,四百二十; 七百五十八,1
787,六百二; 二百四十六,0
788,八十一; 九百九十一,1
789,八百五十九; 八百十七,0
790,四百六十; 六十五,0
791,百二十七; 三百六十二,1
792,四百八十九; 九百十六,1
793,五百九十三; 三百十二,0
794,四百四十七; 六百四十一,1
795,八百三十八; 三百九十,0
796,二百三十五; 六百四十八,1
797,三百五十五; 五百十七,1
798,八百九十三; 九十四,0
799,八百十四; 八百四十,1
800,百三十四; 百十八,0
801,四百二十四; 八百五十七,1
802,百七十一; 二十五,0
803,七百六十八; 七百六十六,0
804,五百六十; 六百六十六,1
805,百九十四; 三十九,0
806,八十; 七百七十三,1
807,九十九; 八百八十八,1
808,百二十二; 五百八十五,1
809,八百八十一; 七百九十六,0
810,百八十一; 八百四十二,1
811,九十六; 九十三,0
812,百三十一; 十九,0
813,四百七十三; 八百八十一,1
814,五百七十八; 四百十九,0
815,五百十四; 五十六,0
816,七百六十六; 二百十六,0
817,七百八十五; 四百一,0
818,三百三十六; 二百十六,0
819,七百六十四; 百九十五,0
820,五百二十八; 百二十三,0
821,五百八十; 二百二,0
822,七百五十; 八百五十二,1
823,百四; 百七十四,1
824,六十六; 二百二十九,1
825,七百八十一; 六百四十八,0
826,三百五十九; 八百二十五,1
827,九百七十四; 四百十三,0
828,六百十四; 八百七十四,1
829,百四十三; 五十二,0
830,八百四十一; 百九十二,0
831,七百七十三; 二百七十一,0
832,百八十六; 百十九,0
833,七百八十; 五百八十二,0
834,二百四十七; 六百二十二,1
835,五百八十; 二百三,0
836,八百八十六; 四百五十三,0
837,六百八十三; 二百七十九,0
838,百五十六; 六百八十三,1
839,三百五十三; 四百十九,1
840,九百三十一; 九百六,0
841,三十; 三十六,1
842,六百十五; 二百二十四,0
843,三百七十七; 二百二十五,0
844,百六十六; 六百七十二,1
845,二百八十二; 七百二十五,1
846,六百七十六; 百七十三,0
847,百十八; 三百四十三,1
848,六百二; 九百七,1
849,七百七十四; 六百二十七,0
850,七百五; 五百九十六,0
851,七百六十八; 七十八,0
852,三百三十三; 百二十六,0
853,三百十八; 三百八十七,1
854,百五十五; 二百三十二,1
855,五百四; 三百九十四,0
856,八百十三; 五百六十,0
857,四百; 七百十,1
858,七百九十一; 九百九十一,1
859,七百四十六; 三百四十二,0
860,五百十七; 六百六十三,1
861,四百九十六; 二百六十八,0
862,二百八十九; 八百二十四,1
863,三十五; 七十一,1
864,二十; 三百五十,1
865,百; 二百六十二,1
866,七百十一; 九百九十九,1
867,九百十二; 八百七,0
868,九百五十九; 百八十八,0
869,三百三十; 七百八十五,1
870,二百四十一; 三百三,1
871,九百六十二; 六百八十七,0
872,百四十二; 七百六十九,1
873,百十七; 三百九十二,1
874,五百三十四; 二百四,0
875,七百十八; 七百七,0
876,三百十七; 六百四十七,1
877,六百五十八; 二百五十九,0
878,二百五十六; 二百九十二,1
879,三百五十九; 二十七,0
880,七百四; 四百六十八,0
881,五百九十三; 二百九,0
882,三百四; 五百十,1
883,二百二十一; 五十九,0
884,五百五十三; 四百七十二,0
885,七百四十; 百八十六,0
886,七百五十九; 七百九十五,1
887,三百八十七; 九百九十一,1
888,三百七十四; 二百八十,0
889,五百五; 五百二十二,1
890,五十五; 四百五十八,1
891,七十四; 三百九十六,1
892,百九十; 二百三,1
893,四十二; 三百三十五,1
894,八百六十二; 七百三,0
