,nums,labels
0,sekshundrede og femogtreds; syvhundrede og syvogtredive,1
42,tohundrede og femoghalvfjerds; ethundrede og tretten,0
43,ethundrede og treogtyve; sekshundrede og fireoghalvfems,1
44,ottehundrede og seks; ethundrede og treogtredive,0
45,syvhundrede og femoghalvfjerds; sekshundrede og syvogtredive,0
46,syvoghalvfjerds; syvhundrede og otteogtreds,1
47,femhundrede og seksogtyve; tohundrede og enogfirs,0
48,ottehundrede og treogfirs; trehundrede og seksoghalvfems,0
49,syvoghalvfems; tohundrede og toogfirs,1
50,syvhundrede og niogtreds; ethundrede og ni,0
51,ottehundrede og femogfirs; tohundrede og fyrre,0
52,ottehundrede og halvtreds; firehundrede og sytten,0
53,sekshundrede og femogfirs; treogfyrre,0
54,ethundrede og nioghalvfjerds; ottehundrede og enogtyve,1
55,sekshundrede og to; femhundrede,0
56,trehundrede og fireoghalvfjerds; syvogtyve,0
57,sekshundrede og femogfyrre; ottehundrede og femogfyrre,1
58,ottehundrede og tolv; firehundrede og toogtredive,0
59,syv; femhundrede og otteoghalvfjerds,1
60,syvhundrede og tretten; trehundrede og seksoghalvfems,0
61,sekshundrede og nioghalvtreds; firehundrede og fireogtredive,0
62,sekshundrede og seksogtredive; ethundrede og tyve,0
63,trehundrede og seksogtredive; tohundrede og niogtyve,0
64,ottehundrede og seks; trehundrede og nioghalvfems,0
65,nihundrede og et; sekshundrede og tooghalvfjerds,0
66,nihundrede og enogfyrre; nihundrede og toogtyve,0
67,tohundrede og halvfems; sekshundrede og fjorten,1
68,ottehundrede og sytten; syvhundrede og otteoghalvfems,0
69,ottehundrede og sytten; trehundrede og femoghalvtreds,0
70,trehundrede og otteoghalvfems; nihundrede og firs,1
71,treoghalvfems; femhundrede og seksogtredive,1
72,syvhundrede og fireogfyrre; femhundrede og nioghalvtreds,0
73,syvhundrede og treoghalvfjerds; ethundrede og fireogfirs,0
74,firehundrede og toogtreds; femhundrede og femten,1
75,trehundrede og fem; femhundrede og enoghalvfjerds,1
76,femhundrede og treogfyrre; tohundrede og treoghalvtreds,0
77,ethundrede og syvoghalvtreds; ottehundrede og otteogtreds,1
78,nihundrede og syvoghalvfjerds; syvhundrede og halvfems,0
79,tohundrede og seksogtredive; firehundrede og niogtredive,1
80,femhundrede og treds; ottehundrede og tooghalvtreds,1
81,toogfirs; trehundrede og seksoghalvfems,1
82,femhundrede og niogtredive; firehundrede og tre,0
83,nihundrede og femogtyve; sekshundrede og treogtreds,0
84,tohundrede og treogtredive; firehundrede og femogtyve,1
85,ethundrede og fireogtredive; nihundrede og seksogtredive,1
86,trehundrede og tyve; trehundrede og fem,0
87,syvhundrede og firs; femhundrede og tre,0
88,femhundrede og enoghalvtreds; femhundrede og otteogfyrre,0
89,femoghalvtreds; ottehundrede og fireogtredive,1
90,femhundrede og fireoghalvfems; tohundrede og syvogfyrre,0
91,nihundrede og treogtyve; nihundrede og seksogtredive,1
92,femhundrede og nioghalvfjerds; fireogtyve,0
93,firehundrede og ni; sekshundrede og toogfyrre,1
94,firehundrede; tohundrede og toogfirs,0
95,syvhundrede og treogtyve; ethundrede og seksogtyve,0
96,trehundrede og seksoghalvfems; nihundrede og treogtredive,1
97,firehundrede og tyve; sekshundrede og syvogfirs,1
98,firehundrede og syvogtyve; tohundrede og niogtredive,0
99,ottehundrede og otteoghalvtreds; ettusind,1
100,ethundrede og femogtyve; toogtredive,0
101,syvhundrede og elleve; sekshundrede og sytten,0
102,sytten; ethundrede og enogfyrre,1
103,trehundrede og otteogfyrre; otteoghalvfems,0
104,femhundrede og syvogtyve; trehundrede og seksogfyrre,0
105,niogtredive; sekshundrede og fireogfyrre,1
106,femhundrede og syvoghalvfems; nihundrede og fireogtyve,1
107,firehundrede og seks; nihundrede og niogtredive,1
108,ethundrede og syvogfirs; ottehundrede og niogtreds,1
109,trehundrede og ni; fjorten,0
110,syvhundrede og seksoghalvfems; enoghalvfems,0
111,femhundrede og enogtyve; ethundrede og tredive,0
112,treogfyrre; tohundrede og ni,1
113,ti; ethundrede og fireogfirs,1
114,ethundrede og treoghalvtreds; ottehundrede og otteogfirs,1
115,seksogtredive; ethundrede og nitten,1
116,ottehundrede og syvogtreds; nihundrede og syvogfirs,1
117,trehundrede og ti; syvhundrede og fireoghalvtreds,1
118,sekshundrede og enoghalvtreds; tohundrede og femogtreds,0
119,femhundrede og fem; trehundrede og syvogtreds,0
120,firehundrede og syvoghalvfems; ottehundrede og tredive,1
121,firehundrede og atten; ethundrede og tooghalvfems,0
122,femhundrede og syvoghalvtreds; syvhundrede og elleve,1
123,syvhundrede og fem; ethundrede og treogtredive,0
124,sekshundrede og niogtyve; ethundrede og femogfyrre,0
125,syvhundrede og atten; syvhundrede og fire,0
126,ethundrede og toogfyrre; syvhundrede og fireogfirs,1
127,sekshundrede og toogtreds; syvogfirs,0
128,firehundrede og et; femhundrede og syvoghalvfems,1
129,syvhundrede og syvoghalvfjerds; femhundrede og seks,0
130,ethundrede og femogtredive; fireogtreds,0
131,nihundrede og seksogtreds; nihundrede og seksogtredive,0
132,firehundrede og treogfirs; sekshundrede og fireoghalvfems,1
133,sekshundrede og toogtredive; sekshundrede og seksogtredive,1
134,syvhundrede og fireoghalvfjerds; firehundrede og femogtyve,0
135,syvhundrede og fireogfyrre; sekshundrede og toogfyrre,0
136,syvhundrede og femogtreds; trehundrede og halvtreds,0
137,ottehundrede og treoghalvfems; nihundrede og otteoghalvfjerds,1
138,sekshundrede og femogfyrre; trehundrede og tooghalvfems,0
139,firehundrede og tooghalvtreds; femhundrede og otteoghalvtreds,1
140,sekshundrede og syvogtredive; ethundrede og syvogtreds,0
141,ethundrede og syv; tohundrede og otteogtreds,1
142,syvhundrede og tolv; syvhundrede og halvfjerds,1
143,sekshundrede og tredive; syvhundrede og nioghalvfjerds,1
144,syvhundrede og fem; ethundrede og enogtyve,0
145,tohundrede og to; ottehundrede og halvfjerds,1
146,femhundrede og fireoghalvfjerds; toogfirs,0
147,firehundrede og treogfirs; firehundrede og treoghalvfems,1
148,trehundrede og treogfirs; ottehundrede og tyve,1
149,femhundrede; sekshundrede og fireogfirs,1
150,femhundrede og et; femhundrede og syvoghalvfems,1
151,trehundrede og fireogfyrre; trehundrede og enogtreds,1
152,firehundrede og tolv; ethundrede og ti,0
153,femhundrede og otteoghalvfjerds; tohundrede og syvogfirs,0
154,firehundrede og seksogtredive; nihundrede og otteoghalvtreds,1
155,femhundrede og fireogtredive; syvhundrede og otteogfyrre,1
156,nihundrede; ethundrede og ti,0
157,nihundrede og seksogfyrre; tohundrede og otte,0
158,ethundrede og fireoghalvfems; femhundrede og otteogtyve,1
159,femhundrede og seksten; syvhundrede og nitten,1
160,tohundrede og seksoghalvtreds; ethundrede og fireogtreds,0
161,firehundrede og firs; ottehundrede og fireogtyve,1
162,tohundrede og ti; sekshundrede og ni,1
163,nihundrede og otteoghalvfems; ottehundrede og tolv,0
164,femhundrede og toogtreds; toogtredive,0
165,trehundrede og tolv; firehundrede og syvoghalvtreds,1
166,ethundrede og femogtredive; tohundrede og syvoghalvtreds,1
167,ottehundrede og nitten; sekshundrede og sytten,0
168,tohundrede og tooghalvfems; nihundrede og halvfjerds,1
169,femhundrede og otteogfirs; sekshundrede og femoghalvfjerds,1
170,syvhundrede og ti; firehundrede og fem,0
171,nihundrede og treds; trehundrede og tyve,0
172,firehundrede og enogtredive; firehundrede og halvtreds,1
173,syvhundrede og syvoghalvtreds; femhundrede og seksogtyve,0
174,trehundrede og treogfyrre; syvhundrede og fireogtyve,1
175,ethundrede og syvogtredive; toogfirs,0
176,ottehundrede og seksogtyve; ethundrede og sytten,0
177,ottehundrede og toogtredive; tohundrede og syvoghalvtreds,0
178,tohundrede og otteogfirs; ethundrede og syvogtyve,0
179,tohundrede og enogfyrre; ethundrede og fireoghalvfems,0
180,trehundrede og femoghalvtreds; treogtyve,0
181,firehundrede og niogfirs; firehundrede og syvogtyve,0
182,ottehundrede og otteogfirs; femhundrede og enogtyve,0
183,firehundrede og halvfems; femhundrede og tooghalvtreds,1
184,syvhundrede og elleve; tohundrede og fem,0
185,femhundrede og to; syvhundrede og otteogtredive,1
186,nihundrede og toogfyrre; nihundrede og elleve,0
187,nihundrede og syvogtyve; enoghalvfjerds,0
188,enoghalvtreds; seks,0
189,ottehundrede og atten; tohundrede og seksten,0
190,femhundrede og syvoghalvfjerds; nihundrede og femoghalvtreds,1
191,femhundrede og fire; firehundrede og seksoghalvtreds,0
192,trehundrede og femten; syvhundrede og fireoghalvfjerds,1
193,tohundrede og syvogfyrre; ethundrede og seksogtyve,0
194,ottehundrede og halvtreds; ottehundrede og femoghalvfjerds,1
195,firehundrede og tretten; tohundrede og syvoghalvfems,0
196,femhundrede og tooghalvfems; trehundrede og femoghalvfjerds,0
197,nihundrede og to; femhundrede og tyve,0
198,firehundrede og syvogtredive; otte,0
199,firehundrede og otte; trehundrede og toogfirs,0
200,trehundrede og et; firehundrede og treoghalvtreds,1
201,ethundrede og fyrre; firehundrede og syvogtredive,1
202,otteogtredive; ottehundrede og syvogfyrre,1
203,tohundrede og treoghalvfems; firehundrede og tredive,1
204,femhundrede og halvfjerds; trehundrede og fireogfirs,0
205,tohundrede og otte; firehundrede og seksoghalvtreds,1
206,fire; ethundrede og femoghalvtreds,1
207,femhundrede og seksogtreds; femhundrede og ti,0
208,sekshundrede og fireoghalvfjerds; nihundrede og treds,1
209,femhundrede og femogfyrre; tohundrede og ni,0
210,fireogfirs; trehundrede og seksoghalvfjerds,1
211,ottehundrede og enogtreds; otteoghalvfems,0
212,nihundrede og et; enogtredive,0
213,treogtyve; firehundrede og treds,1
214,elleve; syvhundrede og tooghalvfjerds,1
215,firehundrede og fem; nihundrede og femogfirs,1
216,firehundrede og nitten; firehundrede og femoghalvtreds,1
217,ethundrede og syvogfirs; ottehundrede og seksoghalvfems,1
218,tohundrede og halvfems; nihundrede og enoghalvfjerds,1
219,ethundrede og ni; nihundrede og fireoghalvfems,1
220,femogtreds; sekshundrede og otteogfyrre,1
221,tohundrede og syvogfirs; ottehundrede og treds,1
222,femhundrede og femogtyve; ottehundrede og fireogtreds,1
223,sekshundrede og treogtyve; enoghalvfems,0
224,ottehundrede og tooghalvtreds; ethundrede og syvogtreds,0
225,ethundrede og enoghalvtreds; firehundrede og fire,1
226,sekshundrede og syvogtyve; firehundrede og tyve,0
227,nihundrede og syvogtyve; ottehundrede og fem,0
228,ethundrede og seksogtyve; sekshundrede og ni,1
229,enoghalvtreds; ethundrede og fireogfyrre,1
230,syvoghalvtreds; trehundrede og femogtreds,1
231,tohundrede og syvoghalvfjerds; ethundrede og syvoghalvtreds,0
232,nihundrede og fireogtredive; trehundrede og seksoghalvfems,0
233,tohundrede og treoghalvfjerds; syvoghalvfjerds,0
234,femoghalvfems; trehundrede og syvoghalvfjerds,1
235,ottehundrede og syvoghalvfjerds; firehundrede og fireoghalvtreds,0
236,syvhundrede og halvfjerds; tohundrede og enoghalvfems,0
237,tohundrede og otteogtyve; firehundrede og tooghalvfems,1
238,ethundrede og fireogtredive; ethundrede og treogtyve,0
239,ethundrede og femogtredive; syvhundrede og fireoghalvfems,1
240,syvhundrede og toogfyrre; ottehundrede og treoghalvfems,1
241,firehundrede og syvoghalvfems; nihundrede og toogfirs,1
242,tohundrede og femogfyrre; seksoghalvfjerds,0
243,tohundrede og seksten; nihundrede og seksten,1
244,nihundrede og syvoghalvfjerds; firehundrede og fireogfyrre,0
245,otte; firehundrede og femoghalvtreds,1
246,tohundrede og femogfyrre; tohundrede og nioghalvfjerds,1
247,treds; syvhundrede og syvogfyrre,1
248,tohundrede og nioghalvtreds; tohundrede og firs,1
249,ethundrede og fireoghalvtreds; niogfirs,0
250,trehundrede og femogfirs; sekshundrede og femoghalvfjerds,1
251,trehundrede og toogtredive; tohundrede og treoghalvtreds,0
252,femhundrede og femogfyrre; syvhundrede og tre,1
253,firehundrede og seksogtreds; sekshundrede og nioghalvtreds,1
254,syvoghalvfjerds; firehundrede og niogtredive,1
255,femogtyve; firehundrede og tyve,1
256,ottehundrede og fire; tohundrede og fem,0
257,firehundrede og fireogfirs; femhundrede og fyrre,1
258,tohundrede og et; trehundrede og fireogfyrre,1
259,nihundrede og niogfirs; tohundrede og toogtyve,0
260,tohundrede og halvfems; tohundrede og fireogtredive,0
261,tooghalvtreds; trehundrede og nitten,1
262,trehundrede og seks; ottehundrede og seksoghalvtreds,1
263,tohundrede og halvfems; syvhundrede og syvogfyrre,1
264,ethundrede og tolv; trehundrede og femoghalvfjerds,1
265,syvhundrede og femogtreds; firehundrede og seksoghalvfjerds,0
266,femhundrede og fyrre; syvhundrede og syv,1
267,trehundrede og femogtyve; nihundrede og ti,1
268,trehundrede og syvogtyve; firehundrede og syvoghalvfems,1
269,nihundrede og fireogtreds; nihundrede og elleve,0
270,firehundrede og toogtreds; firehundrede og otteogtyve,0
271,sekshundrede og enogfyrre; sekshundrede og otteogtreds,1
272,trehundrede og niogfyrre; femhundrede og et,1
273,ottehundrede og nitten; syvhundrede og otteoghalvfjerds,0
274,syvhundrede og seksogfirs; sekshundrede og niogfyrre,0
275,ottehundrede og treoghalvfjerds; syvhundrede og enogtyve,0
276,femhundrede og fem; tohundrede og syvoghalvfems,0
277,ottehundrede og ti; sekshundrede og elleve,0
278,trehundrede og syvogfyrre; nihundrede og seksogtyve,1
279,ottehundrede og toogfirs; sekshundrede og fireogtyve,0
280,nihundrede og femogtreds; nihundrede og fjorten,0
281,trehundrede og seksogtyve; sekshundrede og treogtreds,1
282,sekshundrede og fireoghalvfems; syvhundrede og tolv,1
283,sekshundrede og femogtreds; ethundrede og niogtredive,0
284,trehundrede og enoghalvfjerds; ethundrede og otteogtyve,0
285,firehundrede og enoghalvfjerds; trehundrede og enoghalvfjerds,0
286,tolv; femhundrede og syvoghalvtreds,1
287,ethundrede og otteogfirs; trehundrede og femoghalvtreds,1
288,nihundrede og ti; firehundrede og fyrre,0
289,treoghalvfems; nihundrede og femogtredive,1
290,sekshundrede og syvoghalvfems; sekshundrede og niogtyve,0
291,syvhundrede og enogtreds; firehundrede og femogfirs,0
292,ottehundrede og fireoghalvfems; trehundrede og femogtredive,0
293,syvhundrede og syvogtreds; firehundrede og nioghalvtreds,0
294,syvhundrede og toogtyve; ethundrede og femoghalvfjerds,0
295,trehundrede og et; ottehundrede og otteogtyve,1
296,nihundrede og fireogfyrre; ethundrede og enoghalvtreds,0
297,firehundrede og enogtyve; trehundrede og sytten,0
298,ottehundrede og nioghalvtreds; tohundrede og fireoghalvfems,0
299,femhundrede og femogtyve; ethundrede og fjorten,0
300,femhundrede og femoghalvfems; ottehundrede og seksogtreds,1
301,syvogtreds; ottehundrede og femogtreds,1
302,firehundrede og fireogfirs; ottehundrede og femogfirs,1
303,sekshundrede og seksogtredive; syvhundrede og elleve,1
304,syvhundrede og syvogtyve; ethundrede og toogtreds,0
305,ottehundrede og fireogfyrre; toogtredive,0
306,syvhundrede og femten; firehundrede og fireoghalvtreds,0
307,sekshundrede og tre; sekshundrede og tredive,1
308,firehundrede og sytten; ottehundrede og tyve,1
309,femhundrede og nioghalvtreds; tohundrede og enogtreds,0
310,firehundrede og fireogfirs; femhundrede og femoghalvtreds,1
311,sekshundrede og nioghalvtreds; firehundrede og nioghalvfems,0
312,femhundrede og seksoghalvtreds; toogtreds,0
313,ottehundrede og enoghalvfems; ottehundrede og enogfyrre,0
314,firehundrede og seksoghalvfems; syvhundrede og syvogtredive,1
315,sekshundrede og fireogtredive; enogfyrre,0
316,ethundrede og treogtreds; trehundrede og seksogfirs,1
317,nioghalvfems; femhundrede og enogtyve,1
318,syvhundrede og niogtyve; syvhundrede og seksogfyrre,1
319,firehundrede og niogtredive; firehundrede og fyrre,1
320,firehundrede og toogfirs; femhundrede og tretten,1
321,sekshundrede og syvogtyve; firehundrede og seksogtredive,0
322,firehundrede og syvoghalvfjerds; syvhundrede og enogtyve,1
323,trehundrede og niogtyve; halvfems,0
324,femhundrede og tolv; trehundrede og elleve,0
325,ottehundrede og fireoghalvfjerds; tretten,0
326,femhundrede og niogtreds; ethundrede og fireogtyve,0
327,tohundrede og enoghalvtreds; tohundrede og tolv,0
328,nihundrede og syvogfyrre; tohundrede og enogtredive,0
329,tohundrede og otteoghalvfjerds; firehundrede og enoghalvtreds,1
330,nihundrede og syv; trehundrede og femoghalvfems,0
331,firehundrede og tyve; femhundrede og nioghalvfjerds,1
332,sekshundrede og seksoghalvfems; trehundrede og toogfirs,0
333,seksoghalvfjerds; ottehundrede og fireoghalvtreds,1
334,sekshundrede og tooghalvfjerds; toogtyve,0
335,ethundrede og otteogtyve; ottehundrede og syv,1
336,tohundrede og nitten; tohundrede og enoghalvtreds,1
337,trehundrede og fireogtredive; firehundrede og syvogtreds,1
338,syvhundrede og seksten; firehundrede og ti,0
339,ethundrede og fireogfyrre; ottehundrede og treogfyrre,1
340,nihundrede og treogtredive; sekshundrede og niogfyrre,0
341,syvhundrede og seksoghalvfjerds; femhundrede og seksoghalvfjerds,0
342,trehundrede og sytten; ethundrede og seksogtreds,0
343,ethundrede og enogfirs; nihundrede og nioghalvfems,1
344,tohundrede; sekshundrede og femogtyve,1
345,syvhundrede og otteogfyrre; ethundrede og fireogfyrre,0
346,ottehundrede og tre; syvhundrede og toogfirs,0
347,trehundrede og fjorten; trehundrede og fem,0
348,syvhundrede og elleve; sekshundrede og sytten,0
349,ethundrede og treogfyrre; trehundrede og tooghalvfjerds,1
350,firehundrede og treds; firehundrede og niogtyve,0
351,ethundrede og treogtredive; firehundrede og femogtreds,1
352,nihundrede og et; ethundrede og femogfirs,0
353,syvhundrede og niogtredive; fireoghalvtreds,0
354,trehundrede og syvogfirs; sekshundrede og fireogtyve,1
355,tohundrede og otteogtyve; syvhundrede og treogfirs,1
356,trehundrede og femoghalvfjerds; sekshundrede og fireogfirs,1
357,trehundrede og otteoghalvfjerds; trehundrede og syvoghalvfjerds,0
358,nihundrede og femogtreds; firehundrede og nitten,0
359,firehundrede og seksten; syvhundrede og seksoghalvfems,1
360,firehundrede og tooghalvfjerds; femogtreds,0
361,sekshundrede og treds; tohundrede og toogfyrre,0
362,femhundrede og femogtyve; syvogfyrre,0
363,nihundrede og treoghalvfjerds; firehundrede og sytten,0
364,nihundrede og syvoghalvfjerds; nihundrede og treogfyrre,0
365,firehundrede og enoghalvtreds; syv,0
366,ottehundrede og fireoghalvfems; sekshundrede og otteogtreds,0
367,ethundrede og niogtreds; femhundrede og fyrre,1
368,femhundrede og femoghalvfjerds; sekshundrede og enogtredive,1
369,femhundrede og seksoghalvtreds; treoghalvfems,0
370,ottehundrede og femogtyve; sekshundrede og femogfyrre,0
371,syvhundrede og fireogtredive; trehundrede og toogfyrre,0
372,ethundrede og et; femhundrede og femogtyve,1
373,firehundrede og toogtredive; treogfyrre,0
374,firehundrede og syvogfyrre; syvogfyrre,0
375,nihundrede og syvoghalvfems; syvhundrede og treds,0
376,femhundrede og otteogfyrre; femhundrede og femogtreds,1
377,trehundrede og tre; nihundrede og toogtreds,1
378,fireogfyrre; femhundrede og tooghalvfjerds,1
379,ethundrede og nioghalvfjerds; tohundrede og femogtreds,1
380,tohundrede og femoghalvfems; fireogfirs,0
381,firehundrede og otteogfyrre; femhundrede og syvogfirs,1
382,ottehundrede og treoghalvfjerds; sekshundrede og otteoghalvfems,0
383,ottehundrede og fem; sekshundrede og treogtredive,0
384,ottehundrede og niogfyrre; femhundrede og seks,0
385,trehundrede og femogtredive; ottehundrede og tre,1
386,firehundrede og treogfirs; firehundrede og halvfems,1
387,trehundrede og halvtreds; ottehundrede og treogfirs,1
388,firehundrede og treoghalvfjerds; ottehundrede og enoghalvtreds,1
389,femhundrede og enoghalvfjerds; trehundrede og syvogfirs,0
390,firehundrede; ethundrede og ni,0
391,ottehundrede og enoghalvfems; sekshundrede og treds,0
392,ethundrede og syvogtreds; sekshundrede og otteogtyve,1
393,enoghalvfjerds; nihundrede og syvoghalvfems,1
394,ottehundrede og toogfirs; ethundrede og toogtredive,0
395,sytten; sekshundrede og otteogtredive,1
396,ethundrede og niogtyve; firehundrede og halvfems,1
397,ethundrede og halvfjerds; elleve,0
398,nihundrede og niogtreds; firehundrede og syv,0
399,tohundrede og femogfyrre; tohundrede og treoghalvtreds,1
400,syvhundrede og syvoghalvfjerds; nihundrede og tre,1
401,firehundrede og nioghalvtreds; femhundrede og otteogtyve,1
402,sekshundrede og seksoghalvfjerds; femhundrede og seksoghalvtreds,0
403,ethundrede og sytten; sekshundrede og fireogtyve,1
404,nihundrede og seksogtreds; ethundrede og otteogtredive,0
405,syvhundrede og enogfirs; nihundrede og femoghalvtreds,1
406,femhundrede og syvogtreds; firehundrede og nioghalvfems,0
407,ottehundrede og treds; syvhundrede og halvtreds,0
408,syvhundrede og enogfyrre; syvhundrede og et,0
409,ethundrede og niogtreds; sekshundrede og treoghalvfems,1
410,trehundrede og seksogtredive; syvhundrede og seks,1
411,firehundrede og sytten; nihundrede og toogfirs,1
412,sekshundrede og femoghalvfjerds; firehundrede og syv,0
413,ethundrede og treds; trehundrede og seksogtreds,1
414,syvhundrede og otteoghalvfems; sekshundrede og treogfyrre,0
415,syvhundrede og otteogtredive; firehundrede og toogtredive,0
416,ottehundrede og fireogfyrre; femhundrede og seksogtredive,0
417,nihundrede og ti; trehundrede og nitten,0
418,ottehundrede og seksogfyrre; syvhundrede og seksoghalvtreds,0
419,syvhundrede og enoghalvfems; tohundrede og femogtyve,0
420,sekshundrede og syv; syvhundrede og fyrre,1
421,tohundrede og halvfjerds; firehundrede og enoghalvfjerds,1
422,tohundrede og otteogfyrre; firehundrede og treogtreds,1
423,niogfirs; femhundrede og tolv,1
424,sekshundrede og enogtyve; tohundrede og seksoghalvfems,0
425,trehundrede og tolv; ethundrede og atten,0
426,sekshundrede og toogfyrre; nihundrede og niogfirs,1
427,trehundrede og syvoghalvfems; syvhundrede og toogfirs,1
428,trehundrede og seksogfyrre; femhundrede og femogfirs,1
429,firs; sekshundrede og treogfyrre,1
430,syvhundrede og otteogfirs; trehundrede og et,0
431,nihundrede og halvtreds; tohundrede og seksogtreds,0
432,trehundrede og tooghalvfjerds; nihundrede og fireogtyve,1
433,sekshundrede og enoghalvtreds; nihundrede og otteoghalvfjerds,1
434,ethundrede og treogtreds; sekshundrede og fireogfyrre,1
435,ethundrede og seksoghalvfems; tohundrede,1
436,ottehundrede og fireogtyve; ottehundrede og enoghalvfems,1
437,firehundrede og enogfyrre; tohundrede og enoghalvfjerds,0
438,tohundrede og otteoghalvtreds; femhundrede og enoghalvfems,1
439,nihundrede og seksogfirs; ethundrede og femoghalvfems,0
440,tohundrede og fjorten; sekshundrede og fireogfirs,1
441,ethundrede og enoghalvfems; ottehundrede og enoghalvtreds,1
442,nihundrede og syvoghalvtreds; tohundrede og halvfjerds,0
443,tohundrede og treds; sekshundrede og enogfirs,1
444,niogtyve; nihundrede og fyrre,1
445,syvhundrede og niogfyrre; tohundrede og treoghalvtreds,0
446,firehundrede og otteoghalvfems; syvhundrede og treds,1
447,seksoghalvtreds; firehundrede og tolv,1
448,firehundrede og enogtredive; syvhundrede og fireogfyrre,1
449,trehundrede og tolv; ethundrede og toogtredive,0
450,sekshundrede og otteoghalvtreds; femogfyrre,0
451,trehundrede og treoghalvfjerds; firehundrede og nioghalvfems,1
452,ethundrede og otteogfirs; ethundrede og tolv,0
453,ottehundrede og elleve; femhundrede og seks,0
454,trehundrede og syvogfirs; firehundrede og toogfyrre,1
455,tre; firehundrede og treogfyrre,1
456,fjorten; tooghalvtreds,1
457,ethundrede og seksogfyrre; ethundrede og fireoghalvfjerds,1
458,femhundrede og fireogtredive; ethundrede og fireoghalvfems,0
459,femhundrede og seksoghalvfems; firehundrede og seksoghalvfjerds,0
460,nihundrede og otteoghalvtreds; femhundrede og syvoghalvtreds,0
461,trehundrede og femogtredive; treogfyrre,0
462,nihundrede og enogfyrre; sekshundrede og enogtredive,0
463,tohundrede og fyrre; femhundrede og femogtreds,1
464,fireogfirs; firehundrede og seksoghalvfjerds,1
465,ethundrede og otteogfirs; syvhundrede og halvtreds,1
466,trehundrede og atten; tohundrede og fireogfirs,0
467,sekshundrede og femogfyrre; firehundrede og femogtreds,0
468,ottehundrede og enoghalvfems; otte,0
469,femhundrede og firs; sekshundrede og syv,1
470,tohundrede og femogtyve; syvhundrede og enoghalvfjerds,1
471,trehundrede og enoghalvfems; enogtredive,0
472,nihundrede og femoghalvfjerds; nihundrede og femogtredive,0
473,ethundrede og fireogfyrre; syvhundrede og femogfyrre,1
474,femhundrede og nioghalvtreds; sekshundrede og fireogtreds,1
475,tohundrede og otteogtyve; femhundrede og fireogtredive,1
476,trehundrede og elleve; firehundrede,1
477,trehundrede og treoghalvfems; femhundrede og femoghalvtreds,1
478,tohundrede og syvogtyve; sekshundrede og nioghalvfjerds,1
479,trehundrede og ni; sekshundrede og treoghalvtreds,1
480,nihundrede og treoghalvtreds; sekshundrede og tre,0
481,treds; sekshundrede og nioghalvtreds,1
482,femhundrede og treoghalvfems; femhundrede og fireogtyve,0
483,ethundrede og femogfirs; firehundrede og fireogtreds,1
484,trehundrede og toogtyve; ethundrede og femoghalvfjerds,0
485,trehundrede og syvogfyrre; syvhundrede og atten,1
486,ethundrede og nioghalvtreds; femhundrede og tooghalvtreds,1
