,nums,labels
0,cent quarante huit; cent soixante dix neuf,1
56,cent quatre vingt quinze; six cent un,1
57,sept cent cinquante sept; cinq cent vingt cinq,0
58,deux cent quatre vingt dix sept; quatre cent soixante sept,1
59,trois cent quarante neuf; six cent trente trois,1
60,cent soixante huit; huit cent quatre vingt un,1
61,vingt huit; cinq cent quatre vingt trois,1
62,quatre cent soixante six; cinq cent cinquante,1
63,cinq cent cinquante cinq; cent soixante trois,0
64,quatre cent soixante; huit cent soixante quatorze,1
65,neuf cent treize; cent soixante deux,0
66,cent cinquante six; cent quatre vingt quinze,1
67,huit cent soixante et un; deux cent quatre vingt onze,0
68,neuf cent cinquante; cent cinquante six,0
69,soixante quinze; quatre cent soixante dix sept,1
70,cent trente quatre; cent soixante douze,1
71,trois cent soixante six; deux cent vingt sept,0
72,quatre vingt dix neuf; sept cent onze,1
73,deux cent vingt cinq; six cent quatre vingt quatorze,1
74,sept cent trente huit; cent seize,0
75,cinq cent cinquante sept; huit cent cinquante et un,1
76,cinq cent soixante huit; trois cent trente six,0
77,trente quatre; trois,0
78,cinq cents; cent cinq,0
79,neuf cent quarante huit; neuf cent cinquante cinq,1
80,quatre cent quatre vingt trois; dix neuf,0
81,deux cent soixante six; six cent cinquante et un,1
82,trente neuf; huit cent quatre vingt douze,1
83,sept cent cinq; cent huit,0
84,cent vingt sept; neuf cent quarante,1
85,mille; cinq cent quarante quatre,0
86,six cent quatre vingt neuf; quarante,0
87,neuf cent trente neuf; six cent seize,0
88,six; deux cent trente et un,1
89,soixante dix; quarante sept,0
90,cent soixante six; cinq cent trente deux,1
91,trois cent quarante huit; neuf cent quatre vingt deux,1
92,huit cent quatre vingt treize; six cent cinquante quatre,0
93,quatre cent treize; neuf cent soixante quatorze,1
94,cinq cent soixante; neuf cent soixante dix sept,1
95,cinq cent trente huit; cent quatre vingt douze,0
96,trois cent soixante dix huit; quatre cent cinquante huit,1
97,six cent soixante trois; soixante cinq,0
98,trois cent quarante six; trente sept,0
99,quatre cent cinquante et un; huit cent dix neuf,1
100,quatre cent vingt; huit cent cinq,1
101,neuf cent quatre vingt quatre; seize,0
102,deux cent soixante et un; huit cent soixante et un,1
103,sept cent cinquante cinq; dix,0
104,cent trente huit; quatre cent quatre vingt treize,1
105,cinq cent vingt neuf; quatre vingt onze,0
106,cent cinquante neuf; neuf cent quatre vingt dix huit,1
107,cent vingt cinq; vingt sept,0
108,trente quatre; sept cent quatre vingt deux,1
109,cent quarante cinq; trois cent quatre vingt dix neuf,1
110,quatre cent quatre vingt quatorze; deux cent quatre vingt un,0
111,quatre vingt dix; cinquante,0
112,quatre cent treize; cent quatre vingt huit,0
113,six cent cinq; trois cent cinquante cinq,0
114,deux cent quatre vingt treize; huit cent treize,1
115,sept cent quarante cinq; deux cent soixante trois,0
116,cinq cent soixante dix huit; quatre cent quatre vingt huit,0
117,cent quarante trois; sept cent dix huit,1
118,quatre vingt douze; cent vingt quatre,1
119,cinq cent quatre vingt un; six cent sept,1
120,quatre cent soixante treize; cinq cent quatre vingt quinze,1
121,quatre cent quarante sept; cinq cent quarante quatre,1
122,trois cent six; sept cent seize,1
123,six cent quatre vingt dix neuf; trois cent vingt et un,0
124,neuf cent vingt neuf; cent seize,0
125,huit cent vingt six; trois cent trente huit,0
126,sept cent un; huit cent quarante deux,1
127,cinq cent huit; six cent quatre vingt cinq,1
128,quatre cent soixante six; cinq cent dix huit,1
129,deux cent trente et un; neuf cent quatre vingt huit,1
130,cinq cent soixante sept; neuf cent trente deux,1
131,huit cent cinquante trois; quatre cent cinquante et un,0
132,cent cinquante; huit cent cinquante quatre,1
133,cent soixante douze; sept cent soixante,1
134,quatre cent cinquante neuf; cent cinquante cinq,0
135,trente; huit cent cinquante cinq,1
136,cinq cent vingt quatre; huit cent vingt et un,1
137,deux cent douze; quatre cent soixante huit,1
138,six cent soixante huit; neuf cent trente deux,1
139,sept cent trente huit; cent cinquante trois,0
140,cinq cent cinquante cinq; six cent soixante et onze,1
141,six cent quatre vingt quatorze; cent quatre vingt dix huit,0
142,cinq cent huit; quatre vingt douze,0
143,sept cent vingt neuf; huit cent quatre vingt six,1
144,neuf cent trois; cinq cent trente huit,0
145,cinq cent vingt sept; neuf cent quatre vingt deux,1
146,cent huit; trois cent trois,1
147,soixante quinze; sept cent soixante seize,1
148,soixante seize; six cent trente quatre,1
149,cinq cent quatre vingt neuf; sept cent quatre vingt douze,1
150,neuf cent quarante sept; huit cent vingt et un,0
151,neuf cent quatre vingt un; huit cent quatre vingt quatre,0
152,trois cent trente neuf; cent quatre vingt un,0
153,cent trente quatre; trois cent quatre vingt neuf,1
154,huit cent soixante et un; quatre cent quatre vingts,0
155,cinq cent quatorze; huit cent quatre vingt onze,1
156,sept cent trente deux; sept cent quatre vingt quinze,1
157,quatre cent cinquante; quatre cent quarante trois,0
158,neuf cent quatre vingt un; neuf cent neuf,0
159,quatre cent trente deux; trois cent vingt huit,0
160,six cent cinquante six; deux cent quatre vingt seize,0
161,cinq cent seize; huit cent trente deux,1
162,deux cent quatre vingt quatre; neuf cent soixante treize,1
163,cinquante six; deux cent soixante six,1
164,cent quarante huit; deux cent vingt six,1
165,neuf cent soixante six; deux cent quarante neuf,0
166,quatre vingt onze; quatre cent quarante trois,1
167,sept cent trente quatre; quatre cent soixante huit,0
168,quarante quatre; cent dix,1
169,quatre cent trente neuf; six cent cinquante deux,1
170,cent quatre vingt trois; huit cent quatre vingt treize,1
171,quatre cent vingt six; douze,0
172,six cent dix neuf; huit cent soixante huit,1
173,huit cents; deux cent soixante dix huit,0
174,trois cent quinze; deux cent quarante sept,0
175,cent vingt neuf; trois cent deux,1
176,huit cent treize; vingt quatre,0
177,huit cent onze; trois cent soixante trois,0
178,cinq cent cinquante et un; vingt six,0
179,quatre cent soixante dix huit; six cent soixante neuf,1
180,cent dix; huit cent trente neuf,1
181,soixante dix sept; quatre cent quatre vingt dix neuf,1
182,cinq cent douze; neuf cent vingt et un,1
183,trois cent quatre vingt neuf; huit cent trente,1
184,deux cents; quatre cent vingt trois,1
185,neuf cent quatre vingt deux; six cent quatre vingt six,0
186,six cent soixante et un; deux cent soixante et onze,0
187,quatre vingt quinze; cent cinquante trois,1
188,trois cent soixante dix sept; cent quatre vingt huit,0
189,quatre vingt dix neuf; deux cent soixante deux,1
190,huit cent trente huit; huit cent vingt cinq,0
191,trente quatre; cinquante quatre,1
192,six cent vingt trois; quatre cent soixante douze,0
193,huit cent soixante quatre; neuf cent quatre vingt quatorze,1
194,six cent soixante dix; trois cent vingt sept,0
195,cinq cent cinquante trois; trois cent cinquante quatre,0
196,deux cent dix sept; quatre cent quatre vingt dix,1
197,cinquante; sept cent quatre vingt six,1
198,huit cent douze; sept cent soixante dix sept,0
199,cinq cent cinquante sept; cent trente et un,0
200,cent quarante et un; soixante dix sept,0
201,quatre cent quarante et un; huit cent soixante sept,1
202,soixante cinq; vingt quatre,0
203,soixante six; sept cent cinquante,1
204,deux cent vingt quatre; cent soixante treize,0
205,sept cent onze; neuf cent soixante dix sept,1
206,quatre cent soixante dix sept; huit cent sept,1
207,six cent quatre vingt trois; cinq cent quatre vingt quatre,0
208,quatre cent soixante quatre; quatre cent cinquante quatre,0
209,huit cent vingt trois; trois cent quatre vingt quatre,0
210,six cent soixante dix neuf; cent quatre vingt treize,0
211,six cent quarante huit; neuf cent dix sept,1
212,deux cent dix; cent vingt deux,0
213,trois cent huit; six cent soixante quatorze,1
214,quatre cent soixante quatre; trois cent trente quatre,0
215,huit cent soixante seize; quatre cent quarante six,0
216,six cent quatre vingt neuf; huit cent cinquante,1
217,sept cent cinquante neuf; quatre cent quarante six,0
218,sept cent quatre vingt douze; cent quatre,0
219,deux cent douze; six cent soixante et onze,1
220,sept cent quarante huit; cent quarante quatre,0
221,cinq cent soixante dix neuf; neuf cent quarante quatre,1
222,huit cent cinquante quatre; cinq cent soixante et onze,0
223,neuf cent soixante et onze; cinq cent un,0
224,soixante cinq; cinq cent sept,1
225,sept cent soixante dix sept; trois cent soixante cinq,0
226,trois cent quatre vingt quinze; cinq cent quatre vingt dix huit,1
227,quatre cent soixante et un; sept cent trente quatre,1
228,quatre cent quatre vingt dix; trois cent cinquante six,0
229,neuf cent trente sept; trois cent quarante neuf,0
230,six cent cinquante et un; neuf cent cinquante six,1
231,cinq cent cinquante quatre; cent quarante trois,0
232,cinq cent quarante neuf; huit cent quarante et un,1
233,cinq cent soixante seize; six cent soixante deux,1
234,six cent quatre vingt dix huit; cinq cent cinq,0
235,dix sept; huit cent quarante deux,1
236,trois cent cinquante; cent quatre vingt cinq,0
237,cinq cent soixante huit; quatre cent quarante quatre,0
238,huit cent soixante sept; quatre vingt quatre,0
239,huit cent cinquante et un; neuf cent cinquante deux,1
240,trois cent cinquante huit; cent quatre vingt deux,0
241,huit cent onze; sept cent quarante et un,0
242,cent soixante douze; quarante sept,0
243,quatre cent trente quatre; six cent quarante quatre,1
244,neuf cent vingt deux; trois cent cinquante huit,0
245,six cent vingt neuf; deux cent quarante et un,0
246,sept cent quatre vingt dix huit; cent quarante neuf,0
247,trois cent quatre vingt quatre; huit cent quarante et un,1
248,six cent quatre vingt huit; cinq cent trois,0
249,trois cent cinquante deux; quatre cent soixante dix sept,1
250,six cent quatre vingt quinze; trois cent cinquante neuf,0
251,quatre cent quatre vingt huit; cinq cent trente trois,1
252,quatre cent quatre vingt deux; treize,0
253,deux cent quatre vingt dix huit; trois cent trente huit,1
254,sept cent quatre vingt treize; deux cent cinquante six,0
255,quatre cent soixante seize; quatre cent dix neuf,0
256,six cent quarante sept; quatre cent quatre vingt dix huit,0
257,trois cent quatre vingt quatre; huit cent onze,1
258,cent cinquante trois; sept cent vingt deux,1
259,cinq cent soixante six; sept cent dix sept,1
260,cent soixante dix neuf; huit cent quatre vingt six,1
261,trois cent trente deux; quatre cent soixante six,1
262,trois cent soixante quinze; neuf cent quatre vingt dix neuf,1
263,six cent quarante trois; cent soixante dix sept,0
264,neuf cent cinquante deux; deux cent quatre vingt dix neuf,0
265,sept cent soixante six; dix,0
266,six cent soixante six; soixante quinze,0
267,quatre cent soixante; six cent quatre vingt quinze,1
268,sept cent soixante et onze; quatre cent cinq,0
269,quatre cent quatre vingt trois; quatre vingt onze,0
270,cinq cent soixante seize; cent cinquante trois,0
271,six cent neuf; trente quatre,0
272,sept cent six; soixante douze,0
273,quatre cent treize; quarante neuf,0
274,sept cent vingt cinq; six cent quarante neuf,0
275,sept cent quatre vingt cinq; trois cent dix sept,0
276,deux cent quarante cinq; neuf cent vingt trois,1
277,cent quatre vingt dix; cinq cent dix huit,1
278,quatre cent soixante et un; cent trente six,0
279,cent trente et un; trois cent soixante douze,1
280,cinq cent trente sept; neuf cent trente et un,1
281,sept cent cinquante et un; cent soixante et un,0
282,six cent quatre vingt quatorze; huit cent quatre vingt onze,1
283,soixante cinq; deux cent quatorze,1
284,quatre cent seize; cinq cent soixante dix huit,1
285,cent neuf; cent dix,1
286,quatre vingt quinze; quatre cent soixante et un,1
287,sept cent vingt cinq; huit cent trente neuf,1
288,sept cent quarante; vingt trois,0
289,huit cent quatre vingt dix sept; cent quatre vingt sept,0
290,cinq cent un; soixante sept,0
291,quatre cent vingt deux; huit cent quarante cinq,1
292,neuf cent soixante seize; six cent cinquante neuf,0
293,deux cent quatre vingt cinq; cent soixante,0
294,quatre cent quatre; deux cent quatorze,0
295,cent quatre vingt seize; quatre vingt seize,0
296,quatre cent quinze; neuf cent sept,1
297,deux cent trente huit; quatre vingt dix huit,0
298,cinq cent vingt six; quatre cent quatre vingts,0
299,huit cent quatre vingt dix sept; cinquante,0
300,trois cent vingt trois; quatre cent soixante dix sept,1
301,huit cent cinquante quatre; trois cent soixante huit,0
302,deux cent quatre vingt trois; cent quarante trois,0
303,sept cent vingt neuf; neuf cent soixante seize,1
304,cinq cent soixante sept; deux cent quatre vingt dix sept,0
305,neuf cent cinquante sept; cinquante six,0
306,huit cent quarante quatre; quatre cent quarante six,0
307,cent sept; cinq cent vingt trois,1
308,six cent cinquante cinq; trois cent quatre vingt seize,0
309,quatre cent onze; neuf cent trente,1
310,quarante cinq; deux cent quatre vingt dix neuf,1
311,sept cent cinquante trois; huit cent soixante huit,1
312,huit cent vingt sept; cent quatre vingt trois,0
313,trois cent soixante treize; six cent quatre vingt un,1
314,deux cent soixante dix neuf; quatre cent cinquante quatre,1
315,cinq cent trente et un; sept cent quarante deux,1
316,neuf cent quatre vingt onze; sept cent trente quatre,0
317,huit cent cinquante deux; trois cent quatre vingt dix sept,0
318,deux cent vingt et un; neuf cent soixante et un,1
319,soixante; cent cinquante sept,1
320,neuf cent seize; deux cent trente sept,0
321,quatre cent vingt cinq; deux cent trente huit,0
322,quatre cent quatre vingt onze; trois cent quatre vingt onze,0
323,sept cent vingt et un; deux cent dix neuf,0
324,huit cent cinquante sept; cinq cent trente huit,0
325,sept cent soixante cinq; quatre cent soixante dix huit,0
326,trois cent soixante dix sept; cent trente deux,0
327,quatre cent trente cinq; cinq cent cinquante trois,1
328,trois cent cinquante trois; huit cent soixante six,1
329,trois cent vingt cinq; cent soixante dix huit,0
330,deux cent trente six; cent vingt deux,0
331,cinq cent soixante deux; neuf cent deux,1
332,cent quatre vingt trois; sept cent quatre,1
333,quatre cent soixante seize; huit cent vingt neuf,1
334,neuf cent quatre; neuf cent quatre vingts,1
335,vingt; six cent quatre vingt treize,1
336,quatre cent soixante dix sept; neuf cent neuf,1
337,cinq cent vingt neuf; neuf cent cinquante six,1
338,quatre cent quarante quatre; sept cent quatre vingt dix,1
339,trois cent soixante trois; trois cent quatre vingt douze,1
340,quatre cent douze; cinq cent soixante trois,1
341,sept cent vingt sept; cinq cent quarante deux,0
342,neuf cent cinquante deux; huit cent quatre vingt seize,0
343,deux cent vingt et un; cent quarante quatre,0
344,six cent dix huit; cent trente,0
345,cent quatre vingt huit; cinq cent soixante quatre,1
346,neuf cent soixante treize; cent soixante deux,0
347,six cent cinquante quatre; quatre cent quarante et un,0
348,cinq cent seize; sept cent trente sept,1
349,huit cent vingt cinq; neuf cent deux,1
350,quatre cent cinquante cinq; quatre cent soixante deux,1
351,six cent cinquante cinq; neuf cent trente neuf,1
352,trois cent quatre vingt deux; cinquante sept,0
353,neuf cent vingt sept; trois cent soixante seize,0
354,deux cent cinquante trois; six cent soixante six,1
355,deux cent quatre vingt quatorze; deux cent cinquante et un,0
356,huit cent quatre; trois cent soixante trois,0
357,cent quatre vingt un; six,0
358,quatre cent trente trois; sept cent dix neuf,1
359,huit cent trente cinq; cent vingt six,0
360,trois cent quarante sept; neuf cent trente cinq,1
361,trois cent vingt deux; cinq cent quatre vingt un,1
362,huit cent trente neuf; trente sept,0
363,cinq cent vingt et un; sept cent trente quatre,1
364,six cent quarante huit; deux cent soixante,0
365,deux cent sept; huit cent trente trois,1
366,huit cent quarante six; quatre vingt un,0
367,cent trois; neuf,0
368,soixante treize; cinq cent trente quatre,1
369,deux cent quarante deux; deux cent cinquante quatre,1
370,cent trente cinq; quarante huit,0
371,cent quatre vingt sept; cent soixante treize,0
372,quatre cent soixante; huit cent soixante seize,1
373,six cent quarante trois; deux cent soixante six,0
374,vingt trois; trois cent quarante deux,1
375,huit cent soixante et un; sept cent soixante treize,0
376,cent quarante; trois cent quatre vingt neuf,1
377,sept cent soixante douze; trois cent quarante trois,0
378,deux cent six; sept cent quatre vingt huit,1
379,six cent deux; deux cent trente deux,0
380,deux cent quatre vingt quinze; cent trente huit,0
381,trois cent quatorze; sept cent vingt sept,1
382,neuf cent quatre vingt six; sept cent cinquante et un,0
383,cent cinquante; quatre cent soixante quinze,1
384,cinq cent soixante neuf; huit cent soixante dix,1
385,huit cent quatre vingt sept; cinq cent quatre vingt seize,0
386,six cent dix huit; six cent trente et un,1
387,huit cent soixante neuf; cinq cent quatre vingt six,0
388,cent soixante quatre; neuf cent soixante dix huit,1
389,cent cinquante et un; quatre cent quatre vingt dix,1
390,sept cent trente six; neuf cent quatre vingt cinq,1
391,neuf cent cinquante cinq; deux cent douze,0
392,six cent seize; cent quarante trois,0
393,trois cent sept; huit cent onze,1
394,trois cent quarante huit; dix neuf,0
395,sept cent cinquante quatre; six cent dix,0
396,six cent trente deux; cinq cent soixante trois,0
397,sept cent quatre vingt sept; neuf cent soixante six,1
398,huit cent soixante treize; sept cent cinquante et un,0
399,sept cent cinq; cent trente deux,0
400,cinq cent vingt cinq; trois cent quatre vingt six,0
401,trois cent quinze; sept cent quatre vingt trois,1
402,quatre cent soixante quinze; cinquante,0
403,huit cent dix neuf; huit cent cinquante huit,1
404,huit cent quatre vingt six; trois cent quatre vingt douze,0
405,huit cent vingt sept; neuf cent quatre vingt cinq,1
406,quarante six; huit cent quarante et un,1
407,quatre cent quatorze; neuf cent quarante quatre,1
408,neuf cent quatre vingt neuf; sept cent quinze,0
409,six cent quatorze; trois cent soixante et onze,0
410,six cent trente cinq; deux cent quatre vingt neuf,0
411,cinq cent quarante et un; cinq cent quatre vingt douze,1
412,neuf cent un; deux cent quatre vingt dix,0
413,deux cent quinze; sept cent vingt sept,1
414,cinq cent vingt; neuf cent vingt huit,1
415,sept cent quatre vingt neuf; huit cent quatre vingt dix huit,1
416,huit cent cinquante trois; cinq cent quatre vingt treize,0
417,deux cent quatre vingt six; neuf cent quarante trois,1
418,trente six; cinq cent quatre vingt un,1
419,six cent soixante quatorze; trois cent quatre vingt dix,0
420,huit cent vingt quatre; quatre cent soixante cinq,0
421,neuf cent quatre vingt treize; cent cinquante,0
422,cent trente; sept cent cinquante huit,1
423,sept cent soixante deux; huit cent dix neuf,1
424,deux cent quatre vingt seize; cent trois,0
425,huit cent quatre vingt quinze; cent onze,0
426,neuf cent huit; deux cent quarante six,0
427,trois cent vingt deux; huit cents,1
428,huit cent quatre vingt huit; neuf cent quatre vingts,1
429,huit; cent quarante huit,1
430,huit cent soixante dix neuf; deux cent cinquante deux,0
431,sept cent cinquante et un; six cent cinquante deux,0
432,cinq cent neuf; six cent quatre vingt huit,1
433,cinq cent quarante; cent cinquante,0
434,cent quarante neuf; huit cent vingt huit,1
435,neuf cent vingt deux; quatre cent dix huit,0
436,quatre vingt dix sept; vingt huit,0
437,trois cent onze; quatre cent quatre vingts,1
438,quatre cent soixante douze; cinq cent vingt trois,1
439,quatre cent cinquante trois; deux cent quatre vingt seize,0
440,quatre cent soixante quatorze; deux cent quatre vingt six,0
441,deux cent vingt; six cent treize,1
442,deux cent cinquante deux; cinq cent quarante six,1
443,cinq cent vingt huit; dix neuf,0
444,quatre cent quarante; huit cent cinquante et un,1
445,quatre cent quatre vingt douze; sept cent trente trois,1
446,six cent soixante et onze; quatre vingt quatre,0
447,sept cent vingt sept; trois cent un,0
448,trois cent soixante quinze; neuf cent onze,1
449,neuf cent soixante dix neuf; sept cent treize,0
450,neuf cent quarante sept; cinq cent cinquante quatre,0
451,cinq cent soixante quinze; neuf cent dix neuf,1
452,quatre cent soixante seize; trois cent neuf,0
453,huit cent soixante dix neuf; quatre cent deux,0
454,trois cent soixante sept; trois cent quarante sept,0
455,neuf cent quatre vingt quinze; sept cent soixante quinze,0
456,neuf cent quatre vingt neuf; deux cent quarante et un,0
457,trois cent soixante dix; huit cent soixante dix sept,1
458,deux cent quatre vingts; deux cent soixante et un,0
459,cent cinquante trois; cent vingt deux,0
460,quatre vingt neuf; quatre cent trente sept,1
461,quatre cent soixante; sept cent quatre vingt treize,1
462,cent huit; cinq cent quarante huit,1
463,quatre vingt un; cent dix huit,1
464,cent soixante huit; six cent quatre vingt quatorze,1
465,cinq cent quarante sept; trois cent quarante cinq,0
466,six cent dix huit; quatre vingt seize,0
467,soixante neuf; neuf cent cinq,1
468,deux cent soixante seize; trois cent trente neuf,1
469,quatre cent trente trois; cent quatre vingt deux,0
470,cinq cent vingt six; six cent onze,1
471,cinq cent quatre vingt treize; cinq cent quatre vingt trois,0
472,cinq cent quarante et un; neuf cent quatre vingt un,1
473,cent quarante cinq; neuf cent cinquante six,1
474,quatre cent trente et un; neuf cent quarante neuf,1
475,sept cent soixante quatre; huit cent quatre vingt cinq,1
476,huit cent cinq; quatre cent cinq,0
477,sept cent soixante quinze; cent trente trois,0
478,cent cinquante huit; sept cent quinze,1
479,trois cent soixante dix huit; cent quatorze,0
480,deux cent soixante quatre; cinq cent soixante,1
481,sept cent quatre vingt dix neuf; huit cent deux,1
482,cent cinquante neuf; huit cent cinquante et un,1
483,neuf cent quarante huit; cinq cent soixante dix huit,0
484,deux cent deux; quatre cent cinquante neuf,1
485,six cent soixante dix neuf; cinq cent neuf,0
486,huit cent huit; sept cent quarante cinq,0
487,six cent quatre vingts; trois cent quarante,0
488,quatre cent quatre vingt quatorze; sept cent quarante trois,1
489,trois cent vingt; cent soixante douze,0
490,sept cent soixante dix; trois cent soixante cinq,0
491,cent cinquante trois; trois cent soixante trois,1
492,neuf cent soixante et onze; cinq cent trente six,0
493,quatre cent soixante quatre; quatre cent vingt cinq,0
494,huit cent quarante et un; deux cent trente huit,0
495,huit cent quatre vingt un; trois cent vingt,0
496,huit cent cinquante et un; vingt huit,0
497,neuf cent quarante cinq; sept cent trente neuf,0
498,cent soixante huit; neuf cent quatre vingt onze,1
499,deux cent trente huit; sept cent vingt quatre,1
500,neuf cent quatre vingt un; trois cent quatre vingt dix,0
501,neuf cent vingt sept; huit cent soixante quatorze,0
502,quatre vingt treize; cent trente huit,1
503,sept cent quatre; sept cent trente et un,1
504,cinq cent quatre vingts; quatre cent deux,0
505,quatre cent quatre vingt deux; deux cent vingt cinq,0
506,neuf cent quinze; neuf cent trente quatre,1
507,neuf cent dix neuf; huit cent huit,0
508,six cent sept; cent quarante trois,0
509,quatre vingt quatorze; cent treize,1
510,cinq cent six; cinq cent cinquante huit,1
511,huit cent quatre vingt six; soixante,0
512,six; sept cent vingt quatre,1
513,quatre cent quatre vingt un; cent cinquante sept,0
514,trois cent quarante deux; cinquante trois,0
515,deux cent neuf; soixante cinq,0
516,neuf cent soixante dix neuf; deux cent dix neuf,0
517,cinq cent huit; trente neuf,0
518,neuf cent vingt quatre; sept cent cinquante deux,0
519,quatre cent cinquante huit; huit cent cinquante neuf,1
520,cent trois; cent quatre,1
521,deux cent vingt huit; neuf cent dix sept,1
522,cent quinze; sept cent quatre,1
523,quatre cent soixante; trois cent trente huit,0
524,neuf cent vingt six; neuf cent quatre vingt treize,1
525,neuf cent soixante et onze; trois cent sept,0
526,sept cent soixante seize; neuf cent trente sept,1
527,deux cent quatre vingt dix; cent quatre vingt cinq,0
528,six cent vingt sept; quatre cent deux,0
529,quatre vingt sept; cinq cent cinquante et un,1
530,quatre cent quatre vingt seize; huit cent vingt trois,1
531,deux cent soixante quatre; huit cent quarante,1
532,sept cent vingt sept; cinq cent cinq,0
533,trois cent soixante; cinq cent quarante neuf,1
534,sept cent dix; six cent douze,0
535,neuf cent neuf; cent quatre vingt treize,0
536,six cent quatre vingt neuf; neuf cent soixante et un,1
537,sept cent quarante trois; quatre cent soixante et onze,0
538,trois cent vingt six; quatre vingt trois,0
539,huit cent soixante dix neuf; cent quatre vingt onze,0
540,quatre cent seize; neuf cent un,1
541,cent; cent deux,1
542,deux cent quatre vingt sept; deux cent cinq,0
543,cinq cent quarante neuf; sept cent quarante huit,1
544,cinq cent quarante cinq; quatre vingt douze,0
545,six cent cinq; deux cent trente cinq,0
546,sept cent sept; trois cent quatre vingt dix huit,0
547,soixante; cent quatre,1
548,quatre cent soixante treize; six cent cinquante et un,1
549,neuf cent quatre vingt quatre; trois cent soixante treize,0
550,deux cent huit; quatre vingt seize,0
551,cent soixante dix; cent trente trois,0
552,cent quatre vingt dix huit; sept cent quatre vingt trois,1
553,six cent trente cinq; cent vingt,0
554,cinq cent un; cent quarante et un,0
555,cinq cent quatorze; deux cent quarante trois,0
556,six cent quatre vingt seize; trois cent quarante quatre,0
557,neuf cent quatre vingt dix neuf; sept cent quarante neuf,0
558,cent cinquante quatre; quatre cent soixante cinq,1
559,quatre cent quatre vingt quatre; quatre cent vingt six,0
560,quatre cent soixante sept; deux cent dix huit,0
561,cinq cent soixante quatorze; sept cent quarante,1
562,quatre cent cinquante deux; deux cent quarante cinq,0
563,cinq cent dix sept; huit cent soixante dix,1
564,huit cent quatre vingt dix; sept cent quatre vingt seize,0
565,cinq; six cent quatre vingt onze,1
566,quatre cent quarante quatre; trois cent vingt et un,0
567,trente sept; sept cent trente huit,1
568,cent trente quatre; huit cent quatre vingt quatre,1
569,trois cent trente huit; sept cent soixante et un,1
570,sept cent quarante; cent quinze,0
571,deux cent cinquante sept; quatre cent douze,1
572,cinq cent quatre vingt dix; cinq cent quatre vingt quinze,1
573,cent quatre vingt onze; cent soixante six,0
574,cent soixante deux; deux cent trente quatre,1
575,sept cent quinze; huit cent quatre vingt quatre,1
576,quatre cent trente et un; trois cent cinquante quatre,0
577,huit cent quatre vingt dix sept; huit cent quarante quatre,0
578,cinq cent quarante et un; cinq cent quatre vingt six,1
579,huit cent quarante et un; quatre cent cinquante,0
580,quarante quatre; cent quatre vingt cinq,1
