lang,window,score
fr,27,273.5155484451555
fr,28,286.72562743725626
fr,29,299.83061693830615
fr,30,310.7208279172083
es,1,4.9232076792320765
es,2,10.492950704929507
es,3,16.374462553744625
es,4,22.834116588341168
es,5,29.985901409859014
es,6,37.274972502749726
es,7,44.9020097990201
es,8,53.07339266073393
es,9,61.53204679532047
es,10,66.55304469553045
es,11,75.49105089491052
es,12,84.85941405859414
es,13,94.26067393260674
es,14,103.97060293970603
es,15,114.26687331266874
es,16,124.46635336466353
es,17,134.78922107789222
es,18,145.50334966503348
es,19,156.26717328267173
es,20,163.7054294570543
es,21,174.66253374662534
es,22,185.8951104889511
es,23,197.01259874012598
es,24,208.3120687931207
es,25,220.03629637036298
es,26,231.5214478552145
es,27,243.04109589041096
es,28,254.8754124587541
es,29,266.6761323867613
es,30,275.1934806519348
ar,1,5.023697630236977
ar,2,10.67013298670133
ar,3,16.57984201579842
ar,4,22.981901809819018
ar,5,29.506249375062495
ar,6,36.773622637736224
ar,7,44.44765523447655
ar,8,52.682431756824315
ar,9,61.14998500149985
ar,10,65.94930506949305
ar,11,74.71912808719128
ar,12,83.78202179782022
ar,13,92.8883111688831
ar,14,102.16158384161584
ar,15,111.38926107389261
ar,16,121.06889311068893
ar,17,130.85741425857415
ar,18,140.9154084591541
ar,19,150.92570742925707
ar,20,157.56344365563444
ar,21,167.75132486751326
ar,22,178.14538546145386
ar,23,188.43995600439956
ar,24,198.78872112788721
ar,25,208.986301369863
ar,26,219.47815218478152
ar,27,229.93790620937907
ar,28,240.52004799520049
ar,29,250.9013098690131
ar,30,258.14798520147986
de,1,4.639036096390361
de,2,9.807619238076192
de,3,15.714828517148286
de,4,22.15088491150885
de,5,29.156184381561843
de,6,36.61113888611139
de,7,44.557744225577444
de,8,52.664133586641334
de,9,61.33896610338966
de,10,66.77902209779022
de,11,75.91430856914309
de,12,85.23847615238476
de,13,94.96270372962704
de,14,104.87691230876912
de,15,115.02579742025797
de,16,125.21297870212979
de,17,135.5208479152085
de,18,145.72972702729726
de,19,156.15248475152484
de,20,163.22147785221478
de,21,173.7045295470453
de,22,184.0897910208979
de,23,194.68783121687832
de,24,205.34236576342366
de,25,216.14158584141586
de,26,226.87071292870712
de,27,237.5744425557444
de,28,248.07579242075792
de,29,258.6656334366563
de,30,266.02979702029796
fi,1,5.514448555144486
fi,2,12.774022597740226
fi,3,20.747225277472253
fi,4,29.173582641735827
fi,5,38.24457554244576
fi,6,48.114088591140884
fi,7,58.84131586841316
fi,8,70.08059194080592
fi,9,81.14318568143186
fi,10,88.68913108689131
fi,11,100.4917508249175
fi,12,113.41115888411159
fi,13,126.60233976602339
fi,14,139.88371162883712
fi,15,153.4049595040496
fi,16,167.23077692230777
fi,17,181.43935606439356
fi,18,195.78722127787222
fi,19,209.64193580641935
fi,20,220.28667133286672
fi,21,234.3849615038496
fi,22,249.2800719928007
fi,23,264.32016798320166
fi,24,279.24087591240874
fi,25,294.1494850514949
fi,26,309.1076892310769
fi,27,324.2966703329667
fi,28,339.4420557944206
fi,29,353.87561243875615
fi,30,365.015098490151
kn,1,4.401759824017598
kn,2,9.546145385461454
kn,3,15.111688831116888
kn,4,20.97950204979502
kn,5,26.933306669333067
kn,6,33.53624637536247
kn,7,40.60463953604639
kn,8,48.068593140685934
kn,9,55.824517548245176
kn,10,60.72252774722528
kn,11,68.76152384761524
kn,12,77.14458554144585
kn,13,85.59624037596241
kn,14,94.13038696130387
kn,15,102.56084391560844
kn,16,111.2951704829517
kn,17,120.17018298170183
kn,18,129.22527747225277
kn,19,138.2809719028097
kn,20,144.45225477452254
kn,21,153.4958504149585
kn,22,162.84201579842016
kn,23,172.18668133186682
kn,24,181.55714428557144
kn,25,190.83531646835317
kn,26,200.36246375362464
kn,27,209.91560843915607
kn,28,219.56174382561744
kn,29,229.17798220177983
kn,30,236.015898410159
ko,1,1.110888911108889
ko,2,2.342065793420658
ko,3,3.6935306469353066
ko,4,5.165283471652835
ko,5,6.757324267573242
ko,6,8.469653034696531
ko,7,10.302269773022697
ko,8,12.255174482551745
ko,9,14.328367163283671
ko,10,15.532846715328468
ko,11,17.727927207279272
ko,12,19.943405659434056
ko,13,22.17928207179282
ko,14,24.435556444355566
ko,15,26.712228777122288
ko,16,29.00929907009299
ko,17,31.326767323267674
ko,18,33.65463453654635
ko,19,35.99400059994001
ko,20,37.4034596540346
ko,21,39.782721727827216
ko,22,42.173382661733825
ko,23,44.57544245575443
ko,24,46.988901109889014
ko,25,49.413758624137586
ko,26,51.85001499850015
ko,27,54.28767123287671
ko,28,56.73782621737826
ko,29,59.20737926207379
ko,30,60.73182681731827
ru,1,4.315768423157684
ru,2,9.78002199780022
ru,3,15.93030696930307
ru,4,22.986301369863014
ru,5,30.611638836116388
ru,6,38.96630336966303
ru,7,47.44575542445755
ru,8,56.55194480551945
ru,9,65.78082191780823
ru,10,72.33706629337067
ru,11,81.97670232976702
ru,12,92.25727427257274
ru,13,102.83371662833717
ru,14,113.84241575842415
ru,15,125.05379462053794
ru,16,136.45245475452455
ru,17,147.76822317768224
ru,18,159.25997400259973
ru,19,170.43325667433257
ru,20,179.16458354164584
ru,21,190.6005399460054
ru,22,202.56234376562344
ru,23,214.62783721627838
ru,24,226.997200279972
ru,25,239.4985501449855
ru,26,252.1002899710029
ru,27,264.5752424757524
ru,28,277.1255874412559
ru,29,289.2751724827517
ru,30,298.8875112488751
th,1,3.4436556344365563
th,2,7.261073892610739
th,3,11.714928507149285
th,4,16.051294870512947
th,5,21.414958504149585
th,6,26.433756624337565
th,7,32.2995700429957
th,8,38.22697730226977
th,9,44.556644335566446
th,10,48.30596940305969
th,11,54.98900109989001
th,12,61.737026297370264
th,13,68.78472152784721
th,14,75.43835616438356
th,15,82.79152084791521
th,16,89.54914508549145
th,17,96.83351664833516
th,18,103.92920707929207
th,19,111.06599340065993
th,20,115.3949605039496
th,21,122.69153084691531
th,22,130.02599740025997
th,23,137.6827317268273
th,24,144.95990400959903
th,25,152.94530546945305
th,26,160.33706629337067
th,27,168.25277472252776
th,28,175.94980501949806
th,29,183.73132686731327
th,30,188.75032496750325
vi,1,3.5998400159984003
vi,2,7.714528547145285
vi,3,11.857514248575143
vi,4,16.786421357864214
vi,5,22.034996500349965
vi,6,27.793520647935207
vi,7,33.60823917608239
vi,8,40.16888311168883
vi,9,47.05919408059194
vi,10,51.27667233276672
vi,11,58.585441455854415
vi,12,66.08549145085492
vi,13,73.3054694530547
vi,14,80.99560043995601
vi,15,88.66763323667634
vi,16,96.54454554544546
vi,17,104.14808519148085
vi,18,112.19188081191881
vi,19,120.23707629237076
vi,20,125.41875812418758
vi,21,133.54164583541646
vi,22,141.77562243775623
vi,23,149.68113188681133
vi,24,157.96630336966302
vi,25,166.16618338166182
vi,26,174.4877512248775
vi,27,182.47575242475753
vi,28,190.82581741825817
vi,29,199.10618938106188
vi,30,204.4928507149285
