,sents,labels
0,firs; femhundrede og nioghalvfems,1
47,firehundrede og tyve; ethundrede og syvoghalvtreds,0
48,ethundrede og femogtreds; elleve,0
49,ethundrede og tredive; syvogfirs,0
50,nihundrede og fyrre; nihundrede og enogfirs,1
51,tohundrede og seksogtreds; trehundrede og treogtreds,1
52,tohundrede og femoghalvfems; ottehundrede og otteoghalvtreds,1
53,ottehundrede og et; syvhundrede og nioghalvfems,0
54,femhundrede og tyve; firehundrede og femogfyrre,0
55,nihundrede og treoghalvfjerds; ottehundrede og seksogfirs,0
56,sekshundrede og syvoghalvtreds; trehundrede og treoghalvfjerds,0
57,ottehundrede og sytten; nihundrede og treogfyrre,1
58,syvhundrede og otteogfirs; sekshundrede og fireoghalvfems,0
59,tohundrede og femoghalvfjerds; femhundrede og toogtyve,1
60,treoghalvfjerds; femhundrede og niogtreds,1
61,femhundrede og fire; nihundrede og syvogtyve,1
62,femhundrede og atten; trehundrede og fireogtredive,0
63,tohundrede og fireoghalvfems; sekshundrede og syvoghalvfjerds,1
64,trehundrede og syvoghalvtreds; firehundrede og sytten,1
65,syvogtreds; tohundrede og otteogfirs,1
66,sekshundrede og treogtreds; syvhundrede og otteogtreds,1
67,otte; ethundrede og tyve,1
68,nioghalvtreds; niogfirs,1
69,nihundrede og syv; syvhundrede og seks,0
70,syvhundrede og fireogtyve; trehundrede og to,0
71,treogfyrre; ethundrede og seksoghalvfjerds,1
72,femhundrede og tolv; sekshundrede og seksten,1
73,femhundrede og otteoghalvtreds; ethundrede og seksogtreds,0
74,sekshundrede og niogtyve; syvhundrede og seksogfirs,1
75,trehundrede og seksogtreds; syvhundrede og niogtredive,1
76,firehundrede og toogfirs; nihundrede og nioghalvfems,1
77,syv; syvhundrede og niogfirs,1
78,trehundrede og fem; syv,0
79,femhundrede og fireoghalvfjerds; nihundrede og femoghalvfems,1
80,nihundrede og syvoghalvtreds; syvhundrede og treoghalvfjerds,0
81,toogtredive; ottehundrede og femogfyrre,1
82,tohundrede og syvogtreds; femhundrede og elleve,1
83,femhundrede og femoghalvtreds; ettusind,1
84,seksogfyrre; otte,0
85,trehundrede og treogtreds; syvhundrede og treogfyrre,1
86,femhundrede og femoghalvfjerds; enogtreds,0
87,ethundrede og niogtyve; nihundrede og otteogfyrre,1
88,nihundrede og syvoghalvfems; femhundrede og otteoghalvfems,0
89,firehundrede og otteogfirs; syvhundrede og niogfirs,1
90,sekshundrede og atten; tolv,0
91,trehundrede og treoghalvfjerds; trehundrede og niogtredive,0
92,trehundrede og syvogfyrre; ni,0
93,firehundrede og sytten; firehundrede og tooghalvfjerds,1
94,ottehundrede og firs; sekshundrede og fireogfyrre,0
95,femogtredive; trehundrede og sytten,1
96,nihundrede og tre; syvhundrede og toogtredive,0
97,nihundrede og tredive; nihundrede og nioghalvfems,1
98,ethundrede og fireoghalvtreds; sekshundrede og femoghalvfems,1
99,firehundrede og treoghalvtreds; fireogtredive,0
100,halvtreds; nihundrede og toogtreds,1
101,ottehundrede og toogtredive; ottehundrede og fireogtredive,1
102,firehundrede og enogfirs; nihundrede og femoghalvfjerds,1
103,trehundrede og enogtredive; ethundrede og nioghalvtreds,0
104,sekshundrede og femoghalvfems; sekshundrede og enoghalvfjerds,0
105,nihundrede og treoghalvfjerds; toogfyrre,0
106,otteoghalvtreds; ethundrede og syv,1
107,femhundrede; tohundrede og fireoghalvfjerds,0
108,nihundrede og sytten; sekshundrede og seks,0
109,syvhundrede og nitten; tohundrede og femoghalvtreds,0
110,nihundrede og enogtyve; ottehundrede og et,0
111,firehundrede og tolv; tohundrede og toogfirs,0
112,trehundrede og otteoghalvfems; tohundrede og enogfirs,0
113,trehundrede og otte; ottehundrede og seksten,1
114,syvhundrede og treogfyrre; ottehundrede og fem,1
115,tohundrede og ti; firehundrede og seksogtreds,1
116,seksten; tohundrede og seksoghalvfems,1
117,femhundrede og tooghalvtreds; femhundrede og nitten,0
118,tohundrede og elleve; ethundrede og treoghalvfems,0
119,femhundrede og niogtyve; sekshundrede og fem,1
120,femhundrede og tre; firehundrede og seksoghalvfems,0
121,firehundrede og otteogtredive; syvhundrede og fyrre,1
122,tohundrede og femogfirs; tohundrede og fireogtredive,0
123,syvhundrede og tretten; trehundrede og treogfyrre,0
124,to; sekshundrede og syvogtyve,1
125,tohundrede og toogfirs; tohundrede og seksogtredive,0
126,trehundrede og niogtyve; trehundrede og fireogtredive,1
127,trehundrede og nitten; ottehundrede og seksoghalvfems,1
128,nihundrede og otteogtyve; ettusind,1
129,syvhundrede og femoghalvfems; firehundrede og otteogtreds,0
130,syvhundrede og seksogtredive; elleve,0
131,ethundrede og otteogtyve; trehundrede og et,1
132,ottehundrede og seks; ottehundrede og treogfyrre,1
133,femhundrede og enogfirs; syvhundrede og femoghalvtreds,1
134,nihundrede og fyrre; syvhundrede og seksoghalvfems,0
135,nihundrede og fireogfyrre; nihundrede og fireogtyve,0
136,femhundrede og syvoghalvtreds; otte,0
137,ethundrede og otteogfyrre; syvhundrede og syvoghalvfems,1
138,sekshundrede og otteoghalvtreds; firehundrede og femogfyrre,0
139,toogtreds; trehundrede og niogfirs,1
140,tyve; nihundrede og treogfyrre,1
141,femhundrede og syvogfyrre; syvhundrede og femogfirs,1
142,firehundrede og tre; ottehundrede og treogtreds,1
143,syvhundrede og niogfirs; ottehundrede og seksoghalvtreds,1
144,treogtyve; ottehundrede og treoghalvfjerds,1
145,syvhundrede og seksoghalvfems; ottehundrede og seksoghalvfjerds,1
146,ottehundrede og seksoghalvfjerds; tohundrede og tooghalvfems,0
147,tohundrede og niogtreds; ottehundrede og niogfyrre,1
148,ethundrede og niogtredive; sekshundrede og et,1
149,sekshundrede og enoghalvtreds; tohundrede og ni,0
150,femhundrede og treoghalvfjerds; ottehundrede og syvogtredive,1
151,femhundrede og seksogtredive; femoghalvtreds,0
152,femhundrede og syv; sekshundrede og treogfirs,1
153,sekshundrede og fireogtredive; firehundrede og femogtredive,0
154,tohundrede og fireogfirs; sekshundrede og fjorten,1
155,femhundrede og tre; femhundrede og tretten,1
156,ethundrede og femogfyrre; tohundrede og toogtyve,1
157,sekshundrede og tooghalvtreds; tohundrede og enogfyrre,0
158,trehundrede og seksogfirs; ottehundrede og fireoghalvfjerds,1
159,syvhundrede og nitten; nihundrede og syv,1
160,firehundrede og syvoghalvfjerds; firehundrede og syvogfirs,1
161,syvogtreds; enogfirs,1
162,ottehundrede og niogtreds; ethundrede og nitten,0
163,nihundrede og treogtredive; ethundrede og treogtyve,0
164,firehundrede og tyve; nihundrede og tre,1
165,sekshundrede og seksogtyve; syvhundrede og femoghalvtreds,1
166,firehundrede og toogfyrre; sekshundrede og enogfyrre,1
167,tredive; tohundrede og fireogfyrre,1
168,nihundrede og otteogtreds; trehundrede og nitten,0
169,syvhundrede og enogtredive; ottehundrede og niogtyve,1
170,ottehundrede og firs; ottehundrede og seksoghalvtreds,0
171,ethundrede og fireogtredive; sekshundrede og femogtyve,1
172,femhundrede og femoghalvfems; ottehundrede og seksoghalvfems,1
173,ottehundrede og tooghalvfems; syvhundrede og femogtyve,0
174,syv; firehundrede og femogfirs,1
175,trehundrede og femoghalvtreds; firehundrede og enogfyrre,1
176,nihundrede og fireogtreds; nioghalvtreds,0
177,nihundrede og seksogfyrre; firehundrede og femogtreds,0
178,firehundrede og femoghalvtreds; sekshundrede og enoghalvfjerds,1
179,syvhundrede og tredive; firehundrede,0
180,ottehundrede og otte; trehundrede og nioghalvfems,0
181,tohundrede og ni; nihundrede og halvfjerds,1
182,tooghalvtreds; tohundrede og seksogtreds,1
183,trehundrede og treogtyve; tohundrede og enoghalvfjerds,0
184,ottehundrede og treogfyrre; halvfjerds,0
185,seksoghalvtreds; nihundrede og tolv,1
186,ottehundrede og seksoghalvtreds; tohundrede og tre,0
187,syvhundrede og femogtreds; nihundrede og otteoghalvtreds,1
188,trehundrede og syvogtreds; tohundrede og seksogfyrre,0
189,femhundrede og otteogtreds; femhundrede og ni,0
190,ottehundrede og toogtyve; firehundrede og fjorten,0
191,sekshundrede og treogtreds; syvhundrede og niogfirs,1
192,firehundrede og seksogtreds; syvhundrede og to,1
193,nihundrede og nitten; tohundrede og to,0
194,ottehundrede og halvfems; femhundrede og fireogtredive,0
195,ethundrede og toogtyve; syvhundrede og treogtreds,1
196,nihundrede og enogfirs; femhundrede og fireogtyve,0
197,sekshundrede og treogfirs; syvhundrede og enogfirs,1
198,sekshundrede og toogfyrre; trehundrede og femogtreds,0
199,ottehundrede og enoghalvtreds; tohundrede og femogtreds,0
200,sekshundrede og syvoghalvtreds; fireogfyrre,0
201,syv; ethundrede og femoghalvtreds,1
202,ethundrede og femoghalvfems; sekshundrede og otteoghalvtreds,1
203,sekshundrede og toogtreds; syvhundrede og nioghalvfems,1
204,trehundrede og niogfirs; syvhundrede,1
205,trehundrede og seksogtyve; nihundrede og tretten,1
206,femhundrede og enogfyrre; ottehundrede og syvogfirs,1
207,trehundrede og seks; ottehundrede og niogtreds,1
208,treogfyrre; femhundrede og otteoghalvtreds,1
209,nihundrede og treds; femhundrede og niogfyrre,0
210,ottehundrede og enogfyrre; enogfirs,0
211,firehundrede og atten; firehundrede og enoghalvfems,1
212,ethundrede og elleve; trehundrede og nioghalvfems,1
213,syvogtyve; ottehundrede og enoghalvfems,1
214,sekshundrede og fireogtyve; syvhundrede og enogtreds,1
215,femhundrede og tooghalvtreds; nihundrede og toogtyve,1
216,sekshundrede og niogfyrre; ottehundrede og seksogfirs,1
217,tohundrede og femogfyrre; femhundrede og femogfyrre,1
218,trehundrede og ni; femhundrede og treoghalvfems,1
219,ethundrede og et; sekshundrede og femogtredive,1
220,firehundrede og seksogtyve; ethundrede og otteogtredive,0
221,sekshundrede og seks; ethundrede og tooghalvtreds,0
222,ottehundrede og toogtyve; tooghalvfjerds,0
223,ottehundrede og otteoghalvfems; femhundrede og femogtyve,0
224,ottehundrede og syvogfyrre; sekshundrede og treoghalvtreds,0
225,syvhundrede og nioghalvfems; nihundrede og enogtreds,1
226,tohundrede og niogtyve; ethundrede og halvfjerds,0
227,firehundrede og enogfyrre; firehundrede og otteoghalvfjerds,1
228,trehundrede og fyrre; trehundrede og ni,0
229,nihundrede og femoghalvtreds; syvoghalvtreds,0
230,ottehundrede og syvoghalvtreds; ottehundrede og tretten,0
231,syvhundrede og seksogfirs; sekshundrede og femogfirs,0
232,tohundrede og treoghalvtreds; ethundrede og niogtyve,0
233,femhundrede og seksoghalvfjerds; ottehundrede og to,1
234,ottehundrede og otteogtyve; syvhundrede og otte,0
235,syvhundrede og otteoghalvfems; firehundrede og enogtredive,0
236,trehundrede og otteogfyrre; ethundrede og seksoghalvfems,0
237,ottehundrede og nioghalvtreds; ottehundrede og tooghalvfjerds,1
238,ethundrede og enogtredive; ottehundrede og nitten,1
239,tolv; nioghalvfems,1
240,nihundrede og toogfirs; tohundrede,0
241,ethundrede og enoghalvfems; sekshundrede og otteoghalvtreds,1
242,firehundrede og niogfyrre; femhundrede og enogtredive,1
243,ottehundrede og fireoghalvfjerds; trehundrede og femogtreds,0
244,sekshundrede og toogtyve; ottehundrede og fireoghalvfems,1
245,ethundrede og fireogtreds; ottehundrede og fyrre,1
246,sekshundrede og fireoghalvtreds; femhundrede og nioghalvfjerds,0
247,firehundrede og enoghalvfems; nihundrede og femten,1
248,nihundrede og femoghalvtreds; enogtredive,0
249,firehundrede og fyrre; femhundrede og seksoghalvtreds,1
250,tohundrede og treogtredive; niogtredive,0
251,nihundrede og otteogtyve; firehundrede og tooghalvfems,0
252,nihundrede og fireoghalvtreds; femhundrede og femogtyve,0
253,firehundrede; sekshundrede og tolv,1
254,syvhundrede og elleve; ottehundrede og niogtredive,1
255,ottehundrede og enogtredive; syvhundrede og toogtredive,0
256,syvhundrede og treogfirs; trehundrede og tre,0
257,sekshundrede og femogtredive; sekshundrede og treoghalvfems,1
258,tohundrede og femten; trehundrede og enogfirs,1
259,seksogfirs; ethundrede og treogtyve,1
260,nihundrede og seks; ethundrede og enogtyve,0
261,ottehundrede og fireoghalvtreds; syvhundrede og firs,0
262,firehundrede og syvoghalvfems; tohundrede og syvogfyrre,0
263,syvhundrede og seksogtyve; trehundrede og tolv,0
264,tohundrede og femoghalvfems; firehundrede og syvogtyve,1
265,trehundrede og enogtyve; trehundrede og seksoghalvtreds,1
266,femhundrede og seksoghalvtreds; ottehundrede og fireoghalvtreds,1
267,trehundrede og fireogtredive; firehundrede og toogtreds,1
268,ethundrede og enogtredive; nihundrede og seksogfirs,1
269,ethundrede og fem; trehundrede og fireogtreds,1
270,ottehundrede og femogtreds; syvhundrede og halvtreds,0
271,tohundrede og seksogtyve; ethundrede og treogtreds,0
272,femhundrede og ti; tohundrede og treoghalvtreds,0
273,nihundrede og toogfyrre; syvhundrede og otteogtredive,0
274,sekshundrede og ti; sekshundrede og fireogtreds,1
275,femhundrede og femogtyve; syvhundrede og niogtreds,1
276,firehundrede og femten; firehundrede og fireogtyve,1
277,atten; syvhundrede og syvoghalvtreds,1
278,niogtyve; femhundrede og enogtyve,1
279,tooghalvtreds; ethundrede og enoghalvtreds,1
280,nihundrede og firs; trehundrede og syvoghalvfems,0
281,femhundrede og seksogtreds; tre,0
282,treoghalvtreds; tohundrede og femogtreds,1
283,femhundrede og fireogtyve; nihundrede og otte,1
284,firehundrede og otteoghalvtreds; firehundrede og syvogtredive,0
285,trehundrede og nitten; firehundrede og seksogtyve,1
286,fireoghalvfems; ethundrede og toogfyrre,1
287,femhundrede og seks; firehundrede og femoghalvtreds,0
288,femhundrede og tooghalvtreds; sekshundrede og seksoghalvtreds,1
289,ottehundrede og fjorten; syvhundrede og nioghalvfjerds,0
290,ethundrede og niogfirs; femhundrede og otteoghalvfems,1
291,syvhundrede og otteogtreds; tooghalvfems,0
292,trehundrede og fyrre; ottehundrede og niogtyve,1
293,nihundrede og tyve; sekshundrede og niogtreds,0
294,firehundrede og ti; trehundrede og femogfirs,0
295,firehundrede og fyrre; femhundrede og fireogtredive,1
296,syvhundrede og tretten; syvhundrede og seksogtyve,1
297,firehundrede og nioghalvfems; femhundrede og niogtredive,1
298,halvtreds; seksogfirs,1
299,ethundrede og syvoghalvfjerds; sekshundrede og otteogtredive,1
300,sekshundrede og et; ethundrede og enoghalvfjerds,0
301,nihundrede og otteogfyrre; tohundrede og otteogfyrre,0
302,ottehundrede og fireoghalvfems; ottehundrede og seksoghalvfjerds,0
303,tohundrede og to; syvhundrede og femoghalvtreds,1
304,ethundrede og tooghalvfjerds; ethundrede og niogtredive,0
305,trehundrede og syvoghalvtreds; femogtyve,0
306,nihundrede og femten; trehundrede og ni,0
307,ottehundrede og femoghalvtreds; firehundrede og enoghalvtreds,0
308,syvhundrede og fireogtreds; firehundrede og femoghalvfjerds,0
309,syvhundrede og halvfems; trehundrede og treds,0
310,syvhundrede og firs; syvhundrede og enogtreds,0
311,ottehundrede og halvfems; nihundrede og enoghalvfjerds,1
312,tohundrede og ni; ottehundrede og syv,1
313,ethundrede og enogfirs; syvhundrede og seksogtyve,1
314,femhundrede og treoghalvtreds; ottehundrede og fireogtyve,1
315,syvhundrede og otteogfirs; tohundrede og tretten,0
316,tohundrede og treds; nihundrede og treds,1
317,trehundrede og fireoghalvtreds; sekshundrede og firs,1
318,tohundrede og nioghalvfems; firehundrede og toogfirs,1
319,trehundrede og fireoghalvfjerds; nihundrede og seksoghalvfjerds,1
320,sekshundrede og toogtreds; nihundrede og fireogtreds,1
321,nihundrede og nioghalvfjerds; trehundrede og halvfems,0
322,firehundrede og enoghalvfjerds; syvhundrede og nioghalvtreds,1
323,ethundrede og nitten; femhundrede og tooghalvtreds,1
324,syvhundrede og fireogtredive; sekshundrede og treogtredive,0
325,ethundrede og nioghalvfems; treoghalvfjerds,0
326,trehundrede og otteoghalvtreds; firehundrede og enogtyve,1
327,sekshundrede og enoghalvfjerds; tre,0
328,sekshundrede og femogtreds; nihundrede og toogtyve,1
329,syvhundrede og enogtredive; tohundrede og fire,0
330,firehundrede og fireogfirs; syvhundrede,1
331,femhundrede og halvtreds; femhundrede og toogfirs,1
332,firehundrede og enogtreds; nihundrede og otteoghalvtreds,1
333,tohundrede og enogfirs; syvhundrede og firs,1
334,ottehundrede og toogfirs; sekshundrede og enoghalvfems,0
335,trehundrede og tooghalvfjerds; firehundrede og fireoghalvfjerds,1
336,nihundrede og treds; tohundrede og femogtyve,0
337,trehundrede og toogtyve; trehundrede og niogfirs,1
338,syvhundrede og enoghalvfems; firehundrede og syvogtredive,0
339,ottehundrede og tyve; nihundrede og tre,1
340,nihundrede og seksoghalvfjerds; syvhundrede og tretten,0
341,nihundrede og tooghalvtreds; firehundrede og tyve,0
342,syvhundrede og ti; firehundrede og fjorten,0
343,femhundrede og seksogfirs; ottehundrede og atten,1
344,femhundrede og fireoghalvfjerds; trehundrede og otteoghalvfems,0
345,firehundrede og tyve; firs,0
346,nioghalvfjerds; syvhundrede og syvogtreds,1
347,femhundrede og toogtredive; ottehundrede og syvoghalvfems,1
348,ottehundrede og toogtredive; tohundrede og fjorten,0
349,femhundrede og toogtreds; tohundrede og syvogfirs,0
350,trehundrede og treogtredive; nihundrede og tooghalvfems,1
351,femhundrede og nioghalvfjerds; ethundrede og niogfyrre,0
352,syvhundrede og femogtyve; nihundrede og enogtyve,1
353,niogfirs; syvhundrede og fireogtyve,1
354,trehundrede og toogtredive; femhundrede og fem,1
355,femhundrede og treoghalvtreds; femhundrede og femoghalvfjerds,1
356,ottehundrede og fyrre; nihundrede og seksoghalvtreds,1
357,nihundrede og fireogtreds; syvhundrede og treds,0
358,nihundrede og otteogtredive; femhundrede og seksogfirs,0
359,firehundrede og otteogfyrre; syvhundrede og toogfirs,1
360,femhundrede og syvoghalvtreds; femhundrede og femoghalvfems,1
361,tredive; femhundrede og fyrre,1
362,ethundrede og treogfyrre; ethundrede og seksogfirs,1
363,trehundrede og fireoghalvfjerds; tohundrede og fem,0
364,nihundrede og syvoghalvfjerds; trehundrede og enogtredive,0
365,firehundrede og fem; trehundrede og niogtredive,0
366,ottehundrede og femoghalvtreds; sekshundrede og treogfyrre,0
367,ottehundrede og fyrre; syvhundrede og treoghalvfems,0
368,ethundrede og seksogfyrre; syvhundrede og halvtreds,1
369,femhundrede og toogtredive; femhundrede og syvogtyve,0
370,syvhundrede og elleve; femogfyrre,0
371,nihundrede og ti; ottehundrede og toogtredive,0
372,firehundrede og seksogfirs; firehundrede og syvogfirs,1
373,tohundrede og fyrre; syvhundrede og femogtreds,1
374,ethundrede og tredive; trehundrede og fireogtredive,1
375,nihundrede og treogtreds; sekshundrede og niogfyrre,0
376,sekshundrede og treoghalvfems; syvhundrede og fireoghalvfjerds,1
377,ethundrede og otteogtredive; sekshundrede og enoghalvtreds,1
378,ethundrede og enogtyve; tohundrede og tooghalvfjerds,1
379,trehundrede og treogtreds; ethundrede og femoghalvfjerds,0
380,trehundrede og nioghalvfjerds; firehundrede og fireoghalvfjerds,1
381,femhundrede og tooghalvfems; niogfyrre,0
382,femhundrede og elleve; tohundrede og atten,0
383,nihundrede og tyve; nihundrede og treoghalvtreds,1
384,trehundrede og niogtredive; femhundrede og syvogtredive,1
385,sytten; firehundrede og seksoghalvfems,1
386,trehundrede og fireogtreds; ethundrede og femogtyve,0
387,syvhundrede og treogfyrre; nihundrede og treds,1
388,ethundrede og seksogfyrre; ottehundrede og firs,1
389,nihundrede og tre; fireoghalvfjerds,0
390,syvhundrede og fjorten; syvhundrede og enogtyve,1
391,nihundrede og treoghalvfems; femhundrede og fireogtredive,0
392,trehundrede og tooghalvtreds; tohundrede og femogtreds,0
393,syvhundrede og otteogfyrre; ethundrede og fireogfyrre,0
394,trehundrede og otteoghalvfems; firehundrede og otteogtyve,1
395,femhundrede og syvoghalvfjerds; ottehundrede og treogtredive,1
396,firehundrede og otteogfyrre; firehundrede og seksogfyrre,0
397,ethundrede og nioghalvfjerds; syvhundrede og tre,1
398,nihundrede og femogtreds; ethundrede og syvoghalvfems,0
399,firehundrede og fire; nihundrede og treoghalvfjerds,1
400,trehundrede og fireogfirs; nihundrede og syvogtredive,1
401,tohundrede og syvoghalvfems; syvhundrede og syvogtyve,1
402,nihundrede og niogtyve; nihundrede og firs,1
403,nihundrede og femogtyve; trehundrede og otteoghalvtreds,0
404,syvhundrede og nioghalvtreds; firehundrede og niogtredive,0
405,femhundrede og seksoghalvtreds; syvhundrede og tyve,1
406,tohundrede og fireoghalvfems; sekshundrede og otteogfyrre,1
407,syvhundrede og femoghalvfjerds; firehundrede og niogfyrre,0
408,firehundrede og niogtyve; ethundrede og toogtredive,0
409,trehundrede og fireogfyrre; enogfyrre,0
410,ottehundrede og to; firehundrede og femogtredive,0
411,femhundrede og nioghalvtreds; trehundrede og halvfjerds,0
412,femhundrede og halvtreds; tre,0
413,firehundrede og halvfems; firehundrede og to,0
414,ottehundrede og otteogtredive; sekshundrede og otteoghalvtreds,0
415,femhundrede og enogtredive; tohundrede og syvoghalvfems,0
416,ottehundrede og treds; syvhundrede og otteogfirs,0
417,femhundrede og tredive; firehundrede og treogtyve,0
418,sekshundrede og femogtredive; trehundrede og seksoghalvtreds,0
419,elleve; ethundrede og femoghalvfjerds,1
420,nihundrede og seksogtyve; syvhundrede og treoghalvfjerds,0
421,nihundrede og toogtyve; tohundrede og fireoghalvfems,0
422,trehundrede og enogtredive; firehundrede og tretten,1
423,firehundrede og treogtreds; ottehundrede og tooghalvtreds,1
424,trehundrede og enogtyve; nihundrede og treoghalvfems,1
425,nihundrede og femogtredive; nihundrede og enoghalvtreds,1
426,seksogtreds; trehundrede og syvogtreds,1
427,syvhundrede og fireogfirs; femhundrede og tretten,0
428,trehundrede og atten; fireogtyve,0
429,sekshundrede og tooghalvtreds; femhundrede og et,0
430,femhundrede og tredive; trehundrede og enogtreds,0
431,ottehundrede og enogtyve; nihundrede og fire,1
432,ethundrede og nitten; ottehundrede og syvoghalvfjerds,1
433,fireogfyrre; tohundrede og enogtreds,1
434,seksoghalvfjerds; tohundrede og otteogtyve,1
435,sekshundrede og seksogtreds; tohundrede og atten,0
436,ottehundrede og enogtredive; enogtredive,0
437,nihundrede og enogfyrre; nihundrede og fireoghalvtreds,1
438,sekshundrede og femten; ethundrede og toogtredive,0
439,tohundrede og femoghalvfems; syvhundrede og otteogfirs,1
440,trehundrede og otteoghalvfjerds; nihundrede og tretten,1
441,sekshundrede og toogfirs; nihundrede og fireoghalvtreds,1
442,femhundrede og tyve; sekshundrede og treogfyrre,1
443,ottehundrede og tooghalvfems; femhundrede og tolv,0
444,trehundrede og femogtredive; nihundrede og seksoghalvfjerds,1
445,trehundrede og treogtreds; trehundrede og femogtyve,0
446,ottehundrede og seks; firehundrede og otteogfyrre,0
447,firehundrede og fem; tohundrede og halvtreds,0
448,fire; sekshundrede og tooghalvtreds,1
449,ottehundrede og toogtreds; tohundrede og nioghalvtreds,0
450,ethundrede og syvoghalvfjerds; trehundrede og tre,1
451,sekshundrede og femogtreds; ottehundrede og halvtreds,1
452,sekshundrede og enogtredive; atten,0
453,sekshundrede; syvhundrede og elleve,1
454,femhundrede og ni; ottehundrede og nioghalvfems,1
455,femhundrede og toogfyrre; syvhundrede og to,1
456,femhundrede og toogfirs; firehundrede og seksoghalvfems,0
457,syvhundrede og treogtredive; nihundrede og atten,1
458,trehundrede og tretten; femhundrede og fyrre,1
459,syvogtreds; ethundrede og tooghalvfems,1
460,tohundrede og treoghalvfems; syvhundrede og syvogfyrre,1
461,ottehundrede og enogfirs; trehundrede og seksogtyve,0
462,femhundrede og seksogtredive; nihundrede og nitten,1
463,tohundrede og femogtreds; firehundrede og enogtredive,1
464,ottehundrede og treoghalvfjerds; firehundrede og otteogtyve,0
465,trehundrede og otteogtreds; fireoghalvfjerds,0
466,femhundrede og femten; femhundrede og enogtreds,1
467,trehundrede og femogtredive; syvhundrede og tooghalvtreds,1
468,ottehundrede og nioghalvtreds; ethundrede,0
469,ethundrede og syvogtreds; trehundrede og seksoghalvfjerds,1
470,ethundrede og toogtredive; trehundrede,1
471,ottehundrede og femogfyrre; ethundrede og niogfirs,0
472,nihundrede og femogtyve; ottehundrede og firs,0
473,ethundrede og enogtreds; syvhundrede og tooghalvtreds,1
474,ottehundrede og niogfyrre; ottehundrede og tooghalvfjerds,1
475,tohundrede og enoghalvtreds; firehundrede og syv,1
476,tohundrede og seksten; syvogfirs,0
477,ottehundrede og enoghalvtreds; tohundrede og seksten,0
478,tohundrede og fireoghalvtreds; trehundrede og otteoghalvfjerds,1
479,ottehundrede og syvogfirs; trehundrede og nitten,0
480,sekshundrede og fyrre; femhundrede og enoghalvtreds,0
481,syvhundrede og tooghalvfjerds; nihundrede og treds,1
482,femhundrede og ni; nihundrede og tyve,1
483,nihundrede og fireogfyrre; otte,0
484,sekshundrede og syvogfyrre; sekshundrede og fireogtreds,1
485,seksten; femhundrede og seksogtreds,1
486,tohundrede og fyrre; sekshundrede og femogtredive,1
487,firehundrede og seksten; firehundrede og fireogfyrre,1
488,trehundrede og treoghalvtreds; nihundrede og seksten,1
