,sents,labels
121,sekshundrede og treogtyve syvhundrede og halvtreds,1
122,femhundrede og otteogfirs,0
123,nihundrede og to,0
124,sekshundrede og enogtreds nihundrede og tolv,1
125,tohundrede og seksogtyve femhundrede og seksogfyrre,1
126,nihundrede og seksoghalvtreds trehundrede og seksogfyrre,1
127,femhundrede og treogfyrre et,1
128,syvhundrede og fireogtyve,0
129,femhundrede og enoghalvtreds syvhundrede og toogtreds,1
130,firehundrede og syvogfyrre,0
131,sekshundrede og otteoghalvfems trehundrede og fire,1
132,femhundrede og treoghalvfjerds,0
133,enogtreds,0
134,tohundrede og treogfirs sekshundrede og toogtredive,1
135,tohundrede og otteogtredive,0
136,seksogtyve trehundrede og treogtreds,1
137,sekshundrede og enoghalvfems tohundrede og elleve,1
138,syvogfyrre,0
139,sekshundrede og otteoghalvtreds tohundrede og seksoghalvfjerds,1
140,ethundrede og otteoghalvtreds,0
141,nihundrede og enoghalvfjerds ottehundrede og seksten,1
142,nihundrede og otteogtyve ottehundrede og elleve,1
143,femhundrede og syvogfyrre nihundrede og tolv,1
144,syvhundrede og fireoghalvtreds,0
145,seksogtyve,0
146,femoghalvfems,0
147,syvhundrede og syv sekshundrede og otteogfyrre,1
148,syvhundrede og niogtredive toogtredive,1
149,firehundrede og fem tohundrede og sytten,1
150,firehundrede og enogtredive sekshundrede og enoghalvfjerds,1
151,ottehundrede og nioghalvtreds nihundrede og niogtredive,1
152,ethundrede og fem,0
153,femhundrede og syvoghalvfjerds,0
154,syvhundrede og seksogtreds ottehundrede og otteoghalvfjerds,1
155,firehundrede og niogtreds femhundrede og femogtredive,1
156,syvhundrede og halvfems trehundrede og syv,1
157,tohundrede og seksogfirs,0
158,ottehundrede og fem ethundrede og otteogfirs,1
159,femhundrede og nitten,0
160,tohundrede og otteogtyve,0
161,ottehundrede og syvogtreds syvhundrede og treogtyve,1
162,syvhundrede og seks,0
163,tohundrede og enoghalvtreds,0
164,firehundrede og otteogtredive nihundrede og femoghalvfjerds,1
165,niogtreds,0
166,syvhundrede og otteogfyrre,0
167,sekshundrede og treogfirs,0
168,firehundrede og toogfyrre,0
169,tohundrede og halvfjerds,0
170,ethundrede og otteoghalvtreds ottehundrede og otteogfyrre,1
171,syvhundrede og sytten,0
172,ottehundrede og niogtreds firehundrede og treoghalvfjerds,1
173,sekshundrede og niogfyrre,0
174,syvhundrede og femogfyrre tohundrede og sytten,1
175,femogtredive firehundrede og treogfirs,1
176,firehundrede og fem,0
177,seksogfirs sekshundrede og niogtyve,1
178,syvhundrede og femoghalvfems,0
179,ethundrede og tredive femhundrede og femten,1
180,femhundrede og seksoghalvfems syvhundrede og treoghalvfems,1
181,femhundrede og femogtredive,0
182,toogfyrre,0
183,firehundrede og syvogfirs firehundrede og enogfirs,1
184,nihundrede,0
185,sekshundrede og halvfjerds,0
186,tohundrede og niogtyve firehundrede og toogfirs,1
187,nihundrede og syvogtredive syvhundrede og firs,1
188,ottehundrede og toogfirs ethundrede og niogfirs,1
189,firehundrede og seksogfirs,0
190,ottehundrede og treogtyve femhundrede og otteoghalvfjerds,1
191,enogfirs,0
192,sekshundrede og otteogtyve,0
193,tohundrede og enoghalvfems trehundrede og seksogtreds,1
194,trehundrede og femogtreds ottehundrede og sytten,1
195,ethundrede og syvoghalvtreds,0
196,trehundrede og tredive,0
197,femhundrede og otteogtyve ethundrede og treogtyve,1
198,femhundrede og niogfirs,0
199,femhundrede og tooghalvtreds sekshundrede og otteoghalvtreds,1
200,firehundrede og seksogfyrre,0
201,nihundrede og femogtyve trehundrede og et,1
202,trehundrede og femogtredive,0
203,tohundrede og niogfirs,0
204,tohundrede og toogfirs,0
205,ethundrede og femoghalvtreds trehundrede og nioghalvtreds,1
206,ethundrede og fireogtreds syvhundrede og nioghalvfjerds,1
207,ottehundrede og enogtyve,0
208,ethundrede og femten,0
209,firehundrede og syvogfyrre enoghalvtreds,1
210,nihundrede og femogfyrre nihundrede og enoghalvfjerds,1
211,syvhundrede og halvtreds,0
212,nihundrede og seksoghalvfjerds ottehundrede og tooghalvfems,1
213,femhundrede og enogtreds,0
214,firehundrede og nioghalvfjerds sekshundrede og enoghalvfems,1
215,nihundrede og syvogfyrre,0
216,ethundrede og toogtreds syvhundrede og fireogtredive,1
217,ottehundrede og nioghalvtreds trehundrede og niogtreds,1
218,syvhundrede og nitten,0
219,femhundrede og enoghalvtreds tohundrede og fjorten,1
220,sekshundrede og toogtredive,0
221,syvhundrede og tooghalvfjerds,0
222,nihundrede og seksogtredive femhundrede og otteoghalvfjerds,1
223,nihundrede og nioghalvtreds et,1
224,ottehundrede og otteoghalvfems ottehundrede og seksoghalvtreds,1
225,syvhundrede og to,0
226,firehundrede og fireogtyve,0
227,nihundrede og toogtyve tooghalvfems,1
228,syvhundrede og femogfyrre nihundrede og enogfirs,1
229,trehundrede og fire ottehundrede og femogtreds,1
230,nihundrede og treogtredive,0
231,syvhundrede og otteogtredive,0
232,nihundrede og toogfirs trehundrede og nioghalvtreds,1
233,firehundrede og syvoghalvfems nihundrede og enoghalvfems,1
234,ottehundrede og ti sekshundrede og femoghalvfjerds,1
235,nihundrede og niogfirs,0
236,ottehundrede og fjorten,0
237,ethundrede og seksogtredive,0
238,ethundrede og seksogfyrre sekshundrede og otteoghalvtreds,1
239,firehundrede og seksten,0
240,firehundrede og enogtredive ethundrede og femogtyve,1
241,seksoghalvfems tohundrede og syvoghalvtreds,1
242,tohundrede og seksogtredive,0
243,syvogfyrre firehundrede og enoghalvtreds,1
244,seksogfyrre,0
245,firehundrede og treoghalvfems tohundrede og treds,1
246,nihundrede og halvfjerds femhundrede og treogtyve,1
247,femhundrede og otteogfyrre,0
248,syvhundrede og treoghalvfems sytten,1
249,nihundrede og tooghalvtreds,0
250,sekshundrede og toogtreds trehundrede og seksogtreds,1
251,femhundrede og enoghalvfems sekshundrede og enoghalvfjerds,1
252,tohundrede og niogfyrre,0
253,sekshundrede og femogtreds syvhundrede og fireoghalvfems,1
254,ottehundrede og halvfems sekshundrede og treoghalvtreds,1
255,tohundrede og seksogtredive,0
256,firehundrede og sytten treogfyrre,1
257,firehundrede og fireogtyve,0
258,trehundrede og otteoghalvfems,0
259,tohundrede og syvogtreds femhundrede og syv,1
260,ottehundrede og fireoghalvtreds,0
261,trehundrede og syvogtredive ottehundrede og enogtredive,1
262,sekshundrede og femoghalvtreds syvhundrede og treoghalvfems,1
263,ethundrede og enoghalvfems tohundrede og syvoghalvfems,1
264,ottehundrede og ti tohundrede og seksogfyrre,1
265,nihundrede og syvogfirs,0
266,firehundrede og niogtreds,0
267,nihundrede og halvtreds otteogtreds,1
268,ethundrede og otteogtredive,0
269,femhundrede og tooghalvfjerds,0
270,firehundrede og toogtredive,0
271,ethundrede og tooghalvfems ethundrede og enogfirs,1
272,tohundrede og firs ethundrede og toogtreds,1
273,sekshundrede,0
274,tohundrede og enogfirs femhundrede og seksten,1
275,nihundrede og syvoghalvfjerds,0
276,treoghalvfems syvhundrede og femogfirs,1
277,tohundrede og femogfirs,0
278,firehundrede og toogfirs,0
279,nihundrede og femogfirs syvhundrede og femogtreds,1
280,tohundrede og fem tohundrede og elleve,1
281,sekshundrede og enogfyrre nihundrede og femogtyve,1
282,ottehundrede og fireoghalvfems,0
283,ottehundrede og halvfems,0
284,sekshundrede og elleve nihundrede og fireoghalvfems,1
285,ottehundrede og otteogtreds,0
286,tooghalvfjerds ethundrede og seksoghalvtreds,1
287,nihundrede og syv,0
288,enogtyve,0
289,tohundrede og syv elleve,1
290,trehundrede og femogfyrre sekshundrede og syvogtyve,1
291,tohundrede og enogfirs,0
292,tohundrede og seksogtredive ottehundrede og tooghalvtreds,1
293,sekshundrede og seksogtyve,0
294,ottehundrede og syvoghalvtreds,0
295,trehundrede og enogtreds fyrre,1
296,trehundrede og otteogfyrre ottehundrede og seksogtyve,1
297,femhundrede og ni ottehundrede og otteogfirs,1
298,ottehundrede og syvoghalvfems syvhundrede og treogfirs,1
299,ethundrede og syvogfirs,0
300,syvhundrede og seksogfyrre,0
301,trehundrede og fire,0
302,sekshundrede og syv,0
303,tohundrede og nioghalvfems tohundrede og seksogtyve,1
304,tohundrede og tolv syvhundrede og seksogtreds,1
305,sekshundrede og nioghalvfems tohundrede og treoghalvfjerds,1
306,ottehundrede og toogtyve,0
307,tohundrede og femogtredive syvhundrede og fem,1
308,ethundrede og femogfyrre,0
309,syvhundrede og treogfirs firehundrede og seksogtredive,1
310,trehundrede og niogfirs firehundrede og enoghalvfems,1
311,firehundrede og femogtredive nihundrede og seks,1
312,sekshundrede og niogfyrre femhundrede og femogfirs,1
313,ethundrede og tretten,0
314,seksogtreds,0
315,syvhundrede og fire ottehundrede og treoghalvfjerds,1
316,trehundrede og syvogfyrre tohundrede og nioghalvfjerds,1
317,otteoghalvfjerds,0
318,nihundrede og firs,0
319,nihundrede og enogtreds,0
320,niogtreds,0
321,trehundrede og fireogfirs ethundrede og atten,1
322,sekshundrede og otte,0
323,syvhundrede og et femhundrede og seksoghalvtreds,1
324,tohundrede og seksogtredive treoghalvfems,1
325,syvhundrede og niogfirs trehundrede og otteogfyrre,1
326,trehundrede og to,0
327,tohundrede og treoghalvtreds,0
328,ethundrede og tooghalvtreds syvhundrede og fireoghalvfjerds,1
329,firehundrede og treogtyve,0
330,ethundrede og niogtreds tohundrede og ti,1
331,tohundrede og seksogtredive,0
332,firehundrede og syvoghalvfjerds,0
333,tohundrede og fyrre ottehundrede og tretten,1
334,firehundrede og fireogtreds nihundrede og tolv,1
335,firehundrede og fyrre,0
336,syvhundrede og to,0
337,nihundrede og syv firehundrede,1
338,sekshundrede og nioghalvfjerds,0
339,ottehundrede og fireoghalvtreds,0
340,firehundrede og seksogfirs,0
341,tohundrede og enoghalvtreds nihundrede og seksten,1
342,trehundrede og tyve femhundrede og syvoghalvtreds,1
343,tretten tohundrede og treogfyrre,1
344,nihundrede og otteoghalvfems ethundrede og nioghalvtreds,1
345,femhundrede og otteogtreds tohundrede og enogtredive,1
346,syvhundrede og femogfyrre ottehundrede og atten,1
347,tohundrede og niogtreds ethundrede og fireogtreds,1
348,nihundrede og otteogtredive,0
349,femhundrede og treogtreds ottehundrede og syv,1
350,firehundrede og tyve,0
351,firehundrede og fireogfyrre,0
352,femhundrede og otteogfirs tohundrede og otte,1
353,halvfjerds,0
354,syvoghalvfjerds sekshundrede og niogtyve,1
355,ottehundrede og femten femhundrede og halvfjerds,1
356,nihundrede og ni,0
357,ottehundrede og treogfyrre firehundrede og enogtyve,1
358,fireogtyve,0
359,ottehundrede og otteoghalvfjerds syv,1
360,trehundrede og femten,0
361,tohundrede og syvoghalvtreds ottehundrede og otteoghalvtreds,1
362,tohundrede og syvogtyve tohundrede og niogfirs,1
363,femhundrede og fireogtredive,0
364,nihundrede og niogfyrre ethundrede og fyrre,1
365,trehundrede og tre ethundrede og seksogtreds,1
366,sekshundrede og nioghalvfems tohundrede og toogfirs,1
367,ethundrede og fyrre ottehundrede og seksogfyrre,1
368,sekshundrede og niogtredive,0
369,firehundrede og halvtreds trehundrede og otte,1
370,tohundrede og ni ethundrede og halvtreds,1
371,sytten trehundrede og tre,1
372,sekshundrede og seksten ethundrede og to,1
373,ni,0
374,sekshundrede og enogfyrre,0
375,trehundrede og syvoghalvfjerds,0
376,sekshundrede og seksogtreds,0
377,sekshundrede og femogtreds trehundrede og seksoghalvfjerds,1
378,ethundrede og seksoghalvtreds trehundrede og syvogtyve,1
379,ethundrede og nioghalvtreds trehundrede og treogfyrre,1
380,toogtyve ethundrede og fjorten,1
381,tohundrede og toogtreds,0
382,sekshundrede og femogtreds,0
383,femhundrede og tolv,0
384,syvhundrede og toogfirs,0
385,ottehundrede og fjorten nihundrede og tolv,1
386,sekshundrede og enoghalvfems,0
387,tohundrede og treoghalvfjerds sekshundrede og nioghalvfems,1
388,nihundrede og enoghalvfjerds femhundrede og halvtreds,1
389,femhundrede og otteogfirs syvhundrede og halvtreds,1
390,ottehundrede og halvfems sekshundrede og nitten,1
391,syvhundrede og tolv tohundrede og tretten,1
392,nihundrede og fireogfirs ethundrede og tre,1
393,nioghalvfjerds nihundrede og seksogtreds,1
394,ottehundrede og syvoghalvtreds,0
395,ottehundrede og halvtreds nihundrede og firs,1
396,firehundrede og syvogfirs tohundrede og treogtyve,1
397,syvhundrede og fyrre,0
398,nihundrede og niogfirs,0
399,tohundrede og halvtreds ottehundrede og treoghalvfjerds,1
400,syvhundrede og enogfyrre,0
401,syvhundrede og tooghalvfems,0
402,sekshundrede og seksoghalvfjerds trehundrede og seksogfyrre,1
403,ottehundrede og fem,0
404,syvhundrede og toogfirs,0
405,trehundrede og nitten,0
406,firehundrede og niogfirs femten,1
407,femhundrede og fyrre,0
408,firehundrede og seksogfirs syvhundrede og treogfirs,1
409,seksogtredive,0
410,firehundrede og syvogtredive firehundrede og nioghalvfjerds,1
411,ethundrede og toogfirs trehundrede og treogtyve,1
412,firehundrede og seksten trehundrede og treoghalvfems,1
413,trehundrede og syvogtyve,0
414,syvhundrede og femogfyrre,0
415,nihundrede og firs,0
416,toogtreds sekshundrede og treogfyrre,1
417,niogtredive,0
418,sekshundrede og toogtreds,0
419,ethundrede og otteoghalvfjerds nihundrede og toogtredive,1
420,tohundrede og seksogfirs firehundrede og tolv,1
421,ethundrede og fire,0
422,syvhundrede og syvogfirs,0
423,nihundrede og tolv trehundrede og treoghalvfjerds,1
424,femhundrede og otteogtredive sekshundrede og otteogtyve,1
425,syvhundrede og niogtredive syvhundrede og otteogtreds,1
426,nihundrede trehundrede og sytten,1
427,nihundrede og nioghalvfems,0
428,femoghalvtreds femhundrede og seksogfyrre,1
429,ethundrede og fjorten,0
430,ethundrede og sytten,0
431,nihundrede og treoghalvfjerds,0
432,syvhundrede og fireogfirs syvhundrede og seksogtyve,1
433,firehundrede og nioghalvfjerds nihundrede og treoghalvfjerds,1
434,ethundrede og femogtyve,0
435,sekshundrede og fjorten,0
436,syvhundrede og seksoghalvfjerds,0
437,femhundrede og otte,0
438,ottehundrede og femogfirs tretten,1
439,toogtyve,0
440,ottehundrede og syvogtreds,0
441,tohundrede og syvogtreds femhundrede og seksoghalvfjerds,1
442,trehundrede og syvoghalvtreds,0
443,firehundrede og tretten,0
444,femhundrede og seksogtyve toogtreds,1
445,trehundrede og enoghalvfjerds,0
446,sekshundrede og halvfems,0
447,tohundrede og nioghalvfjerds firehundrede,1
448,tohundrede og syv nihundrede og fireogfirs,1
449,syvhundrede og nioghalvfjerds,0
450,nihundrede og niogtreds syvhundrede og otteogfirs,1
451,tohundrede og tretten sekshundrede og seksogtreds,1
452,tohundrede og nioghalvfjerds seksoghalvtreds,1
453,ottehundrede og otteogtredive,0
454,firehundrede og femogtyve sekshundrede og syvogtyve,1
455,sekshundrede og treoghalvfems,0
456,ethundrede og seksogtredive syvhundrede og enogtredive,1
457,sekshundrede og seksogfirs elleve,1
458,firehundrede og femogtyve syvoghalvtreds,1
459,firs,0
460,femoghalvfjerds,0
461,femhundrede og sytten nihundrede og treogfyrre,1
462,nihundrede og fireogfirs syvhundrede og seksoghalvfems,1
463,trehundrede og otteoghalvfems femhundrede og niogtredive,1
464,ethundrede og fjorten firehundrede og treoghalvfjerds,1
465,nihundrede og halvfjerds,0
466,syvhundrede og sytten ottehundrede og syvogtredive,1
467,firehundrede og fire,0
468,syvhundrede og enogfyrre ethundrede og treoghalvfjerds,1
469,femhundrede og fem,0
470,ethundrede,0
471,sekshundrede og otteoghalvtreds syvhundrede og fireogfyrre,1
472,firehundrede og fireogtyve,0
473,firehundrede og seksoghalvfjerds,0
474,trehundrede og tretten,0
475,firehundrede og seksogtreds ottehundrede og syvogfirs,1
476,syvhundrede og firs,0
477,nihundrede og femten ethundrede og tre,1
478,ottehundrede og syvoghalvfems,0
479,tohundrede og firs,0
480,femhundrede og sytten sekshundrede og treogtredive,1
481,ethundrede og treogtreds nihundrede og treogtyve,1
482,ottehundrede og toogtyve sekshundrede og treogtyve,1
483,trehundrede og niogfyrre syvhundrede og otteoghalvfjerds,1
484,sekshundrede og otteogfirs ethundrede og sytten,1
485,syvhundrede og niogtredive tohundrede og tredive,1
486,tohundrede og toogfyrre,0
487,ethundrede og halvfjerds,0
488,ethundrede og seksoghalvfems,0
489,nihundrede og seksoghalvfjerds,0
490,femogtredive,0
491,firehundrede og femten tohundrede og fireoghalvtreds,1
492,firehundrede og treogfyrre tohundrede og femogtyve,1
493,ottehundrede og enoghalvfjerds,0
494,ottehundrede og syv,0
495,tohundrede og femogfirs,0
496,trehundrede og fem,0
497,firehundrede og ni,0
498,syvhundrede og seksogtreds ottehundrede og treogtreds,1
499,ethundrede femhundrede,1
500,firehundrede og otteogtyve firehundrede og fire,1
501,femhundrede og fireoghalvfems,0
502,ethundrede og seksogfyrre femhundrede og syvogtyve,1
503,ottehundrede og seksogfirs syvhundrede og treoghalvfjerds,1
504,ethundrede og nitten,0
505,syvhundrede og ni femhundrede og fjorten,1
506,femhundrede og syvoghalvfjerds,0
507,trehundrede og seksogtyve nihundrede og syvoghalvfems,1
508,firehundrede og syvogtyve ethundrede og seksten,1
509,ethundrede og treoghalvfems syvhundrede og nitten,1
510,firehundrede og fireogtredive,0
511,tohundrede og nitten syvhundrede og et,1
512,ottehundrede og seksoghalvtreds,0
513,femhundrede og treoghalvfjerds,0
514,ottehundrede og fireogtredive ottehundrede og atten,1
515,femhundrede og enogfirs,0
516,otteogtredive,0
517,tohundrede og nioghalvfems,0
518,femhundrede og fjorten nihundrede og fireogtyve,1
519,nihundrede og syvogtredive trehundrede og enoghalvfjerds,1
520,firehundrede og tredive,0
521,nihundrede og nioghalvfjerds enogfirs,1
522,niogtreds femhundrede og fem,1
523,trehundrede og seksogtredive trehundrede og femogtyve,1
524,nihundrede og femogtyve,0
525,firehundrede og treogfirs femhundrede og syv,1
526,tohundrede og niogtyve femhundrede og niogfyrre,1
527,trehundrede og toogfyrre,0
528,femhundrede og femogfyrre ottehundrede og fireogfyrre,1
529,syvogfirs,0
530,ottehundrede og syv nihundrede og toogfirs,1
531,nihundrede og fem,0
532,tohundrede og fireoghalvfjerds ethundrede og treogtredive,1
533,femhundrede og treogtredive ti,1
534,ottehundrede og tooghalvfjerds trehundrede og halvfjerds,1
535,nihundrede og otteoghalvtreds sekshundrede og otteogfirs,1
536,trehundrede og syvogtreds syvhundrede og treoghalvfjerds,1
537,sekshundrede og niogtreds ethundrede og tyve,1
538,ottehundrede og enogtyve,0
539,niogtreds tohundrede og syvogfirs,1
540,sekshundrede og niogfyrre,0
541,tohundrede og nitten,0
542,ethundrede og toogfyrre,0
543,treoghalvfems,0
544,trehundrede og fire tohundrede og femten,1
545,syvhundrede og enogtreds syvhundrede og femogfyrre,1
546,femhundrede og seksogtreds,0
547,syvhundrede og seksogtreds sekshundrede og treogfirs,1
548,ethundrede og fireogfirs,0
549,ethundrede og otteoghalvfems,0
550,tohundrede og ti nihundrede og fireogtredive,1
551,ottehundrede og femten firehundrede og seks,1
552,firehundrede og nioghalvtreds,0
553,syvhundrede og seksoghalvfjerds,0
554,femhundrede og toogfyrre,0
555,firehundrede og otteogfyrre tyve,1
556,tohundrede og treogtredive,0
557,femhundrede og otteogtreds syvhundrede og enogtreds,1
558,ottehundrede og seksogfirs sekshundrede og otte,1
559,tohundrede og nioghalvtreds trehundrede og fem,1
560,femhundrede og seksoghalvfjerds,0
561,trehundrede og niogtreds,0
562,ethundrede og femogfyrre,0
563,ottehundrede og seksogfyrre firehundrede og treoghalvtreds,1
564,ottehundrede og tolv femhundrede og otteogtredive,1
565,ottehundrede og syvoghalvfjerds,0
566,firehundrede tohundrede og tyve,1
567,ottehundrede og fireogtyve syvoghalvtreds,1
568,syvhundrede og syvogfirs,0
569,sekshundrede og enogfyrre seksoghalvfems,1
570,tohundrede og tooghalvfems,0
571,ottehundrede og syvoghalvfjerds trehundrede og syvoghalvfjerds,1
572,sekshundrede og syv,0
573,femhundrede og tooghalvtreds,0
574,nihundrede og fireogtredive trehundrede og seksogtreds,1
575,tohundrede og elleve tohundrede og syvogfyrre,1
576,sekshundrede og niogtreds,0
577,syvogtreds trehundrede og fire,1
578,syvhundrede og femogtreds,0
579,tohundrede og to femhundrede og nioghalvfjerds,1
580,ottehundrede og halvtreds tohundrede og to,1
581,ethundrede og fireoghalvtreds nihundrede og seksogfirs,1
582,nioghalvtreds sekshundrede og otteoghalvfems,1
583,syvhundrede og otteogtreds,0
584,ottehundrede og niogtreds,0
585,trehundrede og treogtyve,0
586,firehundrede og sytten,0
587,firehundrede og treogtredive,0
588,sekshundrede og seksoghalvtreds,0
589,nihundrede og enoghalvfjerds,0
590,syvogfirs trehundrede og niogfirs,1
591,trehundrede og fem,0
592,nihundrede og syvoghalvfjerds,0
593,sekshundrede og femogtreds,0
594,trehundrede og niogtreds,0
595,tohundrede og otte,0
596,femten nihundrede og otteogtredive,1
597,trehundrede og enoghalvtreds femhundrede og niogtreds,1
598,sekshundrede og ti sekshundrede og seksogtyve,1
599,ottehundrede og fireoghalvfems trehundrede og tredive,1
600,ottehundrede og to syvhundrede og niogtredive,1
601,syvhundrede og otteogfirs,0
602,tohundrede og fyrre ethundrede og nioghalvfjerds,1
603,nihundrede og fireogtyve,0
604,ottehundrede og tooghalvfjerds tohundrede og enogfyrre,1
605,ethundrede og enogtredive,0
606,firehundrede og otteogfirs,0
607,toogfyrre,0
608,firehundrede og tooghalvfjerds,0
609,femhundrede og otteoghalvfjerds seksogtredive,1
610,trehundrede og syvogfirs,0
611,tohundrede og fireogtreds firehundrede og enogfyrre,1
612,nihundrede og otteogfirs,0
613,firs syvhundrede og fem,1
614,femhundrede og et,0
615,femhundrede og syvoghalvfjerds syvhundrede og fireogfyrre,1
616,ethundrede og seksogtredive,0
617,femhundrede og femogfirs,0
618,trehundrede og treds nihundrede og niogtyve,1
619,trehundrede og otteogfirs syvhundrede og syvogfyrre,1
620,tolv,0
621,tohundrede og treogtredive treogtredive,1
622,sekshundrede og firs,0
623,sekshundrede og otteogfyrre syvhundrede og nitten,1
624,firehundrede og seksogtyve,0
625,ottehundrede og treogtyve,0
626,ethundrede og seksogfyrre,0
627,ethundrede og to seks,1
628,sytten,0
629,tohundrede og fyrre syvhundrede og seksogtredive,1
630,treoghalvfjerds ottehundrede og fireogtredive,1
631,fireogtreds,0
632,firehundrede og niogfirs sekshundrede og toogtredive,1
633,nihundrede og tooghalvtreds,0
634,sekshundrede og treogfirs firehundrede og tredive,1
635,ethundrede og fireoghalvfjerds firehundrede og enogfirs,1
636,trehundrede og niogtyve,0
