,nums,labels
0,trehundrede og otteoghalvfjerds; syvhundrede og treogtreds,1
71,enogtredive; ethundrede og seks,1
72,sekshundrede og femoghalvfjerds; sekshundrede og seksoghalvfjerds,1
73,firehundrede og fireogtyve; firehundrede og tre,0
74,syvhundrede og niogfirs; ethundrede og femogfyrre,0
75,firehundrede og ti; femhundrede og otteoghalvfems,1
76,tohundrede og syvoghalvtreds; trehundrede og halvtreds,1
77,firehundrede og fireoghalvtreds; firehundrede og tredive,0
78,femhundrede og toogtreds; nihundrede og fireoghalvfjerds,1
79,femhundrede og syvoghalvtreds; ethundrede og nitten,0
80,sekshundrede og tretten; ottehundrede og syvoghalvtreds,1
81,femhundrede og nioghalvfjerds; femhundrede og to,0
82,firehundrede og ni; femhundrede og ti,1
83,trehundrede og nioghalvtreds; nihundrede og tretten,1
84,ethundrede og seksoghalvtreds; ottehundrede og enogtyve,1
85,femhundrede og femogtredive; syvhundrede og toogfyrre,1
86,trehundrede og tre; ethundrede og nioghalvfems,0
87,ethundrede og seksoghalvfems; tohundrede og syvoghalvtreds,1
88,treogtreds; sekshundrede og otteoghalvtreds,1
89,tohundrede og tretten; femhundrede og fyrre,1
90,firehundrede og otteoghalvfjerds; firehundrede og fireogtreds,0
91,tohundrede og otteogtredive; trehundrede og fem,1
92,femhundrede og treoghalvtreds; nihundrede og fireogtreds,1
93,tre; trehundrede og enogtreds,1
94,tohundrede og seks; ottehundrede og seksten,1
95,nihundrede og fireogfirs; otteoghalvfems,0
96,tohundrede og halvfems; femhundrede og enoghalvtreds,1
97,nihundrede og fjorten; nihundrede og elleve,0
98,syvhundrede og niogtredive; tohundrede og enogtyve,0
99,seksoghalvfjerds; ottehundrede og nioghalvfjerds,1
100,femhundrede og enogfyrre; firs,0
101,femhundrede og enogfyrre; tohundrede og enogfyrre,0
102,syvhundrede og fireoghalvfjerds; seksogfyrre,0
103,tohundrede og toogtreds; ottehundrede og otteoghalvfjerds,1
104,syvhundrede og ni; nihundrede og nioghalvfems,1
105,ottehundrede og niogfyrre; nitten,0
106,femhundrede og tooghalvfems; ethundrede,0
107,ethundrede og otteoghalvtreds; ethundrede og tyve,0
108,tolv; nioghalvfems,1
109,firehundrede og seksoghalvtreds; ethundrede og enoghalvtreds,0
110,ethundrede og toogtyve; syvoghalvfems,0
111,ottehundrede og tolv; fire,0
112,ottehundrede og toogtredive; syv,0
113,ottehundrede og seks; ethundrede og fire,0
114,nioghalvfjerds; ethundrede og nitten,1
115,ottehundrede og syvogtreds; ottehundrede og ni,0
116,syvhundrede og niogfyrre; sekshundrede og toogtreds,0
117,femhundrede og femoghalvfjerds; sekshundrede og otteogfirs,1
118,ottehundrede og enoghalvfjerds; femhundrede og otteoghalvfems,0
119,syvhundrede og otteogfyrre; firehundrede og enogfyrre,0
120,tohundrede og toogtreds; syvhundrede og enogtyve,1
121,sekshundrede og enoghalvfems; firehundrede og treoghalvtreds,0
122,firehundrede og fireoghalvtreds; tohundrede og otteogtyve,0
123,trehundrede og femoghalvfjerds; ottehundrede og toogtyve,1
124,sekshundrede og syvogtredive; trehundrede og syvogtreds,0
125,ethundrede og otteogtyve; tohundrede og niogtreds,1
126,sekshundrede og femogtyve; trehundrede og syvogfyrre,0
127,firehundrede og tooghalvfjerds; trehundrede og otteoghalvfjerds,0
128,trehundrede og ti; sekshundrede og halvtreds,1
129,tohundrede og seksoghalvfems; syvhundrede og seksoghalvfems,1
130,syvhundrede og otteogfyrre; treoghalvfjerds,0
131,nihundrede og fireogtredive; ethundrede og treogtreds,0
132,firehundrede og halvtreds; firehundrede og enogtreds,1
133,ottehundrede og syvogtyve; toogfyrre,0
134,nihundrede og tre; firehundrede og halvtreds,0
135,sekshundrede og seksoghalvtreds; firehundrede og seksoghalvfjerds,0
136,ottehundrede og et; ethundrede og niogfirs,0
137,ethundrede og enogfirs; trehundrede og firs,1
138,firehundrede og enoghalvtreds; sekshundrede og enoghalvfjerds,1
139,nihundrede og tolv; ethundrede og nioghalvfems,0
140,tohundrede og toogtreds; nihundrede og to,1
141,syvhundrede og et; sekshundrede og seksoghalvfjerds,0
142,ottehundrede og enogtreds; otteogtredive,0
143,tohundrede og femogfirs; tohundrede og femogtredive,0
144,firehundrede og enoghalvfems; sekshundrede og femogfyrre,1
145,femhundrede og ni; femoghalvfems,0
146,trehundrede og to; trehundrede og tyve,1
147,trehundrede og otteogtredive; nihundrede og syvoghalvfems,1
148,ottehundrede og otteogtreds; trehundrede og tretten,0
149,tooghalvtreds; ottehundrede og tooghalvfems,1
150,nihundrede og femogtredive; trehundrede og femoghalvfjerds,0
151,firehundrede og toogtredive; ottehundrede og toogtyve,1
152,firehundrede og nioghalvfjerds; sekshundrede og syvoghalvfems,1
153,ethundrede og niogtyve; ottehundrede og tre,1
154,tohundrede og niogtredive; ethundrede og tredive,0
155,ethundrede og atten; nihundrede og seksogtyve,1
156,tohundrede og sytten; nihundrede og seksoghalvfems,1
157,trehundrede og niogfyrre; firehundrede og syvogfyrre,1
158,tohundrede og niogfirs; nihundrede og nitten,1
159,ottehundrede og syvogtredive; firehundrede og enogfirs,0
160,sekshundrede og femoghalvfems; nihundrede og tredive,1
161,ottehundrede og seksogfyrre; trehundrede og otteogtreds,0
162,firehundrede og tredive; ethundrede og nioghalvfjerds,0
163,firehundrede og toogtreds; firehundrede og syvogtyve,0
164,ottehundrede og niogtreds; femhundrede og enogtreds,0
165,tohundrede og femogtyve; femhundrede og enogtreds,1
166,sekshundrede og otteogfirs; femhundrede og tredive,0
167,sekshundrede og niogfyrre; syvhundrede og halvfjerds,1
168,sekshundrede og et; ethundrede og syvogtreds,0
169,sekshundrede og tooghalvtreds; syvhundrede og tyve,1
170,trehundrede og fyrre; femhundrede og seksoghalvfems,1
171,firehundrede og otteogtyve; ottehundrede og fem,1
172,syvhundrede og toogfirs; sekshundrede og treogtreds,0
173,ethundrede og treogtredive; sekshundrede og toogtredive,1
174,trehundrede og seksten; syvhundrede og tolv,1
175,syvogtredive; femhundrede og sytten,1
176,otteoghalvfems; syvhundrede og toogtredive,1
177,niogtyve; syvhundrede og tyve,1
178,trehundrede og niogtyve; tohundrede og niogtreds,0
179,ethundrede; sekshundrede og otteogtreds,1
180,sekshundrede og nioghalvfjerds; femhundrede og seksten,0
181,ethundrede og tooghalvfjerds; trehundrede og enoghalvtreds,1
182,sekshundrede og femogtredive; trehundrede og otteogtreds,0
183,sekshundrede og tooghalvfjerds; nihundrede og otteogtyve,1
184,ethundrede og tre; ethundrede og niogfirs,1
185,sekshundrede og femogfyrre; ottehundrede og seksoghalvtreds,1
186,treogtredive; ethundrede og toogfirs,1
187,sekshundrede og seks; tohundrede og halvtreds,0
188,ethundrede og et; ethundrede og fireogfirs,1
189,ethundrede og ni; nihundrede og fire,1
190,firehundrede og treoghalvfems; femhundrede og toogtyve,1
191,sekshundrede og treogtredive; ethundrede og femoghalvtreds,0
192,ottehundrede og sytten; firehundrede og tooghalvfems,0
193,sekshundrede og tretten; femhundrede og nioghalvtreds,0
194,trehundrede og enoghalvfjerds; nihundrede og fem,1
195,sekshundrede og syvogfyrre; syvhundrede og fireogtreds,1
196,ethundrede og seksogtreds; firehundrede og seksogtredive,1
197,ethundrede; sekshundrede og seksoghalvfjerds,1
198,trehundrede og fem; femhundrede og otteogfirs,1
199,tohundrede og otteoghalvtreds; sekshundrede og treogfirs,1
200,firehundrede og tooghalvfjerds; trehundrede og nioghalvfjerds,0
201,ethundrede og niogtredive; sekshundrede og femogtreds,1
202,trehundrede og halvfjerds; firehundrede og femoghalvfjerds,1
203,trehundrede og fireogtredive; femhundrede og syvogfirs,1
204,trehundrede og tre; firehundrede og toogtyve,1
205,toogtredive; tohundrede og enoghalvfjerds,1
206,femhundrede og seksogtredive; sekshundrede og femogtreds,1
207,firehundrede og fem; ottehundrede og niogtredive,1
208,ottehundrede og niogfirs; firehundrede og syv,0
209,tohundrede og enoghalvfems; nihundrede og toogfirs,1
210,femhundrede og niogfyrre; tohundrede og seksoghalvfems,0
211,ethundrede og toogtreds; ottehundrede og tretten,1
212,tohundrede og treogfirs; firehundrede og syvogfirs,1
213,tohundrede og seksoghalvfjerds; syvogtredive,0
214,ethundrede og halvfjerds; otte,0
215,firehundrede og treogtreds; syvhundrede og tretten,1
216,firehundrede og toogtreds; firehundrede og halvfjerds,1
217,nihundrede og otteoghalvtreds; fireoghalvtreds,0
218,sekshundrede og tooghalvfems; ottehundrede og enogfirs,1
219,treds; ottehundrede og treoghalvfjerds,1
220,firehundrede; ethundrede og niogfyrre,0
221,ethundrede og tre; trehundrede og halvfems,1
222,firehundrede og seksogtreds; syvhundrede og tooghalvtreds,1
223,firehundrede og femogtredive; ethundrede og syvoghalvtreds,0
224,sekshundrede og syvogfyrre; ottehundrede og toogtreds,1
225,nihundrede og nioghalvfjerds; firehundrede og nitten,0
226,firehundrede og treogtreds; nihundrede og tooghalvfjerds,1
227,sekshundrede og ni; femhundrede og otteogfirs,0
228,femhundrede og treogfirs; otteogtyve,0
229,femhundrede og otteoghalvfjerds; trehundrede og fire,0
230,firehundrede og seksogtreds; seksogfirs,0
231,ottehundrede og fireoghalvfems; trehundrede,0
232,ottehundrede og treogtyve; femhundrede og syv,0
233,nihundrede og femogfirs; femhundrede og sytten,0
234,firehundrede og tooghalvfjerds; tohundrede og treoghalvtreds,0
235,ethundrede og seksogfirs; ethundrede og atten,0
236,firehundrede og nioghalvtreds; toogfirs,0
237,ethundrede og atten; ottehundrede og femoghalvfjerds,1
238,syvhundrede og niogtreds; firehundrede og treogfyrre,0
239,ethundrede og syvogfyrre; ottehundrede og niogtredive,1
240,femhundrede og syvogfyrre; nihundrede og niogfirs,1
241,firehundrede og enoghalvtreds; trehundrede og halvfems,0
242,femhundrede og fyrre; ottehundrede og treds,1
243,syvogtreds; ethundrede og fem,1
244,femhundrede og treoghalvtreds; tohundrede og toogfirs,0
245,femhundrede og toogtreds; femhundrede og femogfirs,1
246,firehundrede og fireoghalvfems; syvhundrede og tooghalvfjerds,1
247,femogtredive; niogtyve,0
248,firehundrede og syvogfirs; trehundrede og fireoghalvfems,0
249,ottehundrede og niogtreds; ottehundrede og enogfirs,1
250,sekshundrede og niogtredive; ottehundrede og treds,1
251,ottehundrede og treogtyve; nihundrede og ni,1
252,ethundrede og toogtyve; femhundrede og enogfirs,1
253,firehundrede og nitten; femhundrede og syvogtyve,1
254,ottehundrede og halvfjerds; syvhundrede og treogtreds,0
255,ottehundrede og toogfirs; nihundrede og otteogtreds,1
256,tohundrede og otteogtredive; firehundrede og halvtreds,1
257,sekshundrede og seksogfyrre; seksten,0
258,sekshundrede og enogtyve; fireogtreds,0
259,femhundrede og nioghalvfjerds; syvhundrede og femoghalvfems,1
260,trehundrede og fireoghalvfjerds; femhundrede og enogtyve,1
261,firehundrede og femogfirs; firehundrede og sytten,0
262,femhundrede og fire; sekshundrede og seks,1
263,tohundrede og tyve; nihundrede og niogtredive,1
264,tohundrede og tretten; sekshundrede og syvoghalvfjerds,1
265,otteoghalvtreds; ethundrede og enoghalvfjerds,1
266,ethundrede og niogtyve; firehundrede og femogtredive,1
267,tooghalvfjerds; sekshundrede og syvoghalvtreds,1
268,tohundrede og halvtreds; seksogtreds,0
269,trehundrede og seks; femhundrede og fireogtreds,1
270,trehundrede og otteogtreds; firehundrede og sytten,1
271,nihundrede og otteogtreds; seksten,0
272,ethundrede og treogfirs; trehundrede og treogtredive,1
273,syvhundrede og otteoghalvtreds; tolv,0
274,femhundrede og femogtyve; nihundrede og syvoghalvtreds,1
275,fyrre; sekshundrede og to,1
276,nihundrede og treds; tohundrede og fem,0
277,tohundrede og treogfirs; fyrre,0
278,syvogfirs; otteoghalvfjerds,0
279,ottehundrede og otteoghalvfems; ottehundrede og fireogtreds,0
280,tohundrede og femogtreds; nihundrede og halvfjerds,1
281,firehundrede og femogtyve; ethundrede og enoghalvfjerds,0
282,syvhundrede og enogfirs; ethundrede og femogtreds,0
283,femhundrede og seksogtreds; nihundrede og fireogfyrre,1
284,femhundrede og niogtredive; femhundrede og seksoghalvtreds,1
285,trehundrede og enogtyve; trehundrede og treogtyve,1
286,ottehundrede og treoghalvfems; tohundrede og tooghalvtreds,0
287,ethundrede og ni; ettusind,1
288,sekshundrede og enogtredive; ottehundrede og firs,1
289,trehundrede og treoghalvfjerds; firehundrede og otteogtredive,1
290,ethundrede og otteogtreds; sekshundrede og nitten,1
291,ethundrede og femogfyrre; femhundrede og niogfyrre,1
292,trehundrede og niogfirs; tohundrede og enogtreds,0
293,trehundrede og femten; trehundrede og fireogtredive,1
294,firehundrede og syvoghalvfjerds; femhundrede og fireogtredive,1
295,femhundrede og et; trehundrede og enogtyve,0
296,seksogtredive; firehundrede og femogfyrre,1
297,ethundrede og fjorten; tohundrede og femogtredive,1
298,tohundrede og enogtredive; tohundrede og otteogtyve,0
299,trehundrede og ti; firehundrede og seksoghalvfjerds,1
300,ottehundrede og tooghalvtreds; niogtredive,0
301,firehundrede og enogtyve; femhundrede og toogfirs,1
302,fireogtredive; tohundrede og tolv,1
303,sekshundrede og toogfirs; ottehundrede og enogfirs,1
304,sekshundrede og fireogfirs; firehundrede og fireoghalvfjerds,0
305,ottehundrede og syv; ethundrede og fyrre,0
306,nihundrede og toogtyve; nihundrede og niogfyrre,1
307,ethundrede og firs; sekshundrede og seksten,1
308,femhundrede og niogtredive; sekshundrede og syvogfyrre,1
309,nihundrede og otteogtyve; nihundrede og fireoghalvfems,1
310,femhundrede og toogtyve; tohundrede og fyrre,0
311,ottehundrede og syvoghalvfems; ethundrede og treoghalvfjerds,0
312,femhundrede og treoghalvfjerds; nihundrede og firs,1
313,syvhundrede og seksten; ottehundrede og tooghalvfjerds,1
314,sekshundrede og femoghalvfjerds; syvogtyve,0
315,firs; nihundrede og seksten,1
316,ethundrede og femten; firehundrede og syvogtredive,1
317,tohundrede og syvogtreds; ethundrede og halvfems,0
318,femhundrede og seks; firehundrede og femoghalvtreds,0
319,nihundrede og treogtredive; ottehundrede og halvfems,0
320,ethundrede og tre; tohundrede og treds,1
321,trehundrede og seksogtyve; niogfyrre,0
322,otteogfyrre; syvoghalvtreds,1
323,ottehundrede og femogfirs; ethundrede og enogfirs,0
324,ethundrede og enoghalvfems; syvhundrede og nioghalvfems,1
325,ottehundrede og enoghalvfems; firehundrede og fireoghalvtreds,0
326,ottehundrede og niogfirs; trehundrede og toogtyve,0
327,syvhundrede og tolv; tohundrede og fjorten,0
328,treoghalvtreds; syvogtreds,1
329,ethundrede og seksogtreds; femhundrede,1
330,trehundrede og syvoghalvfems; sekshundrede og femogtreds,1
331,firehundrede og femoghalvtreds; sekshundrede og tredive,1
332,nihundrede og tooghalvfems; nihundrede og seksoghalvfjerds,0
333,femhundrede og toogtyve; nihundrede og nioghalvfjerds,1
334,ottehundrede og niogfirs; ottehundrede og niogtredive,0
335,treoghalvfjerds; trehundrede og niogfyrre,1
336,tohundrede og toogfirs; firehundrede og seks,1
337,ethundrede og halvfems; firehundrede og femogfirs,1
338,ethundrede og toogtyve; syvhundrede og syv,1
339,syvhundrede og toogfyrre; trehundrede og tre,0
340,femhundrede og fem; trehundrede og femogtredive,0
341,ottehundrede og treogtyve; ethundrede og syvoghalvfjerds,0
342,sekshundrede og femoghalvtreds; syvhundrede og to,1
343,firehundrede og fyrre; nihundrede og treoghalvfems,1
344,ethundrede og fyrre; syvhundrede og nioghalvfjerds,1
345,tohundrede og treogtreds; syvhundrede og syvogtredive,1
346,nihundrede og seksogtyve; sekshundrede og tyve,0
347,tyve; femhundrede og enogtyve,1
348,syvhundrede og syvogtredive; ottehundrede og tretten,1
349,nihundrede og femogtredive; femhundrede og tretten,0
350,nihundrede og elleve; ottehundrede og syv,0
351,ethundrede og firs; syvhundrede og femogtreds,1
352,ottehundrede og seksogtredive; trehundrede og treogtreds,0
353,nihundrede og toogfirs; ethundrede og nioghalvfjerds,0
354,firehundrede og tooghalvfems; syvhundrede og otteoghalvfjerds,1
355,tolv; syvhundrede og treoghalvtreds,1
356,femhundrede og treogtreds; ottehundrede og femogfirs,1
357,syvhundrede; otteogfirs,0
358,ottehundrede og tooghalvfjerds; tohundrede og syv,0
359,sekshundrede og nitten; nihundrede og sytten,1
360,femogfyrre; femhundrede og enogtredive,1
361,femhundrede og niogfyrre; firehundrede og syvogfyrre,0
362,atten; firehundrede og fireogfirs,1
363,trehundrede og femoghalvfjerds; nihundrede og halvtreds,1
364,ethundrede og femogtyve; syvhundrede og treoghalvfjerds,1
365,nihundrede og tooghalvfjerds; ethundrede og treds,0
366,sekshundrede og seksten; tohundrede og nitten,0
367,trehundrede og femogtreds; sekshundrede og toogtyve,1
368,syv; sekshundrede og nioghalvfems,1
369,sekshundrede og otteoghalvtreds; nihundrede og syvogtyve,1
370,tohundrede og toogtredive; sekshundrede og niogfyrre,1
371,trehundrede og syvoghalvfems; syvhundrede og niogfyrre,1
372,ethundrede og femogfyrre; syvhundrede og treoghalvfems,1
373,nihundrede og femten; femhundrede og niogfirs,0
374,firehundrede og syv; tohundrede og nioghalvfjerds,0
375,firehundrede og nioghalvtreds; ethundrede og otteogfyrre,0
376,syvhundrede og fireoghalvfems; halvtreds,0
377,seksogtredive; ethundrede og femogtreds,1
378,nihundrede og seks; ottehundrede og tolv,0
379,atten; firehundrede og syvogtyve,1
380,trehundrede og syvoghalvtreds; trehundrede og seksoghalvfjerds,1
381,firehundrede og femogtredive; firehundrede og fireoghalvfjerds,1
382,syvhundrede og niogtyve; firehundrede,0
383,firehundrede og syvogtredive; ethundrede og nitten,0
384,sekshundrede og femogtreds; firehundrede og femoghalvfjerds,0
385,ethundrede og tredive; trehundrede og enogtredive,1
386,ti; trehundrede og otteoghalvtreds,1
387,femoghalvtreds; trehundrede og tolv,1
388,ethundrede og syvogtreds; syvhundrede og seksoghalvtreds,1
389,firehundrede og halvtreds; tooghalvfjerds,0
390,trehundrede og femogfyrre; tohundrede og niogtyve,0
391,nihundrede og enogfirs; firehundrede og elleve,0
392,syvhundrede og niogtredive; firehundrede og femogfirs,0
393,ethundrede og enogfirs; seksogtyve,0
394,femhundrede og syvogtyve; trehundrede og syvoghalvfems,0
395,tohundrede og nioghalvfems; firehundrede og nitten,1
396,ethundrede og treds; sekshundrede og femogfyrre,1
397,syvhundrede og enoghalvfems; firehundrede og femoghalvtreds,0
398,ottehundrede og ni; ottehundrede og otte,0
399,syvhundrede og otteogtreds; tohundrede og femogfyrre,0
400,ottehundrede og toogtredive; femhundrede og femoghalvfems,0
401,nihundrede og halvfems; syvhundrede og femogtredive,0
402,nihundrede og femoghalvfems; tohundrede og femogfirs,0
403,fyrre; nihundrede og otteoghalvfems,1
404,femhundrede og sytten; nihundrede og seksoghalvfems,1
405,ottehundrede og femten; sekshundrede og nioghalvfems,0
406,ottehundrede og enoghalvtreds; ethundrede og enogtyve,0
407,trehundrede og enoghalvfjerds; syvhundrede og otteoghalvtreds,1
408,ottehundrede og firs; ottehundrede og seksoghalvtreds,0
409,nihundrede; trehundrede og fem,0
410,syvhundrede og fireogtyve; nihundrede og enoghalvtreds,1
411,syvhundrede og nioghalvfjerds; trehundrede og enoghalvtreds,0
412,halvfems; ottehundrede og seks,1
413,ottehundrede og fireogtyve; ethundrede og syvogtreds,0
414,ethundrede og fireogfyrre; syvhundrede og niogfyrre,1
415,tyve; firehundrede og fire,1
416,femhundrede og syvogtredive; tohundrede og femogtredive,0
417,nihundrede og atten; femhundrede og femogfirs,0
418,trehundrede og otteogtreds; sekshundrede og syvogtreds,1
419,nihundrede og seksoghalvfems; niogtreds,0
420,syvhundrede og tolv; nihundrede og otteogtredive,1
421,ottehundrede og nioghalvfjerds; ottehundrede og enoghalvfjerds,0
422,trehundrede og syvogtyve; nihundrede og otteoghalvfems,1
423,trehundrede og to; trehundrede og syvogfirs,1
424,ottehundrede og nioghalvfjerds; sekshundrede og enogtreds,0
425,sekshundrede og fire; sekshundrede og treds,1
426,tohundrede og syvogtredive; sekshundrede og seksogfyrre,1
427,firehundrede og treogtyve; tredive,0
428,ethundrede og fireogtredive; femhundrede,1
429,femhundrede og seksogtreds; tohundrede og niogfirs,0
430,fireoghalvfems; trehundrede og enogfyrre,1
431,tohundrede og firs; sekshundrede og otteoghalvfems,1
432,firehundrede og seks; tohundrede og femogtyve,0
433,ethundrede og enoghalvtreds; seksogtyve,0
434,firehundrede og otteogtyve; trehundrede og otteogfyrre,0
435,otteoghalvtreds; ethundrede og seks,1
436,nihundrede og toogfyrre; syvhundrede og halvfjerds,0
437,ottehundrede og enoghalvfems; nihundrede og tolv,1
438,ottehundrede og femoghalvfjerds; syvhundrede og fireoghalvtreds,0
439,ethundrede og syvogfyrre; halvfjerds,0
440,tohundrede og tooghalvfems; femten,0
441,nihundrede og firs; otteogtredive,0
442,femhundrede og fireogtyve; syvhundrede og seksogtredive,1
443,trehundrede og toogfyrre; sekshundrede og toogfirs,1
444,niogtredive; tohundrede og seksoghalvfjerds,1
445,ottehundrede og syvogtyve; seksogfirs,0
446,syvogtreds; ethundrede og femoghalvtreds,1
447,syvogtredive; nihundrede og otteogtreds,1
448,firehundrede og et; tohundrede og treoghalvtreds,0
449,nihundrede og treogtredive; ethundrede,0
450,sekshundrede og treogtreds; seksogfirs,0
451,femhundrede og fjorten; firehundrede og otteogfirs,0
452,syvhundrede og niogfirs; syvhundrede og firs,0
453,firehundrede og tretten; trehundrede og enoghalvfjerds,0
454,firehundrede og firs; firehundrede og tolv,0
455,nihundrede og syvogtreds; femhundrede og niogtredive,0
456,sekshundrede og treoghalvfjerds; sekshundrede og otteogfirs,1
457,femoghalvfems; syvhundrede og treogtyve,1
458,tohundrede og toogtyve; tohundrede og tyve,0
459,firehundrede og femoghalvtreds; ottehundrede og atten,1
460,syvhundrede; syvhundrede og treogfyrre,1
461,nihundrede og fireoghalvtreds; trehundrede,0
462,femhundrede og toogfyrre; syvhundrede og fire,1
463,tohundrede og nitten; tohundrede og treoghalvtreds,1
464,femhundrede og syv; nihundrede og enoghalvfems,1
465,trehundrede og et; trehundrede og treogtreds,1
466,ethundrede og tooghalvfjerds; firehundrede og firs,1
467,syvogfyrre; femogtyve,0
468,sekshundrede og fem; firehundrede og treds,0
469,trehundrede og syvogfyrre; syvhundrede og niogtreds,1
470,firehundrede og femogfyrre; tohundrede og toogtredive,0
471,tohundrede og firs; trehundrede og niogtredive,1
472,sekshundrede og niogtredive; firehundrede og syvogtreds,0
473,sekshundrede og fire; syvhundrede og tredive,1
474,enoghalvfjerds; femhundrede og otteoghalvfems,1
475,sekshundrede og enogfirs; femten,0
476,tohundrede og treogtyve; tohundrede og enoghalvtreds,1
477,sekshundrede og seksogtredive; sekshundrede og niogtredive,1
478,femogtreds; nihundrede og treoghalvfems,1
479,ethundrede og femoghalvfems; tohundrede og otteoghalvfjerds,1
480,nihundrede og fireogtreds; tohundrede og tooghalvtreds,0
481,fireogtyve; tohundrede og fireogtredive,1
482,ethundrede og fireoghalvtreds; femhundrede og enoghalvfjerds,1
483,ethundrede og syvogfyrre; syvhundrede og otteogtyve,1
484,tohundrede og halvfjerds; sekshundrede og otteogfirs,1
485,nihundrede og fire; femhundrede og firs,0
486,femhundrede og treogtredive; trehundrede og syvoghalvtreds,0
487,ottehundrede og treogtyve; syvhundrede og otteogtredive,0
488,sekshundrede og treoghalvfems; trehundrede og otteogfyrre,0
489,trehundrede og nioghalvfems; firehundrede og niogtyve,1
490,femhundrede og femogtredive; femhundrede og to,0
491,nihundrede og syvoghalvfjerds; tohundrede og nioghalvtreds,0
492,nihundrede og seksoghalvfems; ethundrede og enogtreds,0
493,nihundrede og enogtredive; tohundrede og tooghalvtreds,0
494,trehundrede og syvogtreds; firehundrede og tolv,1
495,sekshundrede og nioghalvfjerds; syvhundrede og femoghalvfems,1
