,nums,labels
0,八百七十三; 五百三十九,0
155,九百二十五; 六百九十二,0
156,四百九十七; 二百一,0
157,六百十八; 九百二十三,1
158,五百四十八; 八百四十九,1
159,百十; 五百五,1
160,五百五十八; 五百四十九,0
161,六百九; 五百七十五,0
162,八百二; 九百七十六,1
163,七百八十; 四百十七,0
164,三百三十八; 六百四十六,1
165,七百七十五; 二百九十八,0
166,七百七十六; 七百九十六,1
167,九百十四; 二百三十三,0
168,九百九十六; 二百七十五,0
169,百九十三; 三百九十四,1
170,六百五十六; 七百五十六,1
171,二百四十六; 八百十八,1
172,五百四十; 六百三十八,1
173,七百七十四; 五百九十二,0
174,四百六十七; 六十,0
175,七百九十一; 六百五十八,0
176,百三; 二百十九,1
177,三百四十; 五百四十二,1
178,七百十九; 六百,0
179,百九十; 四百六十,1
180,百七; 四百六十,1
181,六百十三; 九百四十一,1
182,九百七十五; 三百九十二,0
183,八百四十八; 七百四十二,0
184,三百四十三; 六百六十一,1
185,六百九十六; 七百二十八,1
186,四百二十七; 五百十一,1
187,五百三十四; 三百七十,0
188,四百八十四; 九百九十一,1
189,百六十一; 二百六十九,1
190,四百八十四; 四百五十二,0
191,六百二十五; 七百九十,1
192,九百五; 七百七十七,0
193,六百四十八; 八百十一,1
194,八百五; 九百五十七,1
195,六百六十四; 四百十六,0
196,三百十; 九百三十一,1
197,七百九十九; 八百六十,1
198,四百七十六; 三百二十九,0
199,四百七十九; 七百六十五,1
200,五百九十三; 九十七,0
201,五百九; 三百十三,0
202,八百九十九; 七百十四,0
203,六百九十四; 九百七十六,1
204,六百六十二; 三百六十七,0
205,百十一; 五百四十五,1
206,三百五十; 百四十,0
207,五百九十六; 六百十八,1
208,四十; 七百二十六,1
209,三百三十三; 七百二十五,1
210,六百三十八; 百六十六,0
211,八百三十四; 六,0
212,九百八; 九百八十三,1
213,九; 二百十,1
214,八百五十一; 二百六,0
215,三百六十九; 三百三十六,0
216,九十九; 四百二十三,1
217,六百七十三; 二十三,0
218,七百五十一; 八百三十九,1
219,九百七十七; 八十九,0
220,七百七十七; 五百七十二,0
221,二十二; 七百五十六,1
222,五百六; 八百七十一,1
223,四百四十七; 百九十五,0
224,八百二十五; 六百六十一,0
225,五百二十八; 二百八十,0
226,百五十六; 九百三十三,1
227,四百五十五; 六百七十六,1
228,八百三十九; 六百七十四,0
229,四百九十三; 二百三十五,0
230,五十六; 八百十九,1
231,六百八十九; 三百九十五,0
232,二十八; 二百五十八,1
233,六百四; 五百四十六,0
234,三十二; 三十六,1
235,九十一; 六百十四,1
236,六; 八百三十,1
237,二百四十八; 八百八十八,1
238,百八十三; 十五,0
239,二百五十三; 八百三十七,1
240,五十七; 四十四,0
241,七百九十三; 三百四,0
242,六百三十五; 五百六十八,0
243,七百五十一; 四百五十,0
244,四百二十五; 八百五十一,1
245,五百二十; 九百三十,1
246,九十八; 九十九,1
247,六百九十五; 百八,0
248,二百二十五; 三百十一,1
249,四百二十七; 三百五十一,0
250,百十七; 三百六十一,1
251,二百九十六; 六百三十六,1
252,五百八十; 五百一,0
253,百七十九; 四百十九,1
254,四百三十三; 二百八十五,0
255,三百二十; 七百六十三,1
256,五百五十九; 三百三十七,0
257,七; 三百四十四,1
258,二百八十四; 三百二十九,1
259,六百三十七; 二百三十一,0
260,六百七十六; 六百九,0
261,四百十; 六百四十一,1
262,二百七; 百九十七,0
263,六十九; 四百五十,1
264,八百四十三; 三百六十一,0
265,五百四十九; 三百三十六,0
266,八百六十九; 二百四十三,0
267,二百九十二; 百六十九,0
268,九; 七百十,1
269,四百八十一; 五十八,0
270,七百十四; 四百六十,0
271,五百七十二; 七百八十二,1
272,八百三十二; 八百八十四,1
273,九百十; 九百八十四,1
274,四百; 二百二十,0
275,四百八十二; 二百一,0
276,三百八; 七百二十三,1
277,五百二十二; 五百十七,0
278,五百十八; 七十八,0
279,六百二十四; 九百,1
280,八百七十二; 四百八十二,0
281,八百八十一; 二百七十一,0
282,六百三十二; 八百七十六,1
283,七百四十八; 二百三十一,0
284,六百; 七百六十七,1
285,三百八; 三百四十二,1
286,四百六十四; 四百七十四,1
287,六百七十二; 百十九,0
288,八百八十六; 七百八十一,0
289,九百六十九; 六百三十八,0
290,三百三十八; 五百四十七,1
291,五百二十八; 六百五十六,1
292,八百十; 九百四十,1
293,八百一; 八百三十四,1
294,八百七; 七百五十九,0
295,四百二十一; 四百五,0
296,四百三十二; 二百七十七,0
297,九百三十八; 百三十八,0
298,六百四; 四百十六,0
299,百七十四; 四十二,0
300,三百十二; 七百二十五,1
301,百五十七; 五,0
302,六百八十一; 四百九十一,0
303,六百九十; 九十四,0
304,九百五十; 七百三十二,0
305,二百七十七; 八百六十九,1
306,七十八; 五十六,0
307,三百八十四; 九百九十四,1
308,八百四十五; 九百四十三,1
309,九百四十; 八百六十六,0
310,百六十九; 三百六十七,1
311,五十一; 九百四十,1
312,三百五十四; 六百八十九,1
313,二百七十; 九百一,1
314,五百八十九; 三百二十五,0
315,四百六十四; 九百三十一,1
316,二十六; 百八,1
317,二百八; 九百四十一,1
318,七百七十三; 八百八十六,1
319,八十九; 三百十三,1
320,三百四十四; 六百四,1
321,三百九十九; 百十三,0
322,二百三十二; 七百六十四,1
323,百五十一; 五百四十八,1
324,二百九十四; 五百八十五,1
325,七百五; 八百二十六,1
326,九百十七; 六百五十,0
327,三百三; 九百三十六,1
328,四百五十; 三十三,0
329,七百五十二; 五百二十四,0
330,五十九; 四百七十二,1
331,七百八十; 二百七十三,0
332,九百六十五; 百五十二,0
333,八百二十六; 二百十五,0
334,七十五; 九百十四,1
335,八百七十; 九百七十,1
336,五百二十五; 三百十八,0
337,八百五十七; 二百九十八,0
338,二百四; 九十七,0
339,四百三十六; 百八十七,0
340,二百十二; 八百五,1
341,九百五十; 七百二十七,0
342,百三十九; 百七十二,1
343,八百四十三; 四十一,0
344,二百二十八; 九百二十四,1
345,百五; 三百三,1
346,百四十; 五百二十六,1
347,五百十七; 六十,0
348,九百八十七; 二百九十七,0
349,七十二; 二十八,0
350,二十八; 三百六,1
351,九百三十六; 四百五,0
352,九百三十五; 二百二十七,0
353,七百五; 八十六,0
354,七十六; 六百八十,1
355,九百八十三; 十二,0
356,五百七十一; 四百二十七,0
357,百五十九; 五百八十四,1
358,三百九十四; 四百二十三,1
359,六百九十一; 七百五,1
360,七百二; 九百四十六,1
361,二百六十; 八百九,1
362,五百五十一; 二百五十七,0
363,五百二十三; 四百九十一,0
364,九百六十八; 九百二十九,0
365,三百八十四; 二百七十三,0
366,七百五十八; 百四十七,0
367,二百三十二; 八百九十一,1
368,百三十二; 三百五十二,1
369,百五十九; 六百三十,1
370,四百五; 二百九十二,0
371,五十五; 二百四,1
372,百五十三; 四百三十七,1
373,二百九十九; 九百十一,1
374,五百四十六; 八百二十,1
375,六百六十九; 三百十五,0
376,六十七; 四百五十七,1
377,九十二; 五百七十二,1
378,三百十二; 三百六十一,1
379,八十三; 九百七十九,1
380,四百四十五; 六百八十一,1
381,九百九十五; 二百五,0
382,三百九十六; 二百八十二,0
383,七十三; 六百六十八,1
384,四百八十三; 百九十三,0
385,三百六十二; 六百四十九,1
386,六百九十一; 四十八,0
387,四百五十五; 八百二十五,1
388,四百十六; 九百五十五,1
389,六百二十三; 四百七十三,0
390,七百十七; 二百三十三,0
391,九十八; 六百二十六,1
392,三百二十八; 九百五十八,1
393,三百八十九; 八百一,1
394,百八十; 九百六十九,1
395,九百五十八; 三十六,0
396,百七; 八百八十六,1
397,八百九十五; 八百八十八,0
398,二百九十二; 九百四十三,1
399,二百九十; 六十八,0
400,二百六十五; 三百二十,1
401,四百十六; 二百五,0
402,百十二; 七百七十三,1
403,六十四; 五百九十七,1
404,四百九十四; 八百八十七,1
405,三百九十五; 百八十九,0
406,六百九十七; 四百五十一,0
407,二百十; 八百四十一,1
408,九百九十四; 七百六十,0
409,百四十六; 百八十三,1
410,四百三十八; 三百六十八,0
411,三百三十三; 九百五十三,1
412,八百五十三; 二百五十九,0
413,四百三十; 八百六,1
414,四百五十七; 三百九十一,0
415,百三十四; 四百一,1
416,九百二十四; 五十二,0
417,三百八十三; 六百五,1
418,六百十六; 三百八十二,0
419,三百八十七; 五百十五,1
420,五百三十五; 五百三十二,0
421,三百九十四; 九百九十一,1
422,五百九十一; 百八十四,0
423,六十五; 五百一,1
424,四百六十四; 二百七十六,0
425,百七十一; 六百七十一,1
426,二十; 七百八十四,1
427,二百二十九; 二百九十五,1
428,三百三十二; 四百六十五,1
429,八百三十二; 六百六十七,0
430,四百; 五百十三,1
431,四百九十四; 五百三十五,1
432,五百七十四; 三十九,0
433,五百十八; 四,0
434,六百六; 八百二十七,1
435,六百七十二; 四百七十二,0
436,三百二十七; 七百二十二,1
437,七百四十; 四百十六,0
438,九百七十四; 四十,0
439,五百十; 六百四十一,1
440,九百四十九; 七百五十七,0
441,百五十二; 五百九十四,1
442,八百八十三; 五百二十八,0
443,八百二十四; 三百九,0
444,五百四十二; 三百三十九,0
445,六百九十六; 五百七十九,0
446,七百五十七; 七百二十二,0
447,四百五十九; 八十五,0
448,五百五十; 三百二十三,0
449,五百九十; 四百六十二,0
450,四百二十七; 四百六十一,1
451,四百三十二; 六百二十六,1
452,七百六十五; 五百六十六,0
453,八百四十三; 三百八十八,0
454,五百五; 四百四十四,0
455,二百六十八; 七百六十七,1
456,六百六十二; 二百十七,0
457,六百二十; 二百三十四,0
458,八百九十八; 八百六十七,0
459,五百六十五; 二百四十三,0
460,二百七; 八百八十四,1
461,五百六十三; 三百五,0
462,三百八十四; 百八十七,0
463,百四十六; 四百九十,1
464,八百八十; 九百九十,1
465,四百十一; 二百九十四,0
466,五百七十六; 五百六十一,0
467,六百十一; 七百八十八,1
468,九百七十一; 二十一,0
469,七百五十五; 七十五,0
470,五百四十九; 三百十二,0
471,九百八十七; 七百六十一,0
472,七百六十一; 七百四十六,0
473,九百六; 九百二十一,1
474,二百八十五; 五百七十三,1
475,六百三十三; 四百二十五,0
476,九百六十五; 八百十六,0
477,三百七十一; 百九十六,0
478,八百四十三; 八百四十,0
479,八百九十一; 三百八十三,0
480,四百六十六; 二十八,0
481,六十二; 六百七十九,1
482,百六; 二百十二,1
483,百五十七; 八百六十五,1
484,百三十五; 十九,0
485,八百七; 五百二十六,0
486,七百九十六; 九百三十,1
487,二百七十九; 六百十,1
488,二百九十一; 三百八十一,1
489,五百八十九; 九百七十三,1
490,三百九十二; 三百六十,0
491,六百十六; 九十九,0
492,五百六十三; 八百七十七,1
493,百三十九; 三百四十二,1
494,八十六; 四百七十四,1
495,四百十一; 九百,1
496,二百十九; 七百六十九,1
497,百十六; 二百十七,1
498,七百九; 六百十八,0
499,四百三十七; 九百七十,1
500,六百十二; 三百三十二,0
501,四百八十九; 五百七十一,1
502,七百八十一; 百七十六,0
503,二百二十四; 六百六十六,1
504,六百六; 七百二,1
505,二十四; 六百十一,1
506,三十四; 七百九,1
507,七百三十一; 六百七十,0
508,五百四十二; 五百二十一,0
509,四百七十二; 三十七,0
510,三十九; 八百四十三,1
511,百九十; 七百六十四,1
512,五百二十; 五百,0
513,七百三十三; 二百二十二,0
514,四百十六; 百十,0
515,六百四; 九百九十七,1
516,百五十四; 八百九十八,1
517,九百五十一; 五百六十一,0
518,五百六十九; 四百七十,0
519,九百八十八; 九百八,0
520,四百二; 二百八十九,0
521,二百二十三; 七百七十四,1
522,九百二十二; 七百六十八,0
523,三百七十九; 四百六十八,1
524,二百十五; 四百五,1
525,八百九十九; 二百三十三,0
526,八十三; 二百四十七,1
527,四百六十; 二百五十二,0
528,七百四十八; 八百十七,1
529,八百三十六; 六百九十八,0
530,八百六十五; 百八十一,0
531,四百; 八百三十八,1
532,二百六十八; 五百十六,1
533,八百八十六; 七百五十一,0
534,百十三; 六百二十六,1
535,五百六十四; 八百八十二,1
536,八百三十四; 八百五十七,1
537,四百四十六; 三百四十九,0
538,二百七; 九百二十二,1
539,九百五十八; 三百八十三,0
540,三百七十二; 百七十,0
541,三百十三; 四百九十二,1
542,六百二十五; 九百六十五,1
543,二百六十七; 二百五十,0
544,六百七十五; 三百七十一,0
545,三百九十一; 七百六十八,1
546,二百九十一; 八百三十七,1
547,八百五十六; 六百七十九,0
548,七百三十一; 七百六十九,1
549,四百十一; 七百六十四,1
550,四百七十五; 四百六十四,0
551,九百七十四; 八百五十九,0
552,二百十一; 三十二,0
553,三百; 五百十,1
554,二百三十七; 三百二十四,1
555,四百五十二; 四百四十四,0
556,五百九十一; 八百三十三,1
557,六百八十八; 七百五十八,1
558,九百七十三; 五百四十七,0
559,五百九十; 百八,0
560,百八十八; 六,0
561,七百八; 七百三十九,1
562,四; 九百九十五,1
563,百二十三; 三百九十九,1
564,四百六十九; 四十七,0
565,四百三; 三百二十五,0
566,百四; 五百四十三,1
567,六百八十; 四百五十九,0
568,五百七十四; 七百五十二,1
569,六百七十; 四十五,0
570,百一; 五百二十一,1
571,三百八十四; 七百七十九,1
572,八百; 九百六十二,1
573,七十二; 二百二十一,1
574,四十六; 二百四十六,1
575,七百二十二; 四百二十七,0
576,八百四十九; 五百七十一,0
577,五百七十八; 四百七,0
578,六百五; 四百九十三,0
579,六十四; 四百三十七,1
580,百七十三; 七百四十一,1
581,百九十二; 四十一,0
582,二百三十九; 四百四十六,1
583,五十五; 八百五十一,1
584,九百六十六; 四十三,0
585,二百二十七; 八百九十七,1
586,二百六; 九百八十四,1
587,百二十九; 七百三十二,1
588,二百十六; 八百,1
589,七百十八; 七百二十九,1
590,二百五十三; 五百六十一,1
591,八十八; 二百五十二,1
592,七百九十一; 二百二十八,0
593,二百三十二; 九百三十五,1
594,二百二十七; 四百六十九,1
595,五百九十五; 二百五十五,0
596,百五十; 七百二,1
597,百一; 二百十三,1
598,九百七; 百二,0
599,四百六十五; 七百十一,1
600,五百三十五; 三百三十二,0
601,二百五十; 六百十九,1
602,二百六十九; 十四,0
603,二百九十一; 二百八十七,0
604,四百十一; 百七十九,0
605,五百一; 五百四十八,1
606,二百八十; 七百九,1
607,二百九十二; 九百五十,1
608,八百六十二; 八十三,0
609,五百六; 三百十二,0
610,九百二十九; 四百八十八,0
611,五百二十三; 七百七十六,1
612,七十四; 四百二十二,1
613,六十六; 七百一,1
614,四百四十一; 九十八,0
615,三百六十八; 二十一,0
616,二十四; 七百五十九,1
617,五十三; 四百八十三,1
618,百二十二; 百九十五,1
619,三百十七; 八百六十五,1
620,二百七十二; 三十,0
621,七百四; 二百三十五,0
622,八十九; 七百八十九,1
623,四百十一; 十九,0
624,二十五; 三百九十六,1
625,二百十一; 二百三十九,1
626,八百十八; 七百七十四,0
627,九百八十四; 百七十三,0
628,五百四十一; 四百四十三,0
629,八百十八; 七百二十五,0
630,九百六十; 六百四十三,0
631,四百五十三; 五百十四,1
632,三十五; 八百四十,1
633,百五十二; 百十三,0
634,二十六; 二百八十三,1
635,六百九十八; 四百八十三,0
636,百八十; 九百九十二,1
637,六百九十一; 七百九十二,1
638,八百十七; 六百五十七,0
639,三百五十六; 九百三十九,1
640,三十五; 八百九十一,1
641,四百六十四; 百七十二,0
642,三百四十三; 六百八十一,1
643,六百四; 百十九,0
644,二百八十九; 四百五十八,1
645,四百五; 七百八十五,1
646,十; 四百八十九,1
647,四百五十九; 三百七十一,0
648,七百十九; 八百四十三,1
649,百三十一; 百三十二,1
650,百二十二; 六百三十一,1
651,九百九十九; 三百七十九,0
652,百六十三; 百,0
653,五百六十二; 百五十四,0
654,四; 七百三十,1
655,八百三十三; 二百六十,0
656,七百八十; 三百四十六,0
657,七十二; 九百三十三,1
658,二百八十五; 九百三,1
659,三百八十三; 二百八十八,0
660,四百十七; 五百,1
661,二百四; 五十五,0
662,三百十九; 八十六,0
663,八百四十二; 三百十三,0
664,七百六十四; 三百三十九,0
665,二百十五; 六百三十九,1
666,八百六; 八,0
667,三百九十三; 三百六十五,0
668,八百五十一; 九百十七,1
669,二百二十七; 五百二十五,1
670,四百四十四; 二百三十九,0
671,六百九十七; 百七十二,0
672,八百五十八; 八百十五,0
673,八百二十七; 六百六十一,0
674,五百八十七; 五百三十六,0
675,七百九十八; 四百七十五,0
676,九百九十八; 七百六,0
677,百八十九; 九百六十二,1
678,三百九十九; 九百六十四,1
679,六百三十三; 二百九十三,0
680,八百四十五; 七百六十七,0
681,九百二十六; 九十,0
682,四百六; 七百六十六,1
683,百八十二; 四百二十一,1
684,二百七十八; 三百十七,1
685,八百六十三; 三百四十七,0
686,百九十一; 百九十三,1
687,五百七十六; 七百十二,1
688,三百八十九; 百九,0
689,百三十七; 五十七,0
690,九百四十七; 百四十六,0
691,百四; 八百七十一,1
692,八十九; 五十四,0
693,五百八十七; 九百二十一,1
694,六百一; 六百九十七,1
695,六百九十六; 六百一,0
696,六百二十四; 九十二,0
697,七十一; 二百二十九,1
698,九百七十; 二百五十六,0
699,六百十四; 四百七,0
700,九百六十; 六百二十二,0
701,五百三十六; 四百七十九,0
702,百十七; 七百三十八,1
703,九百九十; 九百五十一,0
704,二百二十五; 五百八十四,1
705,十一; 二百十,1
706,四百三十二; 二百八,0
707,四百六十八; 六百八十二,1
708,五百七十二; 四百十六,0
709,百三十六; 八百二,1
710,三百四十二; 四百十八,1
711,三百二十四; 百五十,0
712,四百三十八; 八百六十,1
713,二十八; 五百四十六,1
714,二百九十六; 三百九,1
715,七十; 百六十二,1
716,三百十五; 三十二,0
717,六百五十四; 四百五十八,0
718,四百五十一; 三百七十四,0
719,九百六十九; 五百八十,0
720,四十六; 七百十六,1
721,六百六十六; 七百七十七,1
722,三十六; 九百十八,1
723,六百五十一; 六百七十三,1
724,六百十二; 四百五十五,0
725,三百三十九; 六百四十,1
726,八百四; 四百六十,0
727,九百九十一; 八百七十四,0
728,六百五十; 七百六十六,1
729,六百一; 百十,0
730,百六十四; 八百七十二,1
731,三百四十四; 六百三十,1
732,三百八十一; 四百六十,1
733,四百十八; 九十二,0
734,八百九十七; 六百七十二,0
735,八百四十六; 四百三十五,0
736,六百九十二; 二百三十九,0
737,八百六十三; 六百四十七,0
738,六百八十八; 九百六十七,1
739,二百二十八; 三百三十一,1
740,百七十九; 四百二十九,1
741,七百六十八; 百九十八,0
742,九百四十六; 五百八十八,0
743,七百二十六; 二百七十七,0
744,四百四十五; 百十一,0
745,六; 五百七十二,1
746,四百九十四; 七百二,1
747,八百六; 五百四十五,0
748,五百七十六; 五百四十七,0
749,四百五十七; 七百二十二,1
750,七百九十九; 三百九十八,0
751,五百五十六; 七百九十六,1
752,六十七; 六百九十八,1
753,八百六十二; 四百六十九,0
754,九百二; 百四十,0
755,六百十; 二百九十四,0
756,三百五十八; 六百十三,1
757,八十三; 四百七,1
758,七百四十九; 七百八,0
759,四百五十八; 百六十六,0
760,七百九十三; 九百六十二,1
761,五百六十; 九百十一,1
762,九百六十八; 四百二十三,0
763,八百三; 三百七十,0
764,六百十五; 七百七十八,1
765,四百九十二; 二百十五,0
766,百四十四; 五百六十四,1
767,七百四十三; 八百三十三,1
768,七百六十三; 八百三十三,1
769,百二十七; 二百四十九,1
770,五百六十七; 五百三十四,0
771,七百九十七; 五十三,0
772,四百五十八; 六百二十六,1
773,六百二十一; 八百三十六,1
774,六百二十二; 八百七十七,1
775,百五十七; 八百七十九,1
776,七百二十六; 十四,0
777,五百八十一; 二百二十七,0
778,五十七; 三百八十五,1
779,八百十五; 二百八十八,0
780,四百九; 十六,0
781,五百二十; 八百七十六,1
782,三十二; 三百四,1
783,五十六; 四百二十二,1
784,五十五; 百二十二,1
785,四百七十九; 九百三十二,1
786,六十五; 百十三,1
787,八百八十三; 百五十,0
788,五百四十五; 五百三十九,0
789,四百二十六; 四百三十二,1
790,二百三十五; 二百九十五,1
791,四百八十六; 三百八十,0
792,五百八十二; 三百四十一,0
793,百五十八; 七百五十,1
794,五百五十一; 三百四十一,0
795,十二; 三百八,1
796,六百九十九; 三百七十,0
797,三百九十五; 九百二十五,1
798,八百四十四; 五百二十三,0
799,六百八十八; 三百六十七,0
800,九百九十九; 八百七十六,0
801,二百三十; 九百十八,1
802,九百五十七; 九百四十九,0
803,百二十二; 二百十四,1
804,二百三十四; 六百七十七,1
805,五百三十四; 八百六十七,1
806,九; 三百五十六,1
807,四百五十六; 六百五十九,1
808,四百四十七; 三百二十二,0
809,六百九十九; 二百五十九,0
810,百七; 四百四十四,1
811,八百十五; 九百二十二,1
812,百五十六; 四百四十二,1
813,七百二十三; 三百八十,0
814,三百二十五; 三百七十四,1
815,百二十三; 八百十三,1
816,三百二十二; 八百二十二,1
817,五百六十七; 五百,0
818,百四十九; 八百九十七,1
819,九百七十七; 二百七,0
820,九百四十七; 三百五十,0
821,九百三十五; 七百七十七,0
822,四百九十六; 七百八十四,1
823,九百; 七百七十九,0
824,七百六; 二百八十七,0
825,九百六十九; 八百八十二,0
826,八百六十; 四百六十七,0
827,五百三十六; 百九十七,0
828,五百七十八; 七百六十五,1
829,四百五十九; 九十二,0
830,九十七; 三百三十八,1
831,九百九十五; 五百五十,0
832,八百四十八; 三百六十二,0
833,八百四十八; 三百六,0
834,三百一; 六百六十七,1
835,九百二; 四百,0
836,二百十六; 百四十五,0
837,七百三十五; 四十八,0
838,百六十五; 六百六十九,1
839,六百四; 五百八十六,0
840,二十五; 四百七十四,1
841,八百四十二; 八百二十八,0
842,七百七十九; 六十,0
843,三百二十三; 五十五,0
844,八百七十九; 九百六十四,1
845,四百五十七; 二百四十,0
846,九百六十七; 九百二十八,0
847,三百七十九; 七百七十一,1
848,百二十六; 二百六十,1
849,五百六十二; 三百三十五,0
850,三百三十八; 七百五十二,1
851,九百十五; 五百五十九,0
852,二百四十; 六百五十八,1
853,七百四十一; 六百二十七,0
854,八十; 五百八十五,1
855,三百二十七; 四百八十七,1
856,八百一; 四十三,0
857,七百四十; 四百二十七,0
858,七百五十三; 五百五十,0
859,二百九十七; 二百六十五,0
860,三十八; 四百十六,1
861,四百七十; 八百五十一,1
862,二百五十二; 二百一,0
863,九百二; 三百九十四,0
864,六百九十; 百六十八,0
865,六百二十六; 八百二十三,1
866,五百五十; 五百五,0
867,八十三; 十五,0
868,九百十九; 九百四十六,1
869,百七十四; 六十三,0
870,七百五十一; 七百四十二,0
871,四百七; 五百四十七,1
872,八百六十七; 七百五十二,0
873,百五十四; 六百四十七,1
874,八百七十一; 五百八十五,0
875,二百八十八; 七百二十九,1
876,五十五; 百九十七,1
877,八百三十一; 百二十四,0
878,四百九十; 九百六十九,1
879,七百六十七; 四百三,0
880,六百五十六; 八百六十七,1
881,五百七十五; 三百五十四,0
882,八百八十六; 百十六,0
883,三百七十八; 九十九,0
884,九百五十九; 九十七,0
885,百七十一; 百,0
886,百六十三; 八百十一,1
887,百六十七; 二百四十三,1
888,二百四十一; 六百七十二,1
889,八百八十; 六百八十一,0
890,四百四十二; 四百七十,1
891,四百; 二百三十九,0
892,五百九十五; 四百八十二,0
893,五百十八; 百三十五,0
894,五百四十四; 六十三,0
